Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Justice,Ministerial Department,Ministry of Justice,1066,997.23,824,791.23,1607,1558.39,809,782.74,123,120.33,0,0,"4,429","4,249.92",207,203.04,8,8,187,185.5,0,0,402,396.54,"4,831","4,646","£13,158,989.34","£211,054.36","£64,638.24","£97,350.39","£2,426,273.69","£1,062,375.91","£17,020,681.93","£2,190,830.60","£492,264.63","£2,683,095.23","£19,703,777.16",,An Internal Audit (Nov 12) resulted in changes to the CCL staff numbers & paybill costs having to be submitted.
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,14500,12654.44,3752,3489.86,3004,2798.35,717,700.76,38,37.92,0,0,"22,011","19,681.33",(..) ,204.58,0,0,0,0,0,0,0,204.58,"22,011","19,886","£37,953,427.04","£526,028.15","£27,223.83","£270,225.75","£6,657,062.89","£2,559,312.51","£47,993,280.17","£596,302.07",(..) ,"£596,302.07","£48,589,582.24",,Agency/Contractors Headcount is not collected centrally.
National Archives,Executive Agency,Ministry of Justice,184,164.37,119,115.08,248,240.97,61,60.16,6,6.00,0,0.00,618,586.58,7,5.40,0,0,7,7,0,0,14,12.4,632,599,"£1,478,432.60","£5,204.84",£0.00,"£7,910.85","£267,211.96","£119,954.47","£1,878,714.72","£67,054.90","£4,750.00","£71,804.90","£1,950,519.62",,Paid £6k of compensations in September (not included in these figures). YTD cost is £49k.
National Offender Management Service,Executive Agency,Ministry of Justice,36217,34676.99,7349,7045.44,3337,3113.38,705,686.05,44,44.00,0,0.00,"47,652","45,565.86",316,316.00,0,0,0,0,0,0,316,316,"47,968","45,882","£102,230,883.64",£0.00,£0.00,"£881,554.82","£19,370,136.87","£8,880,036.57","£131,362,611.90","£1,970,796.02",£0.00,"£1,970,796.02","£133,333,407.92",,Not able to provide breakdown of contingent workers. New system of data collection to capture the detail required is being developed. Where not known placed in Agency column.
The Office of the Public Guardian,Executive Agency,Ministry of Justice,253,235.07,138,132.09,66,64.8,11,10.74,2,1.78,0,0,470,444.48,238,182.09,0,0,0,0,0,0,238,182.09,708,627,"£959,631.59","£21,446.66",£650.00,"£27,525.65","£158,040.15","£72,545.56","£1,239,839.61","£374,951.79",(..) ,"£374,951.79","£1,614,791.40",,
UK Supreme Court,Non-Ministerial Department,Ministry of Justice,4,4.00,16,16.00,18,17.80,7,6.47,2,2.00,0,0.00,47,46.27,0,0.00,0,0,0,0,0,0,0,0,47,46,"£132,789.87",209.43,£0.00,£345.01,"£25,925.46","£11,399.63","£170,669.40",(..) ,(..) ,£0.00,"£170,669.40",The salary costs for a SEO who joined UKSC on 23 August have not yet transferred from MoJ and therefore are not reflected in the total paybill for payroll staff for August.,7 New Judicial Assistants started September - employed on 11 month fixed term contracts. Headcount will reduce next month following VED exercise. 
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0.00,0,0.00,0,0.00,0,0.00,73,66.96,73,66.96,3,2.81,0,0,0,0,0,0,3,2.81,76,70,"£191,212.00",£33.00,,£0.00,"£35,726.00","£15,557.00","£242,528.00","£6,675.00",(..) ,"£6,675.00","£249,203.00","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles.",
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,350,324.15,350,324.15,4,4.00,0,0,0,0,0,0,4,4,354,328,"£710,226.83","£1,009.32",£0.00,"£1,500.73","£130,248.70","£49,301.53","£892,287.11","£13,362.99",£0.00,"£13,362.99","£905,650.10",,
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,13,13.00,19,18.15,26,26.00,15,14.20,3,3.00,1,0.60,77,74.95,0,0.00,0,0,0,0,0,0,0,0,77,75,"£215,383.00","£3,715.00",(..) ,(..) ,"£41,074.00","£17,114.00","£277,286.00",Nil,Nil,£0.00,"£277,286.00",,
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,33,32.70,33,32.70,0,0.00,0,0,0,0,0,0,0,0,33,33,"£153,718.00",(..) ,(..) ,(..) ,"£30,455.00","£18,531.00","£202,704.00",Nil,Nil,£0.00,"£202,704.00","LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision",
