Year,Month,Organisation name,Organisation type,"Main, parent or sponsoring department:","Payroll staff;
AO/AA;
Headcount","Payroll staff;
AO/AA;
Full-time equivalent","Payroll staff;
EO;
Headcount","Payroll staff;
EO;
Full-time equivalent","Payroll staff;
SEO/HEO;
Headcount","Payroll staff;
SEO/HEO;
Full-time equivalent","Payroll staff;
Grade 6/7;
Headcount","Payroll staff;
Grade 6/7;
Full-time equivalent","Payroll staff;
SCS;
Headcount","Payroll staff;
SCS;
Full-time equivalent","Payroll staff;
Other, unknown, unspecified;
Headcount","Payroll staff;
Other, unknown, unspecified;
Full-time equivalent","Payroll staff;
Total;
Headcount","Payroll staff;
Total;
Full-time equivalent","Non-payroll staff;
Admin and Clerical;
Headcount","Non-payroll staff;
Admin and Clerical;
Full-time equivalent","Non-payroll staff;
Interim Managers & Specialist Contractors & Medical;
Headcount","Non-payroll staff;
Interim Managers & Specialist Contractors & Medical;
Full-time equivalent","Non-payroll staff;
Other Contingent labour;
Headcount","Non-payroll staff;
Other Contingent labour;
Full-time equivalent","Non-payroll staff;
Total Contingent labour;
Headcount","Non-payroll staff;
Total Contingent labour;
Full-time equivalent","Non-payroll staff;
Consultancy;
Number of Contracts","Grand Total (workforce numbers);
Headcount","Grand Total (workforce numbers);
Full-time equivalent","Payroll staff costs;
Salary","Payroll staff costs;
Allowances","Payroll staff costs;
Non-consolidated performance payments","Payroll staff costs;
Overtime","Payroll staff costs;
Employer pension contributions","Payroll staff costs;
Employer national insurance contributions","Payroll staff costs;
Total paybill","Non-Payroll staff costs;
Contingent labour","Non-Payroll staff costs;
Consultancy","Non-Payroll staff costs;
Total staff costs",Grand Total paybill/staffing (payroll and non-payroll) costs
2025,July,Cabinet Office,Ministerial Department,Cabinet Office,6.00,436.59,734.00,708.06,2508.00,2450.94,2959.00,2895.59,337.00,330.90,2541.00,2526.50,"9,085","9,349",42,16.61,361,320.65,0.00,0.00,403,337,3.00,"9,488","9,686","£40,792,402.68","£1,394,297.23","£291,504.49","£363,503.57","£10,222,504.12","£5,860,002.47","£58,924,214.56","£4,269,021.00","£34,029.75","£4,303,050.75","£63,227,265.31"
2025,July,Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,0.00,0.60,6.00,6.00,15.00,14.20,8.00,7.59,1.00,1.00,0.00,0.00,30,29,,,,,,,0,0,0.00,30,29,"£117,755.41","£1,013.33",£0.00,£0.00,"£34,113.73","£15,876.23","£168,758.70",£0.00,£0.00,£0.00,"£168,758.70"
2025,July,Crown Commercial Service,Executive Agency,Cabinet Office,16.00,16.00,92.00,87.58,414.00,393.05,190.00,181.36,24.00,24.00,,,736,702,,,43,42.90,0.00,0.00,43,43,,779,745,"£2,802,263.36","£58,875.80",£0.00,"£10,508.96","£813,607.97","£386,610.27","£4,071,866.36","£518,202.81","£17,199.30","£535,402.11","£4,607,268.47"
2025,July,Government Property Agency,Executive Agency,Cabinet Office,3.00,2.89,14.00,13.10,132.00,130.57,222.00,218.06,34.00,33.43,0.00,0.00,405,398,72,70.00,,,,,72,70,,477,468,"£1,848,560.00","£139,537.00",£0.00,£0.00,"£534,498.00","£273,727.00","£2,796,322.00","£665,732.14","-£58,073.29","£607,658.85","£3,403,980.85"
2025,July,Equality and Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,0.00,0.00,11.00,9.90,106.00,100.40,67.00,63.90,10.00,10.00,0.00,0.00,194,184,1,0.60,3,3.00,0.00,0.00,4,4,,198,188,"£769,069.00","£7,725.00",£0.00,"£6,780.00","£223,634.00","£105,170.00","£1,112,378.00","£32,566.00",,"£32,566.00","£1,144,944.00"
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
