Year,Month,Organisation name,Organisation type,"Main, parent or sponsoring department:","Payroll staff;
AO/AA;
Headcount","Payroll staff;
AO/AA;
Full-time equivalent","Payroll staff;
EO;
Headcount","Payroll staff;
EO;
Full-time equivalent","Payroll staff;
SEO/HEO;
Headcount","Payroll staff;
SEO/HEO;
Full-time equivalent","Payroll staff;
Grade 6/7;
Headcount","Payroll staff;
Grade 6/7;
Full-time equivalent","Payroll staff;
SCS;
Headcount","Payroll staff;
SCS;
Full-time equivalent","Payroll staff;
Other, unknown, unspecified;
Headcount","Payroll staff;
Other, unknown, unspecified;
Full-time equivalent","Payroll staff;
Total;
Headcount","Payroll staff;
Total;
Full-time equivalent","Non-payroll staff;
Admin and Clerical;
Headcount","Non-payroll staff;
Admin and Clerical;
Full-time equivalent","Non-payroll staff;
Interim Managers & Specialist Contractors & Medical;
Headcount","Non-payroll staff;
Interim Managers & Specialist Contractors & Medical;
Full-time equivalent","Non-payroll staff;
Other Contingent labour;
Headcount","Non-payroll staff;
Other Contingent labour;
Full-time equivalent","Non-payroll staff;
Total Contingent labour;
Headcount","Non-payroll staff;
Total Contingent labour;
Full-time equivalent","Non-payroll staff;
Consultancy;
Number of Contracts","Grand Total (workforce numbers);
Headcount","Grand Total (workforce numbers);
Full-time equivalent","Payroll staff costs;
Salary","Payroll staff costs;
Allowances","Payroll staff costs;
Non-consolidated performance payments","Payroll staff costs;
Overtime","Payroll staff costs;
Employer pension contributions","Payroll staff costs;
Employer national insurance contributions","Payroll staff costs;
Total paybill","Non-Payroll staff costs;
Contingent labour","Non-Payroll staff costs;
Consultancy","Non-Payroll staff costs;
Total staff costs",Grand Total paybill/staffing (payroll and non-payroll) costs,,,,,,,,,
2023,April,Department for Education,Ministerial Department,Department for Education,74,68.1,693,667.9,"3,306","3,193.3","2,803","2,695.4",241,230.3,9,8.8,"7,126",6864,26,26.0,102,92.1,0,0.0,128,118,,"7,254","6,982","£30,012,342.33","£315,041.76","£9,034.04","£70,337.47","£7,401,534.30","£3,186,488.63","£40,994,778.53","£1,295,755.75","£810,151.86","£2,105,907.61","£43,100,686.14",,,,,,,,,
2023,April,Education & Skills Funding Agency ,Executive Agency,Department for Education,3,2.7,51,49.2,470,451.8,225,219.2,18,17.3,0,0.0,767,740,0,0.0,4,4.0,0,0.0,4,4,4,771,744,"£2,771,743.20","£27,002.22","£3,129.78",£494.80,"£769,948.47","£319,092.68","£3,891,411.15","£14,638.97","£148,999.60","£163,638.57","£4,055,049.72",,,,,,,,,
2023,April,Teaching Regulation Authority,Executive Agency,Department for Education,8,7.8,32,31.1,37,35.1,7,6.8,2,2.0,0,0.0,86,83,0,0.0,0,0.0,6,6.0,6,6,0,92,89,"£227,622.95","£1,846.82",£0.00,£90.53,"£61,731.30","£24,059.22","£315,350.82","£3,258.57",£0.00,"£3,258.57","£318,609.39",,,,,,,,,
2023,April,Standards and Testing Agency,Executive Agency,Department for Education,1,1.0,13,12.8,79,75.0,34,32.5,3,3.0,0,0.0,130,124,0,0.0,0,0.0,0,0.0,0,0,0,130,124,"£449,637.93",£975.87,£0.00,"£2,018.44","£123,887.95","£50,803.75","£627,323.94",£0.00,£0.00,£0.00,"£627,323.94",,,,,,,,,
2023,April,The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,1,1.0,2,2.0,16,15.8,8,7.7,3,3.0,0,0.0,30,30,0,0.0,1,1.0,0,0.0,1,1,0,31,31,"£122,354.85","£1,511.02",£0.00,£0.00,"£31,362.88","£13,840.98","£169,069.73","£7,865.86",£0.00,"£7,865.86","£176,935.59",,,,,,,,,
2023,April,Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,57,51.3,354,347.7,277,273.9,30,29.8,5,5.0,1,0.2,724,708,10,10.0,0,0.0,0,0.0,10,10,0,734,718,"£2,356,009.91","£154,854.34",£0.00,"£34,431.38","£176,746.71","£258,239.61","£2,980,281.95","£115,940.55",£0.00,"£115,940.55","£3,096,222.50",,,,,,,,,
2023,April,Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,10,10,30,29.8,40,38.3,5,5,0,0,0,0,85,83,0,0.0,1,0.1,4,0.4,5,1,4,90,84,"£354,511.00","£45,258.00","£149,733.00",£0.00,"£50,050.00","£71,952.00","£671,504.00",£0.00,"£2,300.00","£2,300.00","£673,804.00",,,,,,,,,
2023,April,Office for Students,Executive Non-Departmental Public Body,Department for Education,19,18.6,12,12.0,192,177.9,162,150.8,44,42.3,0,0.0,429,402,3,3.0,6,6.0,0,0.0,9,9,0,438,411,"£1,549,014.50","£33,897.76",£0.00,"£1,264.35","£421,890.53","£171,317.99","£2,177,385.13","£30,821.17",£0.00,"£30,821.17","£2,208,206.30",,,,,,,,,
2023,April,Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,"1,716","1,611.4",410,395.2,951,927.4,331,326.4,46,45.6,0,0.0,"3,454",3306,1,1.0,5,5.0,0,0.0,6,6,0,"3,460","3,312","£7,982,791.56","£142,669.92","£11,915.16","£170,450.52","£1,799,991.09","£784,203.84","£10,892,022.09","£40,979.39",£0.00,"£40,979.39","£10,933,001.48",,,,,,,,,
2023,April,Institute for Apprenticeships and Technical Education,Executive Non-Departmental Public Body,Department for Education,8,8.0,10,10.0,128,125.7,176,171.0,14,13.2,0,0.0,336,328,0,0.0,0,0.0,8,8.0,8,8,0,344,336,"£1,344,577.00",£0.00,£0.00,£0.00,"£359,440.00","£154,537.00","£1,858,554.00","£30,596.00",£0.00,"£30,596.00","£1,889,150.00",,,,,,,,,
2023,April,LocatEd,Executive Non-Departmental Public Body,Department for Education,0,0.0,0,0.0,0,0.0,0,0.0,1,0.8,54,53.2,55,54,0,0.0,0,0.0,0,0.0,0,0,0,55,54,"£305,104.83",£0.00,£0.00,£0.00,"£15,863.98","£34,324.60","£355,293.41",£0.00,£0.00,£0.00,"£355,293.41",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
