Year,Month,Organisation name,Organisation type,"Main, parent or sponsoring department:","Payroll staff;
AO/AA;
Headcount","Payroll staff;
AO/AA;
Full-time equivalent","Payroll staff;
EO;
Headcount","Payroll staff;
EO;
Full-time equivalent","Payroll staff;
SEO/HEO;
Headcount","Payroll staff;
SEO/HEO;
Full-time equivalent","Payroll staff;
Grade 6/7;
Headcount","Payroll staff;
Grade 6/7;
Full-time equivalent","Payroll staff;
SCS;
Headcount","Payroll staff;
SCS;
Full-time equivalent","Payroll staff;
Other, unknown, unspecified;
Headcount","Payroll staff;
Other, unknown, unspecified;
Full-time equivalent","Payroll staff;
Total;
Headcount","Payroll staff;
Total;
Full-time equivalent","Non-payroll staff;
Admin and Clerical;
Headcount","Non-payroll staff;
Admin and Clerical;
Full-time equivalent","Non-payroll staff;
Interim Managers & Specialist Contractors & Medical;
Headcount","Non-payroll staff;
Interim Managers & Specialist Contractors & Medical;
Full-time equivalent","Non-payroll staff;
Other Contingent labour;
Headcount","Non-payroll staff;
Other Contingent labour;
Full-time equivalent","Non-payroll staff;
Total Contingent labour:
Headcount","Non-payroll staff;
Total Contingent labour:
Full-time equivalent","Non-payroll staff;
Consultancy;
Number of Contracts","Grand Total (workforce numbers);
Headcount","Grand Total (workforce numbers);
Full-time equivalent","Payroll staff costs;
Salary","Payroll staff costs;
Allowances","Payroll staff costs;
Non-consolidated performance payments","Payroll staff costs;
Overtime","Payroll staff costs;
Employer pension contributions","Payroll staff costs;
Employer national insurance contributions","Payroll staff costs;
Total paybill","Non-Payroll staff costs;
Contingent labour","Non-Payroll staff costs;
Consultancy","Non-Payroll staff costs;
Total staff costs",Grand Total paybill/staffing (payroll and non-payroll) costs,,,,,,,,,
2022,November,Department for Work and Pensions,Ministerial Department,Department for Work and Pensions,26827.00,23001.26,43700.00,39162.75,11539.00,10886.89,3772.00,3635.18,270.00,262.07,0.00,0.00,"86,108","76,948",0,0.00,803,803.00,0.00,0.00,803,803,0.00,"86,911","77,751","£187,943,520.51","£4,294,632.41","£805,260.95","£4,825,631.55","£52,006,401.99","£18,584,924.11","£268,460,371.52","£12,680,944.93","£160,700.00","£12,841,644.93","£281,302,016.45",,,,,,,,,
2022,November,Health and Safety Executive,Crown Non Departmental Public Body,Department for Work and Pensions,288.00,257.93,512.00,486.84,1445.00,1374.15,528.00,506.46,30.00,29.09,0.00,0.00,"2,803","2,654",21,21.00,36,36.00,0.00,0.00,57,57,0.00,"2,860","2,711","£9,801,525.37","£162,837.41","£96,833.00","£19,116.13","£2,606,743.39","£1,123,910.05","£13,810,965.35","£556,516.89",£0.00,"£556,516.89","£14,367,482.24",,,,,,,,,
2022,November,The Pensions Regulator,Executive Non-Departmental Public Body,Department for Work and Pensions,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,923.00,896.04,923,896,66,63.76,0,0.00,4.00,4.00,70,68,0.00,993,964,"£3,808,563.23",£0.00,"£125,277.75","£6,340.13","£1,051,012.45","£433,073.66","£5,424,267.22",£0.00,"£944,413.77","£944,413.77","£6,368,680.99",,,,,,,,,
2022,November,Money & Pensions Service,Executive Non-Departmental Public Body,Department for Work and Pensions,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,491.00,471.10,491,471,0,0.00,15,14.80,0.00,0.00,15,15,0.00,506,486,"£2,316,826.38","£27,138.85",£0.00,£0.00,"£237,623.58","£264,032.59","£2,845,621.40","£235,658.52",£0.00,"£235,658.52","£3,081,279.92",,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,
