Year,Month,Organisation name,Organisation type,"Main, parent or sponsoring department:","Payroll staff;
AO/AA;
Headcount","Payroll staff;
AO/AA;
Full-time equivalent","Payroll staff;
EO;
Headcount","Payroll staff;
EO;
Full-time equivalent","Payroll staff;
SEO/HEO;
Headcount","Payroll staff;
SEO/HEO;
Full-time equivalent","Payroll staff;
Grade 6/7;
Headcount","Payroll staff;
Grade 6/7;
Full-time equivalent","Payroll staff;
SCS;
Headcount","Payroll staff;
SCS;
Full-time equivalent","Payroll staff;
Other, unknown, unspecified;
Headcount","Payroll staff;
Other, unknown, unspecified;
Full-time equivalent","Payroll staff;
Total;
Headcount","Payroll staff;
Total;
Full-time equivalent","Non-payroll staff;
Admin and Clerical;
Headcount","Non-payroll staff;
Admin and Clerical;
Full-time equivalent","Non-payroll staff;
Interim Managers & Specialist Contractors & Medical;
Headcount","Non-payroll staff;
Interim Managers & Specialist Contractors & Medical;
Full-time equivalent","Non-payroll staff;
Other Contingent labour;
Headcount","Non-payroll staff;
Other Contingent labour;
Full-time equivalent","Non-payroll staff;
Total Contingent labour;
Headcount","Non-payroll staff;
Total Contingent labour;
Full-time equivalent","Non-payroll staff;
Consultancy;
Number of Contracts","Grand Total (workforce numbers);
Headcount","Grand Total (workforce numbers);
Full-time equivalent","Payroll staff costs;
Salary","Payroll staff costs;
Allowances","Payroll staff costs;
Non-consolidated performance payments","Payroll staff costs;
Overtime","Payroll staff costs;
Employer pension contributions","Payroll staff costs;
Employer national insurance contributions","Payroll staff costs;
Total paybill","Non-Payroll staff costs;
Contingent labour","Non-Payroll staff costs;
Consultancy","Non-Payroll staff costs;
Total staff costs",Grand Total paybill/staffing (payroll and non-payroll) costs
2026,April,"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",59.00,55.49,383.00,365.32,3113.00,3007.79,2712.00,2616.01,231.00,223.95,2.00,2.00,"6,500","6,271",69,69.00,93,93.00,,,162,162,8.00,"6,662","6,433","£29,044,643.00","£607,154.00","£72,585.00","£139,101.00","£7,803,789.00","£2,800,262.00","£40,467,534.00","£2,662,398.00","£965,061.00","£3,627,459.00","£44,094,993.00"
2026,April,Animal and Plant Health Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",836.00,766.64,897.00,859.16,1248.00,1199.27,358.00,342.41,6.00,6.00,,,"3,345","3,173",101,101.00,22,22.00,,,123,123,0.00,"3,468","3,296","£9,786,228.28","£390,266.11","£1,000.00","£178,251.14","£2,890,613.71","£1,351,908.41","£14,598,267.65","£771,324.11",£491.00,"£771,815.11","£15,370,082.76"
2026,April,"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",12.00,11.51,103.00,97.32,360.00,341.83,162.00,150.22,5.00,5.00,0.00,0.00,642,606,,,,,2.00,2.00,2,2,0.00,644,608,"£2,112,636.77","£3,471.54",£0.00,"£41,000.07","£623,766.85","£327,751.80","£3,108,627.03","£19,337.88",£0.00,"£19,337.88","£3,127,964.91"
2026,April,Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",1221.00,1103.43,590.00,547.85,557.00,529.57,123.00,120.59,5.00,5.00,,,"2,496","2,306",2,2.00,5,5.00,,,7,7,0.00,"2,503","2,313","£6,081,917.40","£2,431.43",£0.00,"£47,320.78","£1,740,312.45","£766,701.81","£8,638,683.87","£73,891.47",,"£73,891.47","£8,712,575.34"
2026,April,Veterinary Medicines Directorate,Executive Agency,"Department for Environment, Food and Rural Affairs",19.00,18.46,29.00,28.21,81.00,79.59,72.00,71.34,2.00,2.00,0.00,0.00,203,200,19,19.00,0,0.00,0.00,0.00,19,19,4.00,222,219,"£818,943.17","£25,362.91",£0.00,"£20,106.28","£244,659.63","£121,885.17","£1,230,957.16","£132,339.86","£187,296.64","£319,636.50","£1,550,593.66"
2026,April,Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,367.00,351.89,367,352,0,0.00,0,0.00,0.00,0.00,0,0,0.00,367,352,"£1,425,305.07","£59,177.58",£0.00,£0.00,"£131,459.70","£203,424.51","£1,819,366.86",£0.00,£0.00,£0.00,"£1,819,366.86"
2026,April,Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",2.00,1.86,24.00,22.34,34.00,33.62,19.00,18.62,4.00,4.00,,,83,80,,,1,1.00,4.00,4.00,5,5,0.00,88,85,"£285,999.35","£1,585.85",,£117.61,"£80,377.81","£38,389.01","£406,469.63","£30,479.85",,"£30,479.85","£436,949.48"
2026,April,Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",757.00,721.83,2187.00,2096.59,7441.00,7103.70,3298.00,3142.29,141.00,137.63,,,"13,824","13,202",108,102.47,400,347.47,,,508,450,6.00,"14,332","13,652","£46,681,193.18","£481,569.22",£0.00,"£1,355,613.76","£6,978,722.15","£6,383,997.75","£61,881,096.06",,,£0.00,"£61,881,096.06"
2026,April,Joint Nature Conservation Committee,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",7.00,5.60,17.00,17.00,214.00,205.32,45.00,42.72,4.00,4.00,0.00,0.00,287,275,4,4.00,2,1.15,0.00,0.00,6,5,0.00,293,280,"£889,875.31","£34,239.81",£250.00,"£6,799.78","£265,026.91","£121,255.60","£1,317,447.41","£6,496.58",£0.00,"£6,496.58","£1,323,943.99"
2026,April,Marine Management Organisation,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",14.00,12.22,130.00,127.62,247.00,238.07,90.00,88.04,8.00,7.73,7.00,7.00,496,481,,,,,16.00,15.00,16,15,0.00,512,496,"£1,552,422.57","£34,458.83","£241,123.00","£33,915.33","£461,846.06","£221,529.47","£2,545,295.26","£52,953.33",,"£52,953.33","£2,598,248.59"
