Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,195,182.91,223,215.87,675,660.94,680,654.88,133,129.06,0,0,1906,1843.66,22,22.00,1,1.00,98,88.26,0,0,121,111.26,2027,1954.92,7776840.38,28370.29,17501.47,84503.74,1541717.33,771751.19,10220684.4,1227458.844,275695.776,1503154.62,11723839.02,,,1227458.844,275695.776,1503154.62
Driving Standards Agency,Executive Agency,Department for Transport,221,183.00,1661,1540.05,301,295.35,42,41.83,0,0.00,0,0,2225,2060.23,11,11.00,0,0.00,0,0.00,0,0,11,11.00,2236,2071.23,5380656.32,119797.13,3825,189964.82,874828.98,431976.65,7001048.9,63534.56,10433.44,36984,7038032.9,,,,,
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4310,3788.24,753,709.60,591,568.46,123,118.86,7,7.00,0,0,5784,5192.16,0,0.00,2,0.90,3,2.35,0,0,5,3.25,5789,5195.41,9377965,77436,1519,333587,1645491,507786,11943784,83308,-10250,73058,12016842,,,,,
Highways Agency,Executive Agency,Department for Transport,1396,1348.41,343,322.96,1429,1382.38,350,337.89,36,35.19,0,0,3554,3426.84,0,0.00,94,30.94,0,0.00,0,0,94,30.94,3648,3457.78,8838659.16,672141.28,-280516.54,133548.02,1789389.36,901419.65,12054640.93,548604.02,0,548604.02,12603244.95,,,,,
Maritime and Coastguard Agency,Executive Agency,Department for Transport,426,390.18,217,208.24,294,266.62,107,102.90,5,5.00,0,0,1049,972.94,23,23.00,0,0.00,0,0.00,0,0,23,23.00,1072,995.94,2438122.08,247293.76,718784.53,176086.88,504798.01,243144.06,4328229.32,98991.55,0,98991.55,4427220.87,,,,,
Vehicle Certification Agency,Executive Agency,Department for Transport,43,38.15,39,36.80,78,76.25,8,8.00,1,1.00,0,0,169,160.20,4,4.00,0,0.00,0,0.00,0,0,4,4.00,173,164.20,487971,25931,-2250,10166,88700,54038,664556,12329,0,12329,676885,,,,,
Vehicle and Operator Services Agency,Executive Agency,Department for Transport,1015,953.38,785,768.09,410,402.89,42,41.55,5,5.00,0,0,2257,2170.91,47,46.17,11,11.00,40,40.00,0,0,98,97.17,2355,2268.08,4816218.36,368497.83,800,321640.13,918056.77,423547.58,6848760.67,565672.07,0,565672.07,7414432.74,,,,,
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0.00,1,1.00,5,5.00,3,2.70,1,1.00,0,0,10,9.70,0,0.00,0,0.00,3,2.30,0,0,3,2.30,13,12.00,35632.42,2864.72,,,4573.74,3153.42,46224.3,17400,16367,33767,79991.3,,,,,
Directly Operated Railways Ltd,Executive Non-Departmental Public Body,Department for Transport,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,12,1,12,1.00,5.8,0.10,0,0.00,0,0.00,0,0,5.8,0.10,17.8,1.10,59697.95,,,,3441.94,6279.18,69419.07,0,1585,1585,71004.07,,,,,
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,75,74.40,11,11.00,216,213.20,115,114.60,20,19.80,1,1,438,434.00,45,45.00,83,82.40,175,175.00,0,0,303,302.40,741,736.40,2125823,,0,0,95504,280601,2501928,1253286,0,1253286,3755214,,,,,
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,28,10.50,18,18.00,63,62.60,14,13.80,4,4.00,71,65.7,198,174.60,5,1.80,0,0.00,0,0.00,0,0,5,1.80,203,176.40,507697.69,11283.48,0,20105.84,2537.35,45080.49,586704.85,5705.2,0,5705.2,592410.05,,,,,
Passenger Focus,Executive Non-Departmental Public Body,Department for Transport,1,1.00,15,14.80,13,12.60,12,11.90,3,3.00,0,0,44,43.30,0,0.00,0,0.00,5,1.50,0,0,5,1.50,49,44.80,149884,409,,,27905,13965,192163,13383,0,13383,205546,,,,,
Trinity House,Executive Non-Departmental Public Body,Department for Transport,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,308,298,308,298.00,6,6.00,0,0.00,0,0.00,0,0,6,6.00,314,304.00,1040065.09,7133,49,28818.52,162716.07,98446.58,1337228.26,9198.68,0,9198.68,1346426.94,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
