Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,80,77.0,235,227.6,686,665.3,519,500.8,83,79.6,0,0.0,"1,603","1,550",3,3,2,2,33,25.78,1,1,39,31.78,"1,642","1,582","£5,367,454.41","£79,384.22","£1,500.00","£18,637.51","£1,153,447.43","£476,290.56","£7,096,714.13","£185,588.00","£52,322.00","£237,910.00","£7,334,624.13",,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,211,188.1,121,108.5,103,99.3,302,254.2,7,7.0,0,0.0,744,657,3,3,0,0,80,42.7,0,0,83,45.7,827,703,"£2,096,112.44","£112,786.39","£31,780.62","£13,773.32","£443,220.57","£196,683.49","£2,894,356.83","£223,011.85",£0.00,"£223,011.85","£3,117,368.68",,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4.0,12,12.0,21,21.0,5,5.0,1,1.0,0,0.0,43,43,4,4,0,0,0,0,0,0,4,4,47,47,"£135,534.26",£889.00,£250.00,"£12,966.84","£26,713.86","£13,465.44","£189,819.40","£14,486.00",£0.00,"£14,486.00","£204,305.40",,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,143,134.5,313,305.9,319,311.4,79,77.1,65,64.7,0,0.0,919,894,3,3,12,12,8,8,0,0,23,23,942,917,"£3,550,844.30","£87,156.60",£0.00,"£4,373.86","£731,739.32","£323,825.45","£4,697,939.53","£173,160.00",£0.00,"£173,160.00","£4,871,099.53",,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,46,44.7,46,45,8,8,0,0,0,0,0,0,8,8,54,52.7,"£166,922.69",£96.42,£0.00,£745.91,"£32,246.03","£15,614.51","£215,625.56","£43,726.00",£0.00,"£43,726.00","£259,351.56",,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,2.6,1,1.0,17,16.5,0,0.0,1,1.0,0,0.0,22,21,0,0,0,0,0,0,0,0,0,0,22,21,"£66,600.00",£0.00,£0.00,£0.00,"£6,322.00","£6,813.00","£79,735.00",£0.00,£0.00,£0.00,"£79,735.00",,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,23,21.5,38,37.0,12,11.7,2,2.0,1,1.0,0,0.0,76,73,2,2,0,0,0,0,0,0,2,2,78,75,"£210,510.01","£1,489.65",£0.00,£0.00,"£33,747.45","£17,435.22","£263,182.33","£15,192.07",£0.00,"£15,192.07","£278,374.40",,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,7,7,0,0,0,0,7,7,7,7,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,"£87,717.00",£0.00,"£87,717.00","£87,717.00",,
