"Please read the additional data fields descriptions before entering information into this template. Completed templates must be returned to your organisation's main, parent or sponsoring department. They will provide one return to Cabinet Office capturing information for all their relevant organisations.
(NB: This data sheet is password protected. Contact Cabinet Office if you require the password.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Ministry for Housing Communities and Local Government,Ministerial Department,Ministry for Housing Communities and Local Government,73,69.8,274,269.5,740,719,594,580.8,103,99.7,0,0,"1,784","1,738.80",0,0,2,2,34,34,3,3,39,39,"1,823","1,777.80","£5,682,505.51","£158,948.17","£19,150.00","£26,141.57","£1,324,316.16","£711,572.41","£7,922,633.82","£247,626","£5,735.00","£253,361.00","£8,175,994.82",,
Planning Inspectorate,Executive Agency,Ministry for Housing Communities and Local Government,162,145,93,83.9,96,92.4,323,278.9,8,8,0,0,682,608.3,21,21,0,0,53,21.6,0,0,74,42.6,756,650.9,"£1,990,454.88","£33,101.58",£0.00,"£1,507.08","£431,170.78","£211,075.35","£2,667,309.67",163413.5,0,"£163,413.51","£2,830,723.18",,
Queen Elizabeth II Conference Centre,Executive Agency,Ministry for Housing Communities and Local Government,5,5,11,11,27,27,4,4,1,1,,,48,48,5,5,,,,,4,4,9,9,57,57,"£151,871.00","£2,623.00",£500.00,"£21,000.00","£31,416.00","£19,290.00","£226,700.00","£13,504.00","£8,920.00","£22,424.00","£249,124.00",,
Homes England,Executive Non-Departmental Public Body,Ministry for Housing Communities and Local Government,20,19.6,220,212.8,248,244.1,304,298.4,51,50.8,0,0,843,825.7,32,32,6,6,1,1,1,1,40,40,883,865.7,"£4,175,448.94","£198,994.85","£178,675.50","£10,486.20","£852,063.93","£474,892.57","£5,890,561.99","£201,671.60","£22,067.18","£223,738.78","£6,114,300.77",,HCA is Now Homes England
Housing Ombudsman Service,Executive Non-Departmental Public Body,Ministry for Housing Communities and Local Government,,,,,,,,,,,54,51.9,54,51.9,11,10.5,,,,,,,11,10.5,65,62.4,"£201,581.57",,,,"£37,225.65","£21,166.32","£259,973.54","71,688.93",,"£71,688.93","£331,662.47",,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Ministry for Housing Communities and Local Government,3,2.8,1,1,21,20.3,,,1,1,,,26,25.1,,,,,,,,,0,0,26,25.1,"£76,874.58",,,,"£9,391.78","£8,085.55","£94,351.91",,,£0.00,"£94,351.91",,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Ministry for Housing Communities and Local Government,18,16.9,32,31.8,11,10.7,3,3,1,1,,,65,63.4,5,4.8,,,,,,,5,4.8,65,63.4,"£192,038.82","£1,317.79","£11,978.62","£1,083.20","£27,195.94","£20,609.92","£254,224.29","£13,988.55",,"£13,988.55","£268,212.84",,Currently recruiting to a number of vacant posts following turnover in our administratiive and professional teams.
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Ministry for Housing Communities and Local Government,3,2.4,2,2,7,6.8,11,11,4,4,0,0,27,26.2,0,0,4,2.6,0,0,0,0,4,2.6,27,26.2,"£109,928.00",£0.00,£0.00,£0.00,"£16,870.00","£12,554.00","£139,352.00","£24,000.00",£0.00,"£24,000.00","£163,352.00",,
