"Main 
department
","Organisation
",Delegated grades ,,,,,,,,,,,,,,"SCS on standard contracts 
",,,,,,,,,,,,,,Information for SCS on non-standard terms,,,"Comments
"
,,"Annual Paybill 
(delegated grades
for financial year 2019/20)","Headcount 
(delegated grades as at 31 March 2020)",In-year,,,,,End of Year,,,,,Total,,Annual SCS Paybill for those SCS on standard contracts,Number of SCS on standard contracts - Headcount ,In-year,,,,,End of Year,,,,,Total,,,,,
,,,,"Cost of in-year NCPRP for delegated grades
(£s)",Number of staff in delegated grades receiving an in-year NCPRP,Number of staff in delegated grades receiving an in-year NCPRP as a % of headcount,Value of maximum in-year NCPRP paid to a member of staff in the delegated grades,Median NCPRP for those receiving an in-year NCPRP for delegated grades,"Cost of end of year NCPRP for delegated grades
(£s)",Number of staff in delegated grades receiving an end of year NCPRP,Delegated grade staff receiving an end of year NCPRP as a % of headcount,Value of maximum end of year NCPRP paid to a member of staff in the delegated grades,Median NCPRP for those receiving an end of year NCPRP for delegated grades,"Overall cost of NCPRP (in-year and end of year) for delegated grades
","Cost of NCPRP as a % of paybill for delegated grades
(%)",,,"Cost of in-year NCPRP for SCS standard contract staff
(£s)",Number of SCS standard contract staff receiving an in-year NCPRP,SCS standard contract staff receiving an in-year NCPRP as a % of SCS standard contract staff headcount,Value of maximum in-year NCPRP paid to a member of SCS standard contract staff in 2019/20,Median in-year NCPRP for those SCS standard contract staff receiving an in-year NCPRP,"Cost of end of year NCPRP for SCS standard contract staff
(£s)",Number of SCS standard contract staff receiving an end of year NCPRP,SCS standard contract staff receiving an end of year NCPRP as a % of SCS standard contract staff headcount,Value of maximum end of year NCPRP paid to a member of SCS standard contract staff for 2019/20,Median end of year NCPRP for those SCS standard contract staff receiving an end of year NCPRP,"Overall cost of NCPRP (in-year and end of year) for SCS on standard contracts
","Cost of NCPRP as a % of paybill for SCS on standard contracts
(%)","Number of SCS on non-standard performance pay terms - Headcount  
(as at 31 March 2020)",Value of maximum in-year NCPRP paid to a member of SCS on non-standard performance pay terms,Value of maximum end of year NCPRP paid to a member of SCS on non-standard performance pay terms,
Cabinet Office,Cabinet Office,"£368,842,766",7221,"£1,015,940",1602,22.2%,"£5,000",£400,"£4,592,319",6570,91.0%,"£12,000",£321,"£5,608,259",1.5%,"£49,954,983",429,"£205,784",58,13.5%,"£5,000","£4,000","£1,003,094", 143 ,33%,"£35,000","£5,000","£1,208,878",2.4%,334,"£4,000","£23,645",SCS on non-standard terms includes Commercial Specialists and Parliamentary Counsel.
Cabinet Office,Government Property Agency,"£6,126,531",143,"£10,901",31,21.7%,£500,£250,"£64,334",117,81.8%,"£2,031","£1,051","£75,235",1.2%,"£678,834",9,"£4,000",1,11.1%,"£4,000","£4,000","£20,000", 4 ,44%,"£5,000","£5,000","£24,000",3.5%,0,£0,£0,
Cabinet Office,Crown Commercial Service,"£30,004,917",672,"£15,934",22,3.3%,"£1,339",£711,"£269,264",221,32.9%,"£2,000",£900,"£285,198",1.0%,"£3,318,192",22,£0,0,0.0%,£0,£0,"£32,500", 7 ,32%,"£5,000","£5,000","£32,500",1.0%,0,£0,£0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
