Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Justice,Ministerial Department,Ministry of Justice,1101,1033.66,845,813.16,1632,1576.62,846,816.14,127,123.52,0,0.00,"4,551","4,363.10",173.5,173.50,21,21.00,157,157.00,0,0.00,351.5,351.50,"4,903","4,714.60","£13,299,637.33","£224,684.78","£23,327.49","£75,804.02","£2,327,896.92","£1,196,863.79","£17,148,214.33","£2,609,985.29","£2,162,933.26","£4,772,918.55","£21,921,132.88",,"Headcount of contingent workers not known.
Internal Audit (Nov 12) resulted in amendments to Paybill costs having to be submitted."
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,14693,12832.53,3861,3593.36,3059,2853.78,751,733.23,45,45.00,0,0.00,"22,409","20,057.90",332.2,332.20,0,0.00,0,0.00,0,0.00,332.2,332.20,"22,741","20,390.10","£38,009,878.79","£809,210.70","£35,592.05","£198,919.59","£6,702,809.34","£2,563,464.30","£48,319,874.77","£623,400.04","-£27,731.34","£595,668.70","£48,915,543.47",,Not able to provide breakdown of contingent workers.  Where not known placed in Agency column. Headcount of Contingent Workers not known.
Land Registry,Non-Ministerial Department,Ministry of Justice,318,279.99,2621,2291.08,2093,1937.19,196,183.61,23,22.41,0,0.00,"5,251","4,714.28",0,0,2,2.00,0,0,0,0,2,2.00,"5,253","4,716.28","£10,933,389.46","£213,370.14","£1,200.00","£26,629.44","£2,132,188.78","£814,227.09","£14,121,004.91","£76,611.55","£71,019.11","£147,630.66","£14,268,635.57",,Includes outstanding invoices mentioned in April return
National Archives,Executive Agency,Ministry of Justice,186,166.96,123,118.3,242,235.15,62,61.11,6,6.00,0,0.00,619,587.52,6,5.20,0,0.00,3,3.00,0,0.00,9,8.20,628,595.72,"£1,464,487.97","£6,149.93",£0.00,"£25,533.13","£269,365.56","£122,417.71","£1,887,954.30","£14,952.30",(..),"£14,952.30","£1,902,906.60",,May AA/AO headcount increases as 13.6 FTE's recruited for Opening Up Archives project. These posts are funded by the Heritage Lottery Fund.
National Offender Management Service,Executive Agency,Ministry of Justice,36688,35165.97655,7502,7204.612302,3327,3142.315733,703,684.1109175,46,46.00,0,0,"48,266","46,243.02",401,401.00,0,0,0,0,0,0,401,401.00,"48,667","46,644.02","£104,909,632.83",£0.00,£0.00,"£856,570.72","£19,691,699.94","£8,292,128.61","£133,750,032.10","£1,546,403.11",(..),"£1,546,403.11","£135,296,435.21",,Not able to provide breakdown of contingent workers. New system of data collection to capture the detail required is being developed. Where not known placed in Agency column. Also unable to separate allowances and bonus payments from main payroll data.
The Office of the Public Guardian,Executive Agency,Ministry of Justice,251,232.31,116,109.45,62,61.19,11,10.74,2,1.78,0,0.00,442,415.47,154,95.00,0,0.00,0,0.00,0,0.00,154,95.00,596,510.47,"£783,226.19","£22,790.54",£150.00,"£31,457.62","£130,500.71","£59,440.85","£1,027,565.91","£282,103.16",(..),"£282,103.16","£1,309,669.07",,Not able to provide breakdown of contingent workers.  Where not known placed in Agency column.
UK Supreme Court,Non-Ministerial Department,Ministry of Justice,5,5.00,17,16.60,17,17,7,6.47,2,2.00,0,0.00,48,47.07,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,48,47.07,"£133,055.10",£214.31,£375.00,"£1,211.12","£24,726.48","£12,279.90","£171,861.91",(..),(..),£0.00,"£171,861.91",,
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0.00,77,70.67,77,70.67,2,2.00,0,0.00,0,0.00,0,0.00,2,2.00,79,72.67,"£198,959.00",£33.00,(..),£567.00,"£38,146.00","£15,987.00","£253,692.00","£3,362.00",(..),"£3,362.00","£257,054.00","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles.",
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0.00,351,321.99,351,321.99,4,3.54,0,0.00,0,0.00,0,0.00,4,3.54,355,325.53,"£735,577.00","£1,335.00",£0.00,"£1,736.00","£132,769.00","£49,032.00","£920,449.00","£8,240.00",(..),"£8,240.00","£928,689.00",,
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,12,12.00,19,18.20,28,27.6,15,14.4,4,4.00,1,0.60,79,76.80,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,79,76.80,"£228,185.00","£1,930.00",(..),(..),"£42,120.00","£17,979.00","£290,214.00",(..),(..),£0.00,"£290,214.00",,
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0.00,33,32.70,33,32.70,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,33,32.70,"£154,977.00",(..),(..),(..),"£31,427.00","£18,704.00","£205,108.00",(..),(..),£0.00,"£205,108.00","LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision",
Legal Services Commission,Executive Non-Departmental Public Body,Ministry of Justice,686,645.4,255,244.1,396,381,94,92.4,18,12.20,1,0.70,"1,450","1,375.80",85,84.00,(..),(..),12,12.00,(..),(..),97,96.00,"1,547","1,471.80","£3,217,170.00",(..),(..),"£45,140.97","£73,091.86","£267,220.97","£3,602,623.80","£917,171.95",(..),"£917,171.95","£4,519,795.75",,
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,25,24.6,45,43.7,16,15.6,6,6,1,1.00,1,0.40,94,91.30,2,2.00,0,0.00,0,0.00,0,0.00,2,2.00,96,93.30,"£186,408.30","£21,134.96",(..),"£1,899.29","£34,993.20","£16,843.56","£261,279.31","£20,468.21",(..),"£20,468.21","£281,747.52",,"SCS grade, 1 HEO and 1 Grade 7 are seconded to the Parole Board and the organisation is invoiced for these members of staff.The organisation was under headcount due to recruitment processes due to the recruitment freeze. This has now rectified itself. "
