Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)",,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,69,66.32,194,190.21,630,607.97,468,455.26,79,77.02,0,0,"1,440","1,397",3,3.0,3,3.0,60,52.41,5,5.0,71,63.41,"1,511","1,460","£4,832,933.01","£107,049.68","£11,125.00","£31,243.19","£1,048,004.49","£553,197.47","£6,583,552.84","£53,809.00","£32,640.00","£86,449.00","£6,670,001.84",,,,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,164,149,100,90.9,84,81,319,272.3,7,7,0,0,674,600,20,20,0,0,63,15.6,0,0,83,35.6,757,636,"£1,960,033.24","£31,303.67",£0.00,"£4,736.19","£419,252.87","£216,602.22","£2,631,928.19","£201,308.25",£0.00,"£201,308.25","£2,833,236.44",,,,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4,15,15,26,26,5,5,1,1,0,0,51,51,4,4,0,0,0,0,4,4,8,8,59,59,"£159,980.80",£647.00,£0.00,"£1,930.59","£32,114.38","£17,343.12","£212,015.89","£10,224.00","£7,950.00","£18,174.00","£230,189.89",,,,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,35,32.76,201,192.48,283,277.35,253,249.9,51,50.08,0,0,823,803,4,4,4,4,2,2,0,0,10,10,833,813,"£3,243,985.40","£87,589.82",£0.00,"£2,451.32","£707,390.99","£382,127.71","£4,423,545.24","£55,682.13",£0.00,"£55,682.13","£4,479,227.37",Figures at different CS grade levels have changed as HCA is restructuring its organization and grades,,,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0,0,0,0,0,0,0,0,0,46,45,46,45,18,16.8,0,0,0,0,0,0,18,16.8,64,62,"£197,825.01",£0.00,£0.00,"£5,893.68","£36,677.80","£20,956.35","£261,352.84","£112,637.69",£0.00,"£112,637.69","£373,990.53",,,,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,2.8,1,1,17,16.3,0,0,1,1,0,0,22,21,0,0,0,0,0,0,0,0,0,0,22,21,"£77,188.39",£0.00,£0.00,£0.00,"£6,606.48","£8,387.00","£92,181.87",£0.00,£0.00,£0.00,"£92,181.87",,,,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,24,22.518,30,29.773,13,12.736,1,1,1,1,0,0,69,67,9,9,0,0,0,0,0,0,9,9,78,76,"£187,622.90","£1,529.28","£5,499.60",£0.00,"£31,486.65","£20,944.54","£247,082.97","£50,279.59",£0.00,"£50,279.59","£297,362.56",,Temporary agency workers have been recruited to cover key permanent vacancies and maternity leavers - particularly within Finance. Agency and internal staff are being considered for potential recruitment to perm. vacancies in line with Agency Workers Regs.,,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,1,1,3,3,6,5.4,12,12,5,4.5,0,0,27,26,0,0,2,1.6,0,0,0,0,2,1.6,29,28,"£128,970.00",£0.00,£0.00,£0.00,"£10,680.00","£15,129.00","£154,779.00","£15,054.00",£0.00,"£15,054.00","£169,833.00",,,,
