Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,42,41.55,251,243.03,594,576.26,590,565.17,132,126.88,0,0,1609,1552.89,42,41.32,6,5.5,27,26.61,0,0,75,73.43,1684,1626.32,5728976.64,-1435.69,62355,21494.81,1560599.28,675094.33,8047084.37,1557122.72,0,1557122.72,9604207.09,0
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,308,286.5,391,379,1995,1925.06,456,444.28,148,135.98,17,17,3315,3187.82,6,6,0,0,0,0,0,0,6,6,3321,3193.82,12770042,36949,0,23884,659741,514821,14005437,75816.35,0,75816.35,14081253.35,0
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,7,7,405,383.6,788,758.7,1362,1318,204,189.4,0,0,2766,2656.7,190,143.6,35,22.1,50,35.8,0,0,275,201.5,3041,2858.2,10474568.18,148654.56,0,20782.42,1440971.08,1252379.22,13337355.46,1846088.35,0,1846088.35,15183443.81,0
Health Education England,Special Health Authority,Department of Health,93,88.05,628,582.65,576,542.17,511,477.14,856,289.07,0,0,2664,1979.08,113,87.99,1,0.4,0,0,0,0,114,88.39,2778,2067.47,7507532.71,95955.31,0,5771.4,891235.63,760846.51,9261341.56,374481.66,0,374481.66,9635823.22,0
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,2,1,75,71.81,74,71.05,33,29.8,6,6,0,0,190,179.66,6,4.17,0,0,0,0,0,0,6,4.17,196,183.83,590512.6,0,0,0,71863.71,58389.94,720766.25,22120.76,0,22120.76,742887.01,0
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,14,13.2,38,35.4,9,8.5,3,3,0,0,64,60.1,2,2,0,0,5,5,0,0,7,7,71,67.1,221181.11,0,0,189.77,59856,25166,306392.88,0,0,0,306392.88,0
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,1,0.5,7,7,29,28.78,9,9,3,3,0,0,49,48.28,0,0,0,0,0,0,0,0,0,0,49,48.28,190092.45,338.33,0,660.21,33212.5,21353.49,245656.98,5989.97,0,5989.97,251646.95,0
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health,58,56.92,180,174.58,488,483.31,393,378.8,163,147.03,0,0,1282,1240.64,0,0,0,0,0,0,0,0,0,0,1282,1240.64,4837877.39,24895.21,4075,7749.06,1317865.14,542192.63,6734654.43,958267.805,0,958267.805,7692922.235,0
Monitor,Executive Non-Departmental Public Body,Department of Health,11,10.8,18,17.6,59,58,172,166.8102778,38,36.00555556,0,0,298,289.2158333,4,4,0,0,5,5,0,0,9,9,307,298.2158333,1231267.1,0,0,0,476346.36,212462.49,1920075.95,340413.9,0,340413.9,2260489.85,0
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,16,15,89,84.33,261,242.21,238,221.75,61,57.88,3,1.8,668,622.97,8,6.28,0,0,1,1,0,0,9,7.28,677,630.25,2417316.54,17607.4,31308.33,0,324210.12,271653.27,3062095.66,45730.03,0,45730.03,3107825.69,0
NHS Blood & Transplant,Special Health Authority,Department of Health,2042,1652.68,1109,1023.37,1519,1402.59,541,528.44,65,62.1,49,44.7,5325,4713.88,35,35,2,2,6,6,0,0,43,43,5368,4756.88,13007828.83,889968.8226,0,279572.3065,1878546.94,1439466.42,17495383.32,153539.81,0,153539.81,17648923.13,0
NHS Business Services Authority,Special Health Authority,Department of Health,1864,1646.49,574,545.9,339,331.4,205,192.66,50,50,0,0,3032,2766.45,77,77,0,0,0,0,28,28,105,105,3137,2871.45,5785393.16,12955.96,109571.89,40942.26,712229.62,520146.67,7181239.56,473010.45,0,473010.45,7654250.01,0
NHS England,Special Health Authority,Department of Health,541,498.2431,622,593.3667,1575,1509.9901,2776,2661.3073,787,741.5495,149,67.8623,6450,6072.319,329,318.77333,70,39.0968,0,0,0,0,399,357.87013,6849,6430.18913,26992349.22,0,0,0,3423669.06,3069428.36,33485446.64,1200593.17,0,1200593.17,34686039.81,0
NHS Litigation Authority,Special Health Authority,Department of Health,12,11.6,39.5,38.46,117,112.34,125.5,117.95,10,10,0,0,304,290.35,12,12,0,0,0,0,0,0,12,12,316,302.35,1121237.84,132916.15,0,1211.94,148579.83,140669.64,1544615.4,0,0,0,1544615.4,0
NHS Trust Development Authority,Special Health Authority,Department of Health,16,14.6,183,172.44,274,258.74,523,496.67,430,415.86,39,37.3,1465,1395.61,0,0,0,0,0,0,0,0,0,0,1465,1395.61,6735829.36,325265.23,0,267.71,873006.75,830085.35,8764454.4,340413.9,0,340413.9,9104868.3,0
Public Health England,Executive Agency,Department of Health,813,715.57,692,648.42,2031,1889,1515,1409.08,409,363.96,4,4,5464,5030.03,77,77,0,0,35,16.2,0,0,112,93.2,5576,5123.23,13934390.25,5138507.55,-74.13,79325.7,4121986.36,2033645.02,25307780.75,794759.24,0,794759.24,26102539.99,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(.) - Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(..) - Missing / Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
