Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Education,Ministerial Department,Department for Education,109,102.81,796,769.87,2320,2240.03,1763,1691.95,190,181.17,,,5178,4985.83,16,16,,,153,151.6,,,169,167.6,5347,5153.43,16278875.69,201609.97,-53250,47443.86,5044544.01,2215583.04,23734806.57,-419770.06,362991.95,-56778.11,23678028.46,Please note we are unable to split the contingent labour by interims or specialist contractors. Consultants/Consultancy cannot be measured in HC or FTE. 
Education & Skills Funding Agency ,Executive Agency,Department for Education,35,33.39,224,215.42,947,917.96,556,540.81,45,42.78,,,1807,1750.36,1,1,,,355,355,,,356,356,2163,2106.36,5808224.46,29427.2,-87857,2614.5,1662069.05,652468.96,8066947.17,6149.56,0,6149.56,8073096.73,
Teaching Regulation Authority,Executive Agency,Department for Education,11,11,26,25.54,28,26.64,7,6.87,1,1,,,73,71.05,4,4,0,0,0,0,0,0,4,4,77,75.05,184143.13,2232.06,0,0,49790.14,18378.41,254543.74,10042.51,0,10042.51,264586.25,
Standards and Testing Agency,Executive Agency,Department for Education,,,19,18.31,76,73.56,33,31.79,5,5,,,133,128.66,,,,,1,1,,,1,1,134,129.66,431987.77,6426.6,-2500,0,119255.59,46437.62,601607.58,30423.71,0,30423.71,632031.29,
The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,5,1.6,3,3,17,16.4,8,6.5,4,4,,,37,31.5,,,,,,,,,0,0,37,31.5,133029,2122.16,,,35065.19,14968.23,185184.58,,,0,185184.58,
Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,77,69.3,441,435.2,291,287.2,20,19.8,5,5,1,0.2,835,816.7,44,44,4,4,,,,,48,48,883,864.7,2493390.94,195298.42,322174,14608.93,183235.51,316743.3,3525451.1,127125.67,,127125.67,3652576.77,
Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,10,10,30,29.8,29,27.2,4,4,,,,,73,71,,,,,1,0.6,2,0.3,3,0.9,76,71.9,266644,40554,0,0,36577,35953,379728,9600,5012,14612,394340,
Office for Students,Executive Non-Departmental Public Body,Department for Education,20,18.83,12,10.65,202,186.54,142,130.99,37,35.34,,,413,382.35,1,1,,,11,10.61,,,12,11.61,425,393.96,1410360.21,17975,6900,3879.24,372806.25,147084.84,1959005.54,63597.6,,63597.6,2022603.14,
Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,2075,1963,1014,983,235,230,23,23,7,7,0,0,3354,3206,0,0,0,0,56,56,0,0,56,56,3410,3262,6843165.45,179757.89,430312.91,223094.01,1143996.47,703289.86,9523616.59,57341,0,57341,9580957.59,
Institute for Apprenticeships and Technical Education,Executive Non-Departmental Public Body,Department for Education,3,3,11,11,54,43.1,107,104.2,10,10,,,185,171.3,11,11,,,,,,,11,11,196,182.3,722774.04,,,,192592.81,83489.33,998856.18,69944.99,,69944.99,1068801.17,
LocatEd,Executive Non-Departmental Public Body,Department for Education,,,,,,,3,3,2,2,52,50.8,57,55.8,,,,,,,,,0,0,57,55.8,327742.61,,,,14000.85,31335.83,373079.29,,,0,373079.29,
