,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Please read the additional data fields descriptions before entering information into this template. Completed templates must be returned to your organisation's main, parent or sponsoring department. They will provide one return to Cabinet Office capturing information for all their relevant organisations.
(NB: This data sheet is password protected. Contact Cabinet Office if you require the password.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)",,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,
Ministry of Housing Communities and Local Government,Ministerial Department,Ministry of Housing Communities and Local Government,63,59.8,310,304.9,987,965.3,815,795.2,122,118.9,0,0.0,"2,297","2,244.1",4,4.0,0,0.0,37,37.0,45,45.0,86,86.0,"2,383","2,330.1","£8,453,481.80","£249,131.78","£50,750.00","£307,218.82","£2,292,642.12","£983,544.36","£12,336,768.88","£447,972.00","£1,884,387.58","£2,332,359.58","£14,669,128.46",,,,
Planning Inspectorate,Executive Agency,Ministry of Housing Communities and Local Government,156,141.9,91,82.7,135,128.3,429,380.2,5,5.0,0,0.0,816,738.1,9,9.0,0,0.0,0,0.0,0,0.0,9,9.0,825,747.1,"£2,636,296.40","£47,450.66",£31.25,£655.38,"£727,472.03","£286,875.82","£3,698,781.54","£76,645.06",£0.00,"£76,645.06","£3,775,426.60",,,,
Queen Elizabeth II Conference Centre,Executive Agency,Ministry of Housing Communities and Local Government,5,5.0,12,12.0,26,26.0,4,4.0,1,1.0,,,48,48.0,3,3.0,,,,,,,3,3.0,51,51.0,"£153,797.23",£0.00,£0.00,£0.00,"£41,040.19","£16,135.49","£210,972.91","£3,530.00",,"£3,530.00","£214,502.91",,,,
Homes England,Executive Non-Departmental Public Body,Ministry of Housing Communities and Local Government,0,0.0,229,223.4,289,283.2,521,510.6,75,74.8,0,0.0,"1,114","1,092.0",90,90.0,11,11.0,22,22.0,0,0.0,123,123.0,"1,237","1,215.0","£4,806,281.37","£261,494.29","£21,500.00",£623.82,"£1,461,084.84","£573,352.43","£7,124,336.75","£1,069,896.74",£0.00,"£1,069,896.74","£8,194,233.49",,,,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Ministry of Housing Communities and Local Government,,,,,,,,,,,64,60.5,64,60.5,18,18.0,,,,,,,18,18.0,82,78.5,"£276,431.40",,,"£10,702.60","£68,234.99","£29,691.95","£385,060.94","£114,213.97",,"£114,213.97","£499,274.91",,,,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Ministry of Housing Communities and Local Government,5,4.8,1,1,17,16.2,,,1,1,,,24,23.0,,,,,,,,,0,0.0,24,23.0,"£76,814.00",,,,"£8,945.03","£8,173.20","£93,932.23",,,£0.00,"£93,932.23",,,,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Ministry of Housing Communities and Local Government,15,14.3,32,31.6,6,5.3,4,4,1,1,,,58,56.2,5,5,,,,,,,5,5.0,63,61.2,"178,140.79","1,809.80",,,"28,633.56","18,891.73","£227,475.88","23,599.10",,"£23,599.10","£251,074.98",,,,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Ministry of Housing Communities and Local Government,8,7.4,4,3.8,9,7.5,11,11,3,3,,,35,32.7,,,13,8.8,,,,,13,8.8,48,41.4,"£130,388.74",,,,"£22,057.90","£14,530.37","£166,977.01","£95,937.05",,"£95,937.05","£262,914.06",,,,
