,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Please read the additional data fields descriptions before entering information into this template. Completed templates must be returned to your organisation's main, parent or sponsoring department. They will provide one return to Cabinet Office capturing information for all their relevant organisations.
(NB: This data sheet is password protected. Contact Cabinet Office if you require the password.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)",,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,66,63.32,207,203.15,627,605.36,476,463.82,77,74.95,0,0,"1,453","1,411",3,3.0,1,1.0,59,49.4,4,4.0,67,57.4,"1,520","1,468","£5,984,937.76","£198,726.69","£31,650.00","£60,363.01","£1,294,974.39","£711,183.26","£8,281,835.11","£129,288 ","£41,591.00","£170,879.00","£8,452,714.11",,,,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,161,146.33,98,88.69,84,80.48,321,276.3,7,7,0,0,671,599,17,17,0,0,63,21.7,0,0,80,38.7,751,638,"£1,967,930.73","£40,484.36",£0.00,"£6,805.74","£427,217.80","£215,179.04","£2,657,617.67","£364,298.48",£0.00,"£364,298.48","£3,021,916.15",,,,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4,15,15,26,26,5,5,1,1,0,0,51,51,4,4,0,0,0,0,1,1,5,5,56,56,"£159,864.51",£540.00,£0.00,"£7,399.95","£31,238.17","£18,100.02","£217,142.65","£10,808.01","£3,650.00","£14,458.01","£231,600.66",,,,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,12,11.42,180,171.38,244,239.45,255,252.46,44,43.28,0,0,735,718,5,5,3,3,2,2,0,0,10,10,745,728,"£3,389,801.42","£185,503.09",£0.00,"£3,655.05","£734,429.57","£409,278.47","£4,722,667.60","£72,272.83",£0.00,"£72,272.83","£4,794,940.43","A major restructure, including redesign of the grading system, concluded in March 2017, this included around 100 voluntary redundancies.",,,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0,0,0,0,0,0,0,0,0,54,52.6,54,53,8,8,0,0,0,0,0,0,8,8,62,61,"£203,577.40",£0.00,£0.00,"£5,795.83","£45,490.80","£24,152.09","£279,016.12","£45,543.25",£0.00,"£45,543.25","£324,559.37",,,,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,2.8,1,1,15,14.3,0,0,1,1,0,0,20,19,0,0,0,0,0,0,0,0,0,0,20,19,"£66,818.24",£0.00,£0.00,£0.00,"£6,682.88","£6,901.79","£80,402.91",£0.00,£0.00,£0.00,"£80,402.91",,,,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,25,23.2958,33,32.77297,12,11.73611,2,2,1,1,0,0,73,71,5,5,0,0,0,0,0,0,5,5,78,76,"£189,476.71","£1,296.66",£0.00,£0.00,"£29,958.15","£19,468.91","£240,200.43","£26,289.82",£0.00,"£26,289.82","£266,490.25",We are currently moving from agency workers to fixed term  roles within our Finance team. Some of these changes show  in this month's figures,,,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,1,1,3,3,6,5.4,11,11,5,4.7,0,0,26,25,0,0,1,0.8,0,0,0,0,1,0.8,27,26,"£120,201.00",£0.00,£0.00,£0.00,"£10,844.00","£14,113.00","£145,158.00","£20,513.00",£0.00,"£20,513.00","£165,671.00",,,,
