"Please read the additional data fields descriptions before entering information into this template. Completed templates must be returned to your organisation's main, parent or sponsoring department. They will provide one return to Cabinet Office capturing information for all their relevant organisations.
(NB: This data sheet is password protected. Contact Cabinet Office if you require the password.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Ministry of Housing Communities and Local Government,Ministerial Department,Ministry of Housing Communities and Local Government,60,57.2,318,312.8,993,971.2,819,797.3,123,120.6,0,0,"2,313","2,259.00",4,4,0,0,36,36,34,34,74,74,"2,387","2,333.00","£8,771,530.27","£237,262.43","£39,333.00","£217,638.26","£2,419,966.85","£1,025,183.19","£12,710,914.00","£366,330.00","£1,139,420.96","£1,505,750.96","£14,216,664.96",,
Planning Inspectorate,Executive Agency,Ministry of Housing Communities and Local Government,158,142.9,91,82.7,128,121.6,425,378.5,5,5,0,0,807,730.7,9,9,0,0,0,0,0,0,9,9,816,739.7,"£2,590,249.08","£78,220.27",£31.25,"£1,085.69","£722,275.42","£284,314.36","£3,676,176.07","£51,020.81",£0.00,"£51,020.81","£3,727,196.88",,
Queen Elizabeth II Conference Centre,Executive Agency,Ministry of Housing Communities and Local Government,5,5,12,12,26,26,4,4,1,1,,,48,48,1,1,,,,,2,2,3,3,51,51,"£156,859.40",£0.00,"£1,000.00",£580.94,"£41,083.62","£16,298.88","£215,822.84",£600.00,£667.00,"£1,267.00","£217,089.84",,
Homes England,Executive Non-Departmental Public Body,Ministry of Housing Communities and Local Government,0,0,231,225.4,290,283.8,493,482.6,74,73.8,0,0,"1,088","1,065.60",80,80,10,10,16,16,0,0,106,106,"1,194","1,171.60","£4,610,346.74","£254,905.82",£150.00,£943.38,"£1,412,117.04","£551,307.16","£6,829,770.14","£1,002,236.18",£0.00,"£1,002,236.18","£7,832,006.32",,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Ministry of Housing Communities and Local Government,,,,,,,,,,,57,54.2,57,54.2,25,24.8,,,,,,,25,24.8,82,79,"£236,163.10",,,"£15,237.46","£62,823.53","£28,584.45","£342,808.54","£129,571.00",,"£129,571.00","£472,379.54",,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Ministry of Housing Communities and Local Government,3,2.8,1,1,19,18.2,,,1,1,,,24,23,,,,,,,,,0,0,24,23,"£80,309.13",,,,"£9,356.96","£8,460.79","£98,126.88",,,£0.00,"£98,126.88",,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Ministry of Housing Communities and Local Government,15,14.3,32,31.6,6,5.3,4,4,1,1,,,58,56.2,5,5,,,,,,,5,5,63,61.2,"£181,988.18","£1,594.81",,,"£27,886.65","£21,394.25","£232,863.89","£25,312.64",,"£25,312.64","£258,176.53",,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Ministry of Housing Communities and Local Government,8,7.4,4,3.8,8,6.5,11,11,3,3,,,34,31.7,,,13,8.8,,,,,13,8.8,47,40.4,"£128,346.09",,£0.00,,"£21,514.81","£14,349.51","£164,210.41","£95,937.05",,"£95,937.05","£260,147.46",,
Regulator of Social Housing,Executive Non-Departmental Public Body,Ministry of Housing Communities and Local Government,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
