Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,161,148.8,232,224.89,639,624.56,627,609.17,122,119.05,0,0,1781,1726.46,20,20,0,0,114,103.48,0,0,134,123.48,1915,1849.94,7167580.41,21709.49,160016.31,83693.61,1343690.85,637741.66,9414432.33,458562.888,1667292.276,2125855.164,11540287.49,,,458562.888,1667292.276,2125855.164
Driving Standards Agency,Executive Agency,Department for Transport,221,181.97,1684,1565.48,299,293.47,39,38.83,0,0,0,0,2243,2079.75,16,16,0,0,0,0,0,0,16,16,2259,2095.75,4443640.2,132041.69,5914,158009.17,887461.87,359832.44,5986899.37,74923.52,61490.11,136413.63,6123313,,,,,
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4292,3751.2,745,700.04,600,572.42,130,125.16,7,7,0,0,5774,5155.83,0,0,1,0.47,3,1.76,0,0,4,2.23,5778,5158.06,9271443,76358,13354,165758,1656617,578248,11761778,50443,0,50443,11812221,,,,,
Highways Agency,Executive Agency,Department for Transport,1369,1322.81,374,352.01,1448,1401.36,361,349.31,36,35.14,0,0,3588,3460.64,0,0,128,29.89,0,0,0,0,128,29.89,3716,3490.52,8879196.19,660238.27,4226.91,64265.09,1888415.87,764320.39,12260662.72,860896.3,,860896.3,13121559.02,,,,,
Maritime and Coastguard Agency,Executive Agency,Department for Transport,419,384.7,228,218.05,299,274.37,104,100.6,5,5,0,0,1055,982.72,27,27,0,0,0,0,0,0,27,27,1082,1009.72,2491621.2,319746.37,2080,382477.1,572036.11,272195.69,4040156.47,,,0,4040156.47,,,,,
Vehicle Certification Agency,Executive Agency,Department for Transport,41,35.45,40,37.8,77,75.25,7,7,1,1,0,0,166,156.5,3,3,0,0,0,0,0,0,3,3,169,159.5,494554,17422,25000,24953,40799,89119,691847,6138,,6138,697985,,,,,
Vehicle and Operator Services Agency,Executive Agency,Department for Transport,1041,979.32,783,763.22,416,409.17,46,45.15,6,6,0,0,2292,2202.86,60,58.52,10,10,57,57,0,0,127,125.52,2419,2328.38,4692196.34,372987.82,1465,279184.36,926911.84,406321.58,6679066.94,660277.33,16712.16,676989.49,7356056.43,,,,,
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,6,6,4,3.7,2,2,0,0,12,11.7,0,0,0,0,1,0.6,0,0,1,0.6,13,12.3,42047,3724,,,5403,3928,55102,4040,48685,52725,107827,,,,,
Directly Operated Railways Ltd,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,11,5,11,5,1,0.1,0,0,0,0,0,0,1,0.1,12,5.1,58516.65,,,,3515.1,8420,70451.75,,,0,70451.75,,,,,
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,77,76.2,20,19.6,230,223.8,109,108.9,22,21.8,3,2,461,452.3,40,40,152,152,211,211,0,0,403,403,864,855.3,1907645.42,0,0,9015,73912,205351,2195923.42,1702354.98,0,1702354.98,3898278.4,,,,,
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,28,10.5,18,18,66,65.6,13,12.8,4,4,71,65.7,200,176.6,3,1.3,0,0,0,0,0,0,3,1.3,203,177.9,523772,7882,0,24763,142240,48630,747287,4853,,4853,752140,,,,,
Passenger Focus,Executive Non-Departmental Public Body,Department for Transport,1,1,17,16.8,15,14.6,12,11.8,3,3,0,0,48,47.2,1,0.6,0,0,5,1.5,0,0,6,2.1,54,49.3,167620,548,,,33261,15744,217173,10676,,10676,227849,,,,,
Trinity House,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,310,301,310,301,6,6,0,0,0,0,0,0,6,6,316,307,859813.34,4504.5,,26424.71,166077.48,75855.46,1132675.49,8587.67,,8587.67,1141263.16,,,,,
