Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",207,191.18,567,545.98,1796,1720.23,1095,1050.37,131,126.75,17,17,"3,813","3,652",113,98.82,20,17.33,384,369.67,7,5.24,524,491.06,"4,337","4,143","£12,590,381.00","£42,453.00","£65,412.00","£19,355.00","£2,523,088.00","£1,285,601.00","£16,526,290.00","£4,573,053.87","£68,719.93","£4,641,773.80","£21,168,063.80",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",1,1,5,3.56,17,15.5,3,3,1,1,0,0,27,24,0,0,0,0,0,0,0,0,0,0,27,24,"£70,350.07",£0.00,£0.00,"£1,363.94","£15,022.57","£7,205.23","£93,941.81",£0.00,£0.00,£0.00,"£93,941.81",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",83,78.81,142,132.01,299,284.34,110,100.67,3,3,0,0,637,599,0,0,0,0,0,0,0,0,0,0,637,599,"£1,556,086.35","£55,907.47",£0.00,"£37,783.72","£328,491.95","£162,829.92","£2,141,099.41",£0.00,£0.00,£0.00,"£2,141,099.41",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",603,515.31,468,425.28,422,397.54,85,84.37,6,6,0,0,"1,584","1,429",174,174,12,12,0,0,0,0,186,186,"1,770","1,615","£3,278,352.39","£3,799.25",£100.00,"£102,940.58","£665,841.11","£314,009.58","£4,365,042.91","£308,815.01","£144,249.62","£453,064.63","£4,818,107.54",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",29,27.52,25,24.07,50,48.62,52,51.19,3,3,0,0,159,154,8,7.4,0,0,0,0,0,0,8,7.4,167,162,"£492,389.59","£17,493.00","£32,000.00","£8,515.00","£106,491.00","£59,694.82","£716,583.41","£20,016.16",£0.00,"£20,016.16","£736,599.57",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.)
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.)
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,475,455,475,455,5,5,0,0,2,2,0,0,7,7,482,462,"£1,410,560.15","£54,167.20",£0.00,£0.00,"£122,906.33","£158,686.33","£1,746,320.01","£10,481.61",£0.00,"£10,481.61","£1,756,801.62",
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",10,9.19,25,24.57,20,18.73,11,10.81,6,5.6,0,0,72,69,3,3,0,0,0,0,1,0.17,4,3.17,76,72,"£193,718.00","£1,904.91",£0.00,£783.00,"£40,069.00","£19,893.00","£256,367.91","£4,110.00","£1,313.00","£5,423.00","£261,790.91",
Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1696,1588.76,2464,2304.65,3129,2930.94,1836,1753.16,89,87.77,902,888.63,"10,116","9,554",235,227.22,41,39.08,10,6.74,318,279.33,604,552.37,"10,720","10,106","£25,531,693.32","£284,465.17","£2,123.93","£1,199,683.17","£3,707,892.93","£2,748,531.15","£33,474,389.67","£448,884.40","£2,995,040.01","£3,443,924.41","£36,918,314.08",
