Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Education,Ministerial Department,Department for Education,107,100.82,737,711.47,2087,2018.15,1720,1650.73,186,177.81,,,4837,4658.98,40,40,,,226,226,,,266,266,5103,4924.98,14606155.33,229100.61,96305,50914.31,4599873.55,1986573.34,21568922.14,3206345.03,-61580.83,3144764.2,24713686.34,Please note we are unable to split the contingent labour by interims or specialist contractors. Consultants/Consultancy cannot be measured in HC or FTE. 
Education & Skills Funding Agency ,Executive Agency,Department for Education,34,31.97,211,203.54,868,840.18,505,492.1,43,40.91,,,1661,1608.7,1,1,,,286,286,,,287,287,1948,1895.7,4160252.86,40214.51,33500,988.49,1483088.71,587672.27,6305716.84,32098.09,33660,65758.09,6371474.93,
Teaching Regulation Authority,Executive Agency,Department for Education,7,7,22,21.41,23,21.43,7,6.87,1,1,,,60,57.71,5,5,0,0,0,0,0,0,5,5,65,62.71,144439.63,1188.15,0,,38680.8,14566.56,198875.14,10284.22,182,10466.22,209341.36,
Standards and Testing Agency,Executive Agency,Department for Education,,,24,23.18,76,74.01,38,37,4,3.92,,,142,138.11,,,,,27,19.5,,,27,19.5,169,157.61,448542.3,8373.38,1060,2714.57,123678.26,49589.86,633958.37,47549.36,16123.27,63672.63,697631,
The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,1,1,4,3.8,14,13.8,7,6.6,4,3.8,0,0,30,29,0,0,0,0,0,0,1,0.4,1,0.4,31,29.4,113279.33,1238.92,13560,0,31973.73,14594.56,174646.54,0,0,0,174646.54,
Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,163,146.92,460,452.29,279,273.64,20,19.79,6,6,2,1.2,930,899.84,98,59.7,0,0,79,44.1,2,1.5,179,105.3,1109,1005.14,2668482.95,162323.78,0,19870.22,199968.54,281448.53,3332094.02,573758.61,3407,577165.61,3909259.63,
Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,10,10,29,27,26,25,4,4,,,,,69,66,,,,,2,0.6,2,0.3,4,0.9,73,66.9,248930,29155,0,0,35359,32667,346111,18400,6355,24755,370866,
Office for Students,Executive Non-Departmental Public Body,Department for Education,29,26.95,11,10.1,194,178.33,132,121.58,38,36.07,,,404,373.03,5,5,,,7,7,,,12,12,416,385.03,1299598.2,19529.71,0,1092.13,348143.67,135973.87,1804337.58,120514.41,,120514.41,1924851.99,
Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,2300,2187.358427,1022,989.1197067,219,213.9544,24,23.8,5,5,0,0,3570,3419.232533,37,37,0,0,26,26,0,0,63,63,3633,3482.232533,6961969.89,216963.22,1218635.11,165899.03,1257283.59,798130.14,10618880.98,230366.37,0,230366.37,10849247.35,
Institute for Apprenticeships and Technical Education,Executive Non-Departmental Public Body,Department for Education,2,2,11,11,48,47.1,103,100.22,10,10,,,174,170.32,10,10,,,,,,,10,10,184,180.32,696283.71,0,0,0,185229,82917.78,964430.49,122247.42,,122247.42,1086677.91,
LocatEd,Executive Non-Departmental Public Body,Department for Education,,,,,,,4,4,2,2,48,46.4,54,52.4,,,,,,,,,0,0,54,52.4,302348.08,,,,11964.62,27639.98,341952.68,,,0,341952.68,
