Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,36,35.55,259,251.81,703,676.37,708,687.59,167,160.83,46,46,1919,1858.15,57,57,,,1,1,13,12.98,71,70.98,1990,1929.13,"£7,110,090","£51,777","£74,340","£243,681","£1,929,447","£874,711","£10,284,045.36","£2,419,801",,"£2,419,801.24","£12,703,846.60",
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,225,208.03,436,417.93,1953,1883.22,492,479.92,146,139.13,12,12,3264,3140.23,5,5,13,13,14,14,2,2,34,34,3298,3174.23,"£11,232,021","£83,736",0,"£10,954","£1,395,646","£1,139,995","£13,862,352.00",400287.46,,"£400,287.46","£14,262,639.46",
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,13,13,379,360.5,739,713.8,1231,1188.2,196,183.9,,,2558,2459.4,269,233.6,139,123.4,6,5.8,,,414,362.8,2972,2822.2,"£10,213,113","£620,949",,"£31,761","£2,009,862","£1,191,455","£14,067,139.53",3326785.37,,"£3,326,785.37","£17,393,924.90",
Health Education England,Special Health Authority,Department of Health,96,89.64,684,639.99,680,641.96,608,574.04,993,357.06,0,0,3061,2302.69,,,,,,,,,0,0,3061,2302.69,"£9,159,901",169125.41,,£299,"£914,230","£1,125,234","£11,368,788.89","£371,916",,"£371,915.84","£11,740,704.73",
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,3,1.42,85,81.6,79,76.52,35,32.41,7,6.6,,,209,198.55,2,1.96,4,3.68,,,,,6,5.64,215,204.19,"£661,656",,,,"£81,457","£63,431","£806,545.06",,,£0.00,"£806,545.06",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,16,15.2,37,36.4,9,8.5,4,3.5,0,0,66,63.6,1,1,0,0,5,5,0,0,6,6,72,69.6,"£237,503",,,,"£65,657","£26,916","£330,076.00","£66,658",,"£66,658.00","£396,734.00",The HFEA currently has 2 vacancies
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,1,1,4,4,28,27.81,10,10,3,3,,,46,45.81,,,,,,,,,0,0,46,45.81,186525.29,0,0,0,24722.8,20965.81,"£232,213.90","£1,812",,"£1,811.53","£234,025.43",
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health,54,53.61,185,177.77,459,448.84,413,395.99,160,142.82,0,0,1271,1219.03,52,52,0,0,0,0,0,0,52,52,1323,1271.03,"£4,841,572","£17,792",3700,"£22,144","£1,308,324","£543,602","£6,737,133.62","£952,478",,"£952,477.82","£7,689,611.44",Approximate numbers
Monitor,Executive Non-Departmental Public Body,Department of Health,8,8,5,4.8,22,20.7,60,58.58889,30,28.94444,0,0,125,121.03333,,,,,,,,,0,0,125,121.03333,"£807,419",2166,,,"£234,764","£101,053","£1,145,402.00",85055.7,,"£85,055.70","£1,230,457.70",
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,13,13,94,90.82,269,254.97,247,230.61,66,62.28,2,1.2,691,652.88,8,3.7,,,0,0,,,8,3.7,699,656.58,"£2,598,222","£6,992",,,"£512,220","£285,795","£3,403,229.73","£64,934",,"£64,934.47","£3,468,164.20",
