Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Cabinet Office,Ministerial Department,Cabinet Office,176,169.37,279,271.27,433,424.81,645,634.41,226,221.5,178,174.68,"1,937","1,896",4,4,86,75.95,8,6.38,16,14.8,114,101.13,"2,051","1,997","£6,747,730.76","£352,499.94","£27,663.62","£117,985.79","£1,469,584.65","£684,447.86","£9,399,912.62","£3,144,283.00","£2,010,860.00","£5,155,143.00","£14,555,055.62",,
Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,2,1.56,2,2,3,3,2,2,1,1,1,1,11,11,0,0,0,0,0,0,0,0,0,0,11,11,"£33,808.43",-£90.00,£800.00,£0.00,"£6,812.63","£3,086.33","£44,417.39",£0.00,£0.00,£0.00,"£44,417.39",,
Government Procurement Service,Executive Agency,Cabinet Office,30,28.6,63,59.3,179,173.8,108,107.1,5,5,0,0,385,374,20,20,15,15,0,0,0,0,35,35,420,409,"£1,217,008.75","£5,371.29",£0.00,£0.00,"£238,726.62","£107,345.97","£1,568,452.63","£66,559.12",£0.00,"£66,559.12","£1,635,011.75",,
Big Lottery Fund,Executive Non-Departmental Public Body,Cabinet Office,113,107,498,466,274,260,90,88,21,21,0,0,996,942,40,40,0,0,7,4,0,0,47,44,"1,043",986,"£2,232,124.63","£60,200.03",£0.00,"£22,871.01","£380,453.22","£207,609.22","£2,903,258.11","£153,255.86",£0.00,"£153,255.86","£3,056,513.97",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
