Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health and Social Care,39,39,435,435,1298,1298,1199,1199,259,259,53,53,3283,3283,132,132,,,107,107,8,8,247,247,3530,3530,"£12,868,742","£167,837","£109,750","£219,489","£3,469,922","£1,545,019","£18,380,758.69","£31,931,493",,"£31,931,493.01","£50,312,251.70",
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health and Social Care,206,189.99,432,414.33,1929,1860.83,510,498.17,164,157.88,8,2,3249,3123.2,15,15,9,9,6,6,2,2,32,32,3281,3155.2,"£11,306,719","£100,446",0,"£22,870","£1,465,228","£1,189,537","£14,084,800.00",238468.36,,"£238,468.36","£14,323,268.36",
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health and Social Care,10,10,366,350.6,770,744.7,1241,1201.2,192,183.2,,,2579,2489.7,436,390,296,273.8,0,0,,,732,663.8,3311,3153.5,"£10,511,355","£413,372",,"£8,287","£2,055,527","£1,168,209","£14,156,748.61",5486423.49,,"£5,486,423.49","£19,643,172.10",
Health Education England,Special Health Authority,Department of Health and Social Care,88,81.746,756,712.476,729,692.42,679,644.289,1021,383.878,0,0,3273,2514.809,,,,,,,,,0,0,3273,2514.809,"£10,122,360",10082.24,,£837,"£1,252,122","£1,031,575","£12,416,976.57","£331,069",,"£331,069.09","£12,748,045.66",
Health Research Authority,Executive Non-Departmental Public Body,Department of Health and Social Care,1,1,86,82.47,86,81.9,37,35.48,7,6.8,,,217,207.65,1,1,9,6.5,,,,,10,7.5,227,215.15,"£709,581",,,£162,"£91,341","£72,458","£873,542.85",,,£0.00,"£873,542.85",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health and Social Care,0,0,19,18.2,36,35.4,9,8.5,4,3.5,0,0,68,65.6,1,1,0,0,5,5,0,0,6,6,74,71.6,"£241,155",,,,"£67,196","£26,832","£335,183.00","£50,955",,"£50,955.00","£386,138.00",
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health and Social Care,1,1,5,5,28,27.41,8,8,3,3,,,45,44.41,,,,,,,,,0,0,45,44.41,183745.85,0,0,0,31181.42,20730.05,"£235,657.32","£10,800",,"£10,800.00","£246,457.32",
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health and Social Care,53,52.61,216,209.57,492,482.84,431,412.55,166,148.23,0,0,1358,1305.8,29,29,6,5.97,10,9.19,0,0,45,44.16,1403,1349.96,"£5,264,541","£17,703",0,"£83,163","£1,418,309","£598,255","£7,381,972.17","£1,647,075",,"£1,647,075.30","£9,029,047.47",
Monitor,Executive Non-Departmental Public Body,Department of Health and Social Care,13,12.6,132,128.16667,271,262.69459,727,698.80971,533,514.26123,14,5.5,1690,1622.0322,,,,,,,,,0,0,1690,1622.0322,"£8,506,456",368440.41,0,72155.47,"£1,242,403","£1,060,514","£11,249,969.17",106003.93,,"£106,003.93","£11,355,973.10",
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health and Social Care,16,15.63,95,90.97,287,272.96,260,244.56,66,63.48,2,1.4,726,689,5,4.45,,,,,,,5,4.45,731,693.45,"£2,899,074","£8,185",,884.86,"£539,639","£328,422","£3,776,205.00","£53,257",,"£53,257.47","£3,829,462.47",
