Year,Month,Organisation name,Organisation type,"Main, parent or sponsoring department:","Payroll staff;
AO/AA;
Headcount","Payroll staff;
AO/AA;
Full-time equivalent","Payroll staff;
EO;
Headcount","Payroll staff;
EO;
Full-time equivalent","Payroll staff;
SEO/HEO;
Headcount","Payroll staff;
SEO/HEO;
Full-time equivalent","Payroll staff;
Grade 6/7;
Headcount","Payroll staff;
Grade 6/7;
Full-time equivalent","Payroll staff;
SCS;
Headcount","Payroll staff;
SCS;
Full-time equivalent","Payroll staff;
Other, unknown, unspecified;
Headcount","Payroll staff;
Other, unknown, unspecified;
Full-time equivalent","Payroll staff;
Total;
Headcount","Payroll staff;
Total;
Full-time equivalent","Non-payroll staff;
Admin and Clerical;
Headcount","Non-payroll staff;
Admin and Clerical;
Full-time equivalent","Non-payroll staff;
Interim Managers & Specialist Contractors & Medical;
Headcount","Non-payroll staff;
Interim Managers & Specialist Contractors & Medical;
Full-time equivalent","Non-payroll staff;
Other Contingent labour;
Headcount","Non-payroll staff;
Other Contingent labour;
Full-time equivalent","Non-payroll staff;
Total Contingent labour;
Headcount","Non-payroll staff;
Total Contingent labour;
Full-time equivalent","Non-payroll staff;
Consultancy;
Number of Contracts","Grand Total (workforce numbers);
Headcount","Grand Total (workforce numbers);
Full-time equivalent","Payroll staff costs;
Salary","Payroll staff costs;
Allowances","Payroll staff costs;
Non-consolidated performance payments","Payroll staff costs;
Overtime","Payroll staff costs;
Employer pension contributions","Payroll staff costs;
Employer national insurance contributions","Payroll staff costs;
Total paybill","Non-Payroll staff costs;
Contingent labour","Non-Payroll staff costs;
Consultancy","Non-Payroll staff costs;
Total staff costs",Grand Total paybill/staffing (payroll and non-payroll) costs
2026,June,Cabinet Office,Ministerial Department,Cabinet Office,408.00,360.94,550.00,531.01,2028.00,1987.07,1866.00,1833.11,128.00,126.08,274.00,267.34,"5,254","5,106",79,78,234,228.32,0,0,313,306,11.00,"5,567","5,412","£22,593,448.71","£1,092,278.04","£142,982.83","£386,737.62","£6,624,562.79","£3,311,895.67","£34,151,905.66","£2,882,221.00","£301,518.10","£3,183,739.10","£37,335,644.76"
2026,June,Civil Service Commission,Executive Non-Departmental Public Body,Cabinet Office,1.00,0.60,2.00,2.00,15.00,14.60,7.00,7.00,1.00,1.00,0.00,0.00,26,25,,,,,,,0,0,,26,25,"£108,748.53","£1,013.33",£0.00,£0.00,"£31,504.45","£14,723.02","£155,989.33",£0.00,£0.00,£0.00,"£155,989.33"
2026,June,Crown Commercial Service,Executive Agency,Cabinet Office,14.00,14.00,80.00,75.00,431.00,406.20,236.00,227.20,29.00,29.00,,,790,751,,,48,47.9,,,48,48,,838,799,"£3,343,298.72","£66,983.48","£78,690.16","£2,414.76","£928,457.35","£475,907.38","£4,895,751.85","£351,459.17","£17,005.00","£368,464.17","£5,264,216.02"
2026,June,Government Property Agency,Executive Agency,Cabinet Office,3.00,2.89,14.00,13.10,168.00,165.90,258.00,253.33,35.00,34.43,0.00,0.00,478,470,49,48,,,,,49,48,,527,518,"£2,206,131.00","£155,637.00",£0.00,£950.00,"£638,499.00","£325,219.00","£3,326,436.00","£511,733.45","-£4,607.72","£507,125.73","£3,833,561.73"
2026,June,Equality and Human Rights Commission,Executive Non-Departmental Public Body,Cabinet Office,0.00,0.00,8.00,7.40,101.00,95.80,65.00,61.60,10.00,10.00,0.00,0.00,184,175,4,3.6,3,3,0,0,7,7,,191,181,"£791,778.00","£7,022.00",£0.00,£0.00,"£223,707.00","£108,065.00","£1,130,572.00","£34,899.00",,"£34,899.00","£1,165,471.00"
2026,June,Government Commercial Organisation,Other,Cabinet Office,0.00,0.00,0.00,0.00,0.00,0.00,1416.00,1390.96,200.00,197.36,,,"1,616","1,588",,,,,,,0,0,,"1,616","1,588","£10,908,630.41","£236,559.21","£19,750.00",£0.00,"£1,517,640.39","£1,567,431.13","£14,250,011.14",,,£0.00,"£14,250,011.14"
2026,June,Central Civil Service Fast Stream,Other,Cabinet Office,0.00,0.00,0.00,0.00,1950.00,1947.55,0.00,0.00,0.00,0.00,,,"1,950","1,948",,,,,,,0,0,,"1,950","1,948","£5,779,648.75","£318,122.95","£45,666.00","£9,979.43","£1,650,870.75","£799,550.27","£8,603,838.15",,,£0.00,"£8,603,838.15"
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
,,,,,,,,,,,,,,,,,0,0,,,,,,,0,0,,0,0,,,,,,,£0.00,,,£0.00,£0.00
