Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,1152,1080.31,900,863.88,1723,1666.12,881,849.07,131,127.63,0,0,4787,4587.01,183,183,22,22,126,126,0,0,331,331,5118,4918.01,12034754.16,202755.9383,21220.33333,88879.92333,2323229.329,1019414.096,15690253.78,1265055.93,-1037720.02,227335.91,15917589.69,
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,14712,12856.83,3874,3607.19,3080,2870.51,761,744.25,46,45.82,0,0,22473,20124.6,(..),247.05,0,0,0,0,0,0,0,247.05,22473,20371.65,38619123.89,400320.3,-146868.58,182863.89,6665153.39,2565168.85,48285761.74,366943.41,0,366943.41,48652705.15,
Land Registry,Non-Ministerial Department,Ministry of Justice,326,287.32,2649,2320.02,2117,1960.61,195,183.55,24,23.41,0,0,5311,4774.91,0,0,4,3,0,0,0,0,4,3,5315,4777.91,11090148.72,221029.78,0,28851.16,2156226.85,829218.28,14325474.79,1093.2,153751.09,154844.29,14480319.08,
National Archives,Executive Agency,Ministry of Justice,172,152.19,126,120.68,241,234.84,63,62.27,6,6,0,0,608,575.98,6,5.2,0,0,3,3,0,0,9,8.2,617,584.18,1469530.13,7532.87,0.001,22016,270448,123584,1893111.001,26395,0,26395,1919506.001,
National Offender Management Service,Executive Agency,Ministry of Justice,36864,35340.25,7531,7235.52,3349,3162.1,698,678.4,47,47,0,0,48489,46463.27,378,378,0,0,0,0,0,0,378,378,48867,46841.27,103396313.1,0,0,562360.95,19714946.47,8529286.65,132202907.2,1938590.19,0,1938590.19,134141497.4,
The Office of the Public Guardian,Executive Agency,Ministry of Justice,253,234.43,117,111.2,63,62.11,10,9.74,2,1.8,0,0,445,419.28,154,98,0,0,0,0,0,0,154,98,599,517.28,858715.03,20792.86,0,36814.98,131577.34,67695.14,1113595.35,152347.83,0,152347.83,1265943.18,
UK Supreme Court,Non-Ministerial Department,Ministry of Justice,5,5,16,15.6,17,17,7,6.47,2,2,0,0,47,46.07,0,0,0,0,0,0,0,0,0,0,47,46.07,136813.28,206.43,99,510.56,26695,12005.01,176329.28,0,0,0,176329.28,The increase in headcount is due to the official transfer of the Judicial Committee of the Privy Council to the UK Supreme Court wef. 1 April 2011.
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,78,72.03,78,72.03,2,2,0,0,0,0,0,0,2,2,80,74.03,203333,33,0,589,38878,16383,259216,5147,0,5147,264363,"This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles."
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,350,326.99,350,326.99,4,3.54,0,0,0,0,0,0,4,3.54,354,330.53,735020,1355,394,7612,131396,48537,924314,9250,0,9250,933564,
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,12,12,18,17.2,28,27.6,15,14.4,4,4,1,0.6,78,75.8,0,0,0,0,0,0,0,0,0,0,78,75.8,228185,1930,0,0,42120,17979,290214,0,0,0,290214,
