Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Ministry of Justice,Ministerial Department,Ministry of Justice,955,889.60,904,868.49,1640,1593.20,737,723.30,108,105.99,0,0.00,"4,344","4,180.58",150,145.08,14,13.40,197,197.00,0,0.00,361,355.48,"4,705","4,536.06","£12,308,300","£239,657","£298,929","£79,723","£2,401,352","£1,085,174","£16,413,135","£2,806,462","-£689,085","£2,117,377","£18,530,513",
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,13326,11629.66,2881,2702.37,2447,2273.09,514,501.27,31,31.00,0,0.00,"19,199","17,137.39",(..) ,767.00,(..) ,(..) ,(..) ,(..) ,(..) ,(..) ,0,767.00,"19,199","17,904.39","£32,449,393","£408,023","£218,768","£278,186","£5,695,363","£2,100,376","£41,150,109","£1,933,201",(..) ,"£1,933,201","£43,083,310",Only Agency FTE available. Agency HC not collected.
National Archives,Executive Agency,Ministry of Justice,176,156.44,120,114.65,261,255.14,59,58.33,5,5.00,0,0.00,621,589.56,2,2.00,0,0.00,10,10.00,0,0.00,12,12.00,633,601.56,"£1,496,839.99","£11,856.78",(..) ,"£10,771.04","£272,404.30","£129,582.72","£1,921,455","£86,019",(..) ,"£86,019","£2,007,473",
National Offender Management Service,Executive Agency,Ministry of Justice,29255,27888.95,6349,6134.18,4651,4439.76,577,566.78,36,36.00,0,0.00,"40,868","39,065.66",(..) ,608.76,(..) ,4.01,(..) ,30.54,(..) ,0,0,643.31,"40,868","39,708.97","£99,131,833",£0,£0,"£4,466,623","£18,703,245","£8,100,585","£130,402,286","£2,777,236","£6,606","£2,783,842","£133,186,128",CCL staff only collected as FTE. Headcount not available.
The Legal Aid Agency (formerly LSC),Executive Non-Departmental Public Body,Ministry of Justice,702,664.56,381,360.80,372,359.25,75,74.06,12,12.00,0,0.00,"1,542","1,470.67",32,32.00,0,0.00,43,42.50,0,0.00,75,74.50,"1,617","1,545.17","£3,462,284","£39,753",(..) ,"£95,762","£562,410","£246,329","£4,406,537","£663,819",(..) ,"£663,819","£5,070,356",
The Office of the Public Guardian,Executive Agency,Ministry of Justice,331,312.21,139,132.36,75,73.39,10,9.82,2,1.80,0,0.00,557,529.58,200,147.22,0,0.00,3,3.00,0,0.00,203,150.22,760,679.79,"£924,074","£13,069","£28,700","£47,749","£116,958","£47,105","£1,177,654","£448,652",(..) ,"£448,652","£1,626,306",19 payroll addition are mainly agency conversion (16 reduced).
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,78,72.03,78,72.03,1,1.00,1,1.00,0,0.00,0,0.00,2,2.00,80,74.03,"£202,565",£57,(..) ,£491,"£35,649","£16,623","£255,385","£17,848",(..) ,"£17,848","£273,233","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles."
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,391,361.7,391,361.70,18,17.20,0,0.00,1,1.00,0,0.00,19,18.20,410,379.90,"£824,442","£1,335",,"£19,541","£56,519","£146,450","£1,048,287","£43,370",(..) ,"£43,370","£1,091,657",
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,15,14.54,16,14.94,24,23.69,11,9.95,2,2.00,1,0.40,69,65.52,6,6.00,0,0.00,0,0.00,0,0.00,6,6.00,75,71.52,"£185,601","£1,231",£400,(..) ,"£34,767","£15,573","£237,573","£13,517",(..) ,"£13,517","£251,090",
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,32,31.80,32,31.80,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,32,31.80,"£148,607",,(..) ,(..) ,"£28,175","£17,764","£194,545",(..) ,(..) ,£0,"£194,545","LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision"
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,16,14.7,42,41.6,16,15.6,2,2.00,2,1.40,0,0.00,78,75.30,10,10.00,0,0.00,0,0.00,0,0.00,10,10.00,88,85.30,"£180,861","£20,821",(..) ,"£3,094","£31,811","£16,987","£253,574","£31,472",(..) ,"£31,472","£285,046",
