Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,85,82.3,235,227.6,694,674.8,495,476.8,80,76.4,0,0.0,"1,589","1,538",3,3.0,1,1.0,30,23.6,1,1.0,35,28.58,"1,624","1,566","£5,347,934.41","£75,875.85","£282,761.00","£34,443.68","£1,146,416.98","£486,313.69","£7,373,745.61","£251,324.00","£139,209.00","£390,533.00","£7,764,278.61",,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,213,189.9,122,109.5,104,100.3,309,258.6,6,6.0,0,0.0,754,664,4,4.0,0,0.0,82,42.7,0,0.0,86,46.68,840,711,"£2,080,317.35","£83,832.66",£0.00,"£11,442.04","£443,114.92","£188,691.64","£2,807,398.61","£236,206.00",£0.00,"£236,206.00","£3,043,604.61",,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4.0,13,13.0,21,21.0,5,5.0,1,1.0,0,0.0,44,44,4,4.0,0,0.0,0,0.0,0,0.0,4,4,48,48,"£135,828.13",£634.00,£500.00,"£9,212.73","£26,363.86","£12,895.60","£185,434.32","£7,870.81",£0.00,"£7,870.81","£193,305.13",,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,141,133.5,316,309.0,313,306.5,76,74.7,64,63.7,0,0.0,910,887,4,4.0,12,12.0,8,8.0,0,0.0,24,24,934,911,"£4,200,771.43","£84,367.12",£0.00,"£2,930.33","£729,856.63","£326,612.13","£5,344,537.64","£125,403.00",£0.00,"£125,403.00","£5,469,940.64",,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,47,45.7,47,46,8,8.0,0,0.0,0,0.0,0,0.0,8,8,55,53.7,"£167,157.36","£15,340.32",£0.00,£245.32,"£32,528.15","£17,666.62","£232,937.77","£39,719.00",£0.00,"£39,719.00","£272,656.77",,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,2.6,1,1.0,17,16.5,0,0.0,1,1.0,0,0.0,22,21,0,0.0,0,0.0,0,0.0,0,0.0,0,0,22,21,"£69,341.00",£0.00,£0.00,£0.00,"£5,596.00","£7,032.00","£81,969.00",£0.00,£0.00,£0.00,"£81,969.00",,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,23,21.0,8,7.5,33,32.7,10,10.0,2,2.0,0,0.0,76,73,2,2.0,0,0.0,1,1.0,0,0.0,3,3,79,76,"£209,016.00","£1,490.00",£0.00,£0.00,"£33,267.00","£17,359.00","£261,132.00","£6,051.00",£0.00,"£6,051.00","£267,183.00",,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,5,5.0,0,0.0,0,0.0,5,5,5,5,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,£0.00,"£42,708.00",£0.00,"£42,708.00","£42,708.00",Ebbsfleet Development Corporation is a new NDPB created as of 1st April 2015.,
