Year,Month,Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: Published alongside your row of information)",,,,,,,,,
,,,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, unspecified",,"Total
Employees",,Agency staff ,,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,,,,,,,
,,,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,,,,,,,
2021,June,Department for Education,Ministerial Department,Department for Education,86,80.6,790,762.6,"2,700","2,613.3","2,129","2,042.8",199,191.5,7,6.8,"5,911",5698,49,49.0,,,110,109.4,,,159,158,"6,070","5,856","£21,540,927.32","£509,078.50","£501,385.47","£83,365.34","£5,716,709.69","£2,414,077.51","£30,765,543.83","£2,029,576.25","£436,189.76","£2,465,766.01","£33,231,309.84",Please note we are unable to split the contingent labour by interims or specialist contractors. Consultants/Consultancy cannot be measured in HC or FTE. ,,,,,,,,,
2021,June,Education & Skills Funding Agency ,Executive Agency,Department for Education,24,22.6,183,176.4,989,956.3,568,554.9,47,45.4,,,"1,811",1756,,,,,4,4.0,,,4,4,"1,815","1,760","£6,576,358.81","£83,504.59","£19,220.00","£3,225.18","£1,688,094.17","£699,184.41","£9,069,587.16","-£38,387.22","£213,424.72","£175,037.50","£9,244,624.66",,,,,,,,,,
2021,June,Teaching Regulation Authority,Executive Agency,Department for Education,11,11.0,28,27.2,27,25.5,7,6.7,1,1.0,,,74,71,1,1.0,,,,,,,1,1,75,72,"£184,045.76","£1,366.57",£0.00,£0.00,"£46,449.94","£18,652.72","£250,514.99","£2,569.49",£0.00,"£2,569.49","£253,084.48",,,,,,,,,,
2021,June,Standards and Testing Agency,Executive Agency,Department for Education,,,7,6.6,35,33.6,19,18.7,2,2.0,,,63,61,,,,,1,1.0,,,1,1,64,62,"£198,136.87","£2,781.09",£0.00,£0.00,"£51,588.35","£22,841.51","£275,347.82",£0.00,"£2,927.91","£2,927.91","£278,275.73",,,,,,,,,,
2021,June,The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,,,2,2.0,12,11.4,8,7.6,4,4.0,,,26,25,1,1.0,,,,,,,1,1,27,26,"£114,360.40","£3,576.60",,,"£32,517.09","£13,485.22","£163,939.31","£4,429.50",,"£4,429.50","£168,368.81",,,,,,,,,,
2021,June,Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,55,49.4,355,351.1,235,232.5,19,18.8,5,5.0,1,0.2,670,657,1,1.0,1,1.0,,,,,2,2,672,659,"£2,055,879.53","£151,160.43",,"£5,521.59","£151,963.67","£225,417.52","£2,589,942.74","£120,496.69",,"£120,496.69","£2,710,439.43",,,,,,,,,,
2021,June,Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,9,9,37,36.8,30,28.8,4,4,,,,,80,79,,,,,1,0.6,2,0.3,3,1,83,80,"£313,584.00","£38,424.00",£167.00,£0.00,"£42,424.00","£40,126.00","£434,725.00",£0.00,"£2,500.00","£2,500.00","£437,225.00",,,,,,,,,,
2021,June,Office for Students,Executive Non-Departmental Public Body,Department for Education,18,17.2,9,8.1,188,174.0,145,134.0,43,40.5,,,403,374,,,,,,,,,0,0,403,374,"£1,403,948.00","£18,624.00",£0.00,£0.00,"£379,051.00","£143,621.00","£1,945,244.00",£0.00,,£0.00,"£1,945,244.00",,,,,,,,,,
2021,June,Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,"1,989","1,878.3","1,042","1,011.4",271,266.6,26,25.8,7,7.0,0,0.0,"3,335",3189,18,18.0,0,0.0,14,14.0,0,0.0,32,32,"3,367","3,221","£7,063,425.71","£177,071.69","£11,036.57","£180,562.57","£1,336,547.81","£674,253.43","£9,442,897.78","£165,638.31",£0.00,"£165,638.31","£9,608,536.09",,,,,,,,,,
2021,June,Institute for Apprenticeships and Technical Education,Executive Non-Departmental Public Body,Department for Education,4,4.0,9,9.0,88,86.8,123,121.5,13,12.2,,,237,234,4,4.0,,,,,,,4,4,241,238,"£954,093.99",£0.00,£0.00,£0.00,"£259,242.14","£111,921.54","£1,325,257.67","£22,507.21",,"£22,507.21","£1,347,764.88",,,,,,,,,,
2021,June,LocatEd,Executive Non-Departmental Public Body,Department for Education,,,,,,,,,2,2.0,52,51.0,54,53,,,,,,,,,0,0,54,53,"£306,548.78",,"£472,425.00",,"£15,057.57","£98,153.53","£892,184.88",,,£0.00,"£892,184.88",Salary includes 4 NEDs not included in the headcount. The SCS are secondees. PRP payment included.,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,,,,,,,,,
