Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,90,87.3,224,217.2,761,739.8,493,480.6,82,79.4,,,"1,650","1,604",2,2,9,9,52,52,2,2,65,65,"1,715","1,669","œ5,608,634.66","œ80,909.04","-œ9,100.00","œ31,463.07","œ1,135,924.83","œ533,142.11","œ7,380,973.71","œ189,201.00","œ7,514.00","œ196,715.00","œ7,577,689",
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,220,196.8,126,115,100,97.1,289,241.2,6,6,,,741,656,3,3,0,0,0,0,0,0,3,3,744,659,"œ1,965,935.72","œ12,139.44",,"œ1,385.42","œ389,920.08","œ172,467.56","œ2,541,848.22","œ34,385.00",,"œ34,385.00","œ2,576,233",
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,7,7,11,11,23,23,3,3,1,1,,,45,45,3,3,,,,,3,3,6,6,51,51,"œ129,750.23",,,"œ3,886.50","œ23,205.05","œ11,313.28","œ168,155.06","œ3,571.00","œ5,668.75","œ9,239.75","œ177,395",
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,123,116.39,207,202.68,247,241.17,37,36.8,46,45.88,209,203.94,869,847,6,6,0,0,11,11,0,0,17,17,886,864,"œ3,056,565.78","œ217,575.70",,"œ4,323.13","œ599,751.62","œ299,544.69","œ4,177,760.92","œ189,201.00","œ7,514.00","œ196,715.00","œ4,374,476",
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0,0,0,0,0,0,0,0,0,39,38.3,39,38,6,6,0,0,0,0,0,0,6,6,45,44,"œ151,372.42",œ510.79,,,"œ31,044.99","œ14,697.74","œ197,625.94","œ18,788.00",,"œ18,788.00","œ216,414",
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,2.4,1,1,17,16,,,1,1,,,22,20,,,,,,,,,0,0,22,20,"œ62,075.00",,,,"œ5,099.00","œ6,467.00","œ73,641.00",,,œ0.00,"œ73,641",
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,25,24.046,43,41.963,13,12.736,2,2,1,1,,,84,82,1,1,0,0,0,0,0,0,1,1,85,83,"œ216,568.00","œ1,413.00",,,"œ47,374.00","œ18,107.00","œ283,462.00","œ5,286.00",,"œ5,286.00","œ288,748",
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,6,5.41,7,6.47,7,6.7,2,2,3,3,9,1.5,34,25,,,,,,,1,0.8,1,0.8,35,26,"œ111,300.70","œ4,635.00",,,"œ8,158.86","œ11,483.28","œ135,577.84",,"œ6,334.00","œ6,334.00","œ141,912",
