,,,Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,Grand Total (workforce numbers),,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,,
Organisation name,Organisation type,"Main, parent or sponsoring department: ",AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,Total Employees,,Agency staff (clerical/admin),,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total Employees,,,,,,,,,,,,,,,Comments(NB: These will be published alongside your row of information),Notes for Cabinet Office(Not for publication)
,,,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Headcount,Full-time equivalent,Salary,Allowances,Non-consolidated performance payments,Overtime, Employer pension contributions, Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Total monthly cost of consultants/consultancy,Total non-payroll (CCL) staff costs,,,
Advisory Conciliation and Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Innovation and Skills",51,44.5,279,256.3,487,446.2,40,37.7,2,2,2,1.2,861,787.9,19,19,0,0,0,0,4,4,23,23,884,811,"£2,106,835.98","£18,288.33",£0.00,"£17,371.87","£431,042.29","£161,893.92","£2,735,432.39","£27,177.65","£31,466.68","£58,644.33","£2,794,076.72",,
Arts and Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",5,4.68,32,30.4,56,53.71,10,9.86,2,2,0,0,105,100.65,0,0,0,0,3,2.5,0,0,3,3,108,103,"£266,038.00","£5,185.00",£0.00,£0.00,"£70,386.00","£15,235.00","£356,844.00","£15,662.97",£0.00,"£15,662.97","£372,506.97",,
Biotechnology and Biological Sciences Research Council,Crown Non Departmental Public Body,"Department for Business, Innovation and Skills",37,32.56,48,43.79,157,151.03,45,43.62,11,10.31,0,0,298,281.31,4,2.8,0,0,0,0,0,0,4,3,302,284,"£822,525.31","£30,120.33","£1,921.39","£1,338.02","£209,461.24","£64,901.14","£1,130,267.43","£7,421.75",£0.00,"£7,421.75","£1,137,689.18",,
"Business, Innovation and Skills (core)",Ministerial Department,"Department for Business, Innovation and Skills",109,103.02,309,298.48,902,879.09,963,922.07,188,179.33,11,11,"2,482","2,392.99",18,18,3,3,37,37,11,11,69,69,"2,551","2,462","£7,964,713.51","£337,141.42","£26,378.00","£45,743.61","£1,770,638.13","£736,458.69","£10,881,073.36","£204,110.00","£233,622.00","£437,732.00","£11,318,805.36",,
"Business, Innovation and Skills (UKTI)",Non-Ministerial Department,"Department for Business, Innovation and Skills",40,38.67,82,81.07,254,250.38,180,178.75,23,22.25,3,3,582,574.12,18,18,1,1,92,92,11,11,122,122,704,696,"£1,589,965.67","£31,347.81","£4,600.00",£247.86,"£339,759.21","£140,349.16","£2,106,269.71","£168,816.00","£40,500.00","£209,316.00","£2,315,585.71",,
Companies House,Executive Agency,"Department for Business, Innovation and Skills",453,396,258,245,133,130,33,32,5,5,0,0,882,808,3,3,0,0,0,0,17,17,20,20,902,828,"£1,764,281.70","£17,705.29",£200.00,"£22,772.24","£367,724.63","£123,185.77","£2,295,869.63","£12,289.61","£98,941.37","£111,230.98","£2,407,100.61",,
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",4,4,1,1,6,5.6,4,4,1,1,0,0,16,15.6,0,0,0,0,0,0,0,0,0,0,16,16,"£54,180.35",£0.00,£0.00,£0.00,"£11,721.95","£4,777.12","£70,679.42",£0.00,£0.00,£0.00,"£70,679.42",,
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",453,423.99,646,630.74,334,328.08,22,22,5,5,0,0,"1,460","1,409.81",67,47.95,2,1.63,52,39.67,4,2.38,125,92,"1,585","1,501","£3,585,190.50","£188,714.76",£0.00,"£48,595.67","£462,834.11","£304,045.39","£4,589,380.43","£400,437.09","£21,277.80","£421,714.89","£5,011,095.32",,
ECITB,NDPB,BIS,19,16,38,36,19,19,5,5,0,0,1,0.01,82,76.01,0,0,0,0,0,0,0,0,0,0,82,76,"£257,602.00","£22,833.00",£0.00,£454.00,"£63,192.00","£26,589.00","£370,670.00",£0.00,£0.00,£0.00,"£370,670.00",0,
Economic and Social Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",18,15.01,33,32.03,79,74.28,16,15.91,2,1.95,0,0,148,139.18,0,0,0,0,2,2,0,0,2,2,150,141,"£370,620.41","£4,125.00",£0.00,£0.00,"£92,495.00","£28,111.00","£495,351.41","£3,537.36",£0.00,"£3,537.36","£498,888.77",,
Engineering and Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",40,37.36,32,30.03,137,128.43,33,31.91,2,2,0,0,244,229.73,1,1,0,0,2,2,0,0,3,3,247,233,"£621,652.27","£13,737.68","£2,600.00","£2,682.85","£159,851.01","£44,572.27","£845,096.08","£14,547.24",£0.00,"£14,547.24","£859,643.32",,
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",26,22,11,10,153,136,82,75,32,31,0,0,304,274,8,8,0,0,0,0,0,0,8,8,312,282,"£931,228.57","£2,364.25",£0.00,"£1,655.82","£193,915.26","£79,453.99","£1,208,617.89","£33,715.42","£13,797.94","£47,513.36","£1,256,131.25",Includes costs of project managing ROBO project,
Insolvency Service,Executive Agency,"Department for Business, Innovation and Skills",520,480.17,224,210.92,652,623.12,91,90.84,8,7.68,0,0,"1,495","1,412.72",113,113,0,0,13,13,0,0,126,126,"1,621","1,539","£3,634,431.33","£8,931.38",£0.00,"£2,733.24","£759,712.53","£288,966.64","£4,694,775.12","£420,188.48",£0.00,"£420,188.48","£5,114,963.60",,
Land Registry,Non-Ministerial Department,"Department for Business, Innovation & Skills",317,296.1,"2,248","1,975.60","1,725","1,584.30",194,179.1,14,14,0,0,"4,498","4,049.10",0,0,25,25,0,0,0,0,25,25,"4,523","4,074","£9,791,636.02","£202,505.81",£0.00,"£383,974.34","£2,074,393.22","£750,487.00","£13,202,996.39","£370,251.00",£0.00,"£370,251.00","£13,573,247.39",,Agreed overtime to address operations backlog.
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",225,207,392,375,"1,060","1,038.00",141,135,87,82,27,14,"1,932","1,851.00",4,4,11,11,3,3,0,0,18,18,"1,950","1,869","£5,974,351.00","£348,406.00",£0.00,"£23,303.00","£780,034.00","£541,524.00","£7,667,618.00","£641,660.00",£0.00,"£641,660.00","£8,309,278.00",,"Payroll staff costs include 1% pay award back-dated to 01/04/2015 of £485,612"
Met Office,Executive Agency,"Department for Business, Innovation and Skills",0,0,0,0,0,0,0,0,0,0,"2,157","2,076.50","2,157","2,076.50",148,68.6,0,0,0,0,0,0,148,69,"2,305","2,145","£5,654,148.00","£387,255.00",£0.00,"£135,564.00","£1,259,228.00","£473,643.00","£7,909,838.00","£583,929.00",£0.00,"£583,929.00","£8,493,767.00",,"Met Office do not have grades, but instead have generic roles"
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",263,233,446,419,"1,186","1,134.00",61,59,23,22.5,303,302,"2,282","2,169.50",6,6,0,0,1,1,0,0,7,7,"2,289","2,177","£6,704,058.06","£314,677.60","£9,468.00","£21,566.67","£1,666,100.50","£553,012.39","£9,268,883.22","£57,570.29","£4,815.00","£62,385.29","£9,331,268.51",,
NMRO,Executive Agency,BIS,4,3.29,24,23.5,40,38.33,14,12.9,0,0,0,0,82,78.02,3,2.2,0,0,0,0,0,0,3,2,85,80,"£240,962.72",£146.25,£350.00,£0.00,"£47,909.57","£19,376.09","£308,744.63","£8,931.57",£0.00,"£8,931.57","£317,676.20",OK,OK
