Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health and Social Care (excl agencies),Ministerial Department,Department of Health and Social Care,43,42.55,251,244.37,636,619.84,627,600.05,132,127.13,0,0,1689,1633.94,29,29,0,0,0,0,13,12.61,42,41.61,1731,1675.55,6064931.62,54503.6,294596,11333.09,1630244.21,753389.16,8808997.68,1528319.55,0,1528319.55,10337317.23,0
Care Quality Commission,Executive Non-Departmental Public Body,Department of Health and Social Care,301,274.16,405,390.03,2000,1918.89,481,464.39,139,134.02,20,19.76,3346,3201.25,3,3,4,4,0,0,0,0,7,7,3353,3208.25,11471500,82542,0,15335,1386987,1179448,14135812,48915.88,0,48915.88,14184727.88,0
Health and Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health and Social Care,11,11,422,401.8,792,765,1327,1283,190,182.8,0,0,2742,2643.6,199,159,40,33.8,47,37.6,0,0,286,230.4,3028,2874,10650974.14,145099.62,0,14556.91,2045995.83,1229987.12,14086613.62,1773176.23,0,1773176.23,15859789.85,0
Health Education England,Executive Non-Departmental Public Body,Department of Health and Social Care,100,94.77,646,602.97,649,618.6,549,520.41,948,340.35,0,0,2892,2177.1,26,18.4,1,0.2,0,0,0,0,27,18.6,2919,2195.7,8430093.2,75995.9,0,191.14,1014410.77,830637.61,10351328.62,382831.5,0,382831.5,10734160.12,0
Health Research Authority,Executive Non-Departmental Public Body,Department of Health and Social Care,2,1,74,69.48,75,72.17,32,28.36,7,6.8,0,0,190,177.81,7,3.37,0,0,0,0,0,0,7,3.37,197,181.18,576235,0,0,0,69707.93,57471.23,703414.16,15018.16,0,15018.16,718432.32,0
Human Fertilisation and Embryology Authority,Executive Non-Departmental Public Body,Department of Health and Social Care,0,0,15,14.2,39,36.4,9,8.5,3,3,0,0,66,62.1,2,2,0,0,5,5,0,0,7,7,73,69.1,225331.43,0,0,0,61512,25971,312814.43,52353,0,52353,365167.43,The HFEA currently has 2 vacancies
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health and Social Care,1,1,6,6,30,29.5,10,10,3,2.4,0,0,50,48.9,0,0,0,0,0,0,0,0,0,0,50,48.9,202625.53,338.33,0,169.03,25976.25,23042.16,252151.3,1164.24,0,1164.24,253315.54,0
Medicines and Healthcare Products Regulatory Agency,Executive Agency,Department of Health and Social Care,52,50.92,176,169.65,474,464.51,397,379.52,159,142.03,0,0,1258,1206.63,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,1258,1206.63,4889831.89,19894.89,11830.95,7815.97,1329034.85,557149.26,6815557.81,1272233.75,0,1272233.75,8087791.56,0
Monitor,Executive Non-Departmental Public Body,Department of Health and Social Care,10,9.8,11,10.6,45,44.2,124,119.5102778,33,31.40555556,0,0,223,215.5158333,7,7,0,0,1,1,0,0,8,8,231,223.5158333,1355594.09,0,0,0,358327,161406.38,1875327.47,224657.39,0,224657.39,2099984.86,0
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health and Social Care,18,18,89,85.07,263,251.45,240,220.94,62,58.78,2,1.2,674,635.44,5,3.89,0,0,0,0,0,0,5,3.89,679,639.33,2463955.74,25148.61,64670.04,0,317881.62,273532.39,3145188.4,20329.22,0,20329.22,3165517.62,0
