Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,65,62.2,184,179.4,649,629.1,481,467.7,80,77.5,1,0,"1,460","1,416",4,4,0,0,26,18.4,6,6,36,28.4,"1,496","1,444","£5,197,347.49","£108,912.67","£240,814.00","£38,157.06","£1,125,079.69","£625,421.94","£7,335,732.85","£173,468 ",£0.00,"£173,468.00","£7,509,200.85",,,,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,191,170.1,101,91.4,94,91.3,340,292.5,6,6,0,0,732,651,13,13,0,0,68,29.1,0,0,81,42.1,813,693,"£2,075,073.34","£55,048.42",£0.00,£950.53,"£445,938.32","£225,399.65","£2,802,410.26","£177,404.96",£0.00,"£177,404.96","£2,979,815.22",,,,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4,13,13,24,24,5,5,1,1,0,0,47,47,0,0,0,0,0,0,0,0,0,0,47,47,"£150,286.29",£726.00,£0.00,"£9,976.17","£31,548.94","£17,657.70","£210,195.10","£7,737.75","£3,250.00","£10,987.75","£221,182.85",,,,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,117,109.69,273,266.08,318,310.86,77,74.88,60,59.68,0,0,845,821,5,5,6,6,3,3,0,0,14,14,859,835,"£3,194,539.34","£78,939.47",£950.00,£484.37,"£696,901.18","£372,216.47","£4,344,030.83","£69,104.77",£0.00,"£69,104.77","£4,413,135.60",,,,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0,0,0,0,0,0,0,0,0,50,49,50,49,12,11.6,0,0,0,0,0,0,12,11.6,62,61,"£182,275.69",£0.00,£0.00,"£4,257.68","£39,816.58","£21,608.42","£247,958.37","£57,214.84",£0.00,"£57,214.84","£305,173.21",,,,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,4,3.8,1,1,18,17.3,0,0,1,1,0,0,24,23,0,0,0,0,0,0,0,0,0,0,24,23,"£72,712.00",£0.00,£0.00,£0.00,"£6,206.00","£7,466.00","£86,384.00",£0.00,£0.00,£0.00,"£86,384.00",,,,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,23,21.60136,35,34.77297,12,11.73611,2,2,1,1,0,0,73,71,7,7,0,0,0,0,0,0,7,7,80,78,"£195,826.11","£1,401.82",£0.00,£606.78,"£31,418.58","£20,912.45","£250,165.74","£32,619.53",£0.00,"£32,619.53","£282,785.27",,,,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,4,4,3,2.8,3,3,10,10,3,2.8,0,0,23,23,0,0,7,4.6,0,0,0,0,7,4.6,30,27,"£91,939.00",£0.00,£0.00,£0.00,"£9,045.00","£10,424.00","£111,408.00","£63,447.00",£0.00,"£63,447.00","£174,855.00",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
