"Please read the additional data fields descriptions before entering information into this template. Completed templates must be returned to your organisation's main, parent or sponsoring department. They will provide one return to Cabinet Office capturing information for all their relevant organisations.
(NB: This data sheet is password protected. Contact Cabinet Office if you require the password.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
"Ministry of Housing, Communities and Local Government",Ministerial Department,"Ministry of Housing, Communities and Local Government",75,71.9,249,244.4,720,697.8,574,561.8,100,96.5,0,0,"1,718","1,672.50",0,0,3,3,45,45,4,4,52,52,"1,770","1,724.50","£6,813,038.25","£142,602.51","£24,850.00","£64,823.21","£1,305,525.10","£688,443.98","£9,039,283.05","£309,932","£152,592.00","£462,524.07","£9,501,807.12",,
Planning Inspectorate,Executive Agency,"Ministry of Housing, Communities and Local Government",161,144.4,95,85.8,95,91.4,319,275.7,8,8,0,0,678,605.3,12,12,0,0,53,23.5,0,0,65,35.5,743,640.8,"£1,973,532.49","£34,552.86",£0.00,"£4,546.55","£425,401.64","£211,767.49","£2,649,801.03","£197,655.80",£0.00,"£197,655.80","£2,847,456.83",,
Queen Elizabeth II Conference Centre,Executive Agency,"Ministry of Housing, Communities and Local Government",5,5,11,11,27,27,4,4,1,1,,,48,48,5,5,,,,,6,6,11,11,59,59,"£161,104.00",£754.00,"£1,250.00","£8,904.00","£31,841.00","£18,425.00","£222,278.00","£18,432.00","£19,640.00","£38,072.00","£260,350.00",,
Homes England,Executive Non-Departmental Public Body,"Ministry of Housing, Communities and Local Government",19,18.4,211,203.9,241,237.6,293,288.32,49,48.68,0,0,813,796.8,22,22,8,8,2,2,5,5,37,37,850,833.8,"£3,298,223.60","£186,482.34",£0.00,"£1,511.51","£757,599.37","£399,568.41","£4,643,385.23","£188,154.40","£28,013.52","£216,167.92","£4,859,553.15",,HCA is Now Homes England
Housing Ombudsman Service,Executive Non-Departmental Public Body,"Ministry of Housing, Communities and Local Government",,,,,,,,,,,56,53.6,56,54,7,7,,,,,,,7,7,63,61,"248,599.53",,,,"38,128.91","23,025.28","£309,753.72","45,745.78",,"£45,745.78","£355,499.50",,
Leasehold Advisory Service,Executive Non-Departmental Public Body,"Ministry of Housing, Communities and Local Government",3,2.8,1,1,20,19.3,,,1,1,,,25,24.1,,,,,,,,,0,0,25,24.1,"£76,187.39",,,,"£8,974.86","£8,043.44","£93,205.69",,,£0.00,"£93,205.69",,
Valuation Tribunal Service,Executive Non-Departmental Public Body,"Ministry of Housing, Communities and Local Government",19,17.9,32,31.8,11,10.7,3,3,1,1,,,66,64.4,4,3.8,,,,,,,4,3.8,70,68.3,"£195,500.02","£1,282.79",£0.00,£0.00,"£27,770.46","£21,717.08","£246,270.35","£10,897.66",,"£10,897.66","£257,168.01",,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,"Ministry of Housing, Communities and Local Government",2,1.8,1,1,7,6.8,11,11,3,3,0,0,24,23.6,0,0,4,2.6,0,0,0,0,4,2.6,28,26.2,"£106,077.00",£0.00,£0.00,£0.00,"£16,246.00","£12,293.00","£134,616.00","£31,000.00",£0.00,"£31,000.00","£165,616.00",,
