Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,95,91.8,256,248.8,737,714.3,535,517.9,82,80.2,0,0.0,"1,705","1,653",12,12.0,2,2.0,34,26.4,1,1.0,49,41.41,"1,754","1,694","£5,780,576.97","£80,781.33","£109,863.25","£32,288.28","£1,226,887.60","£527,088.37","£7,757,485.80","£182,064.00","£23,171.00","£205,235.00","£7,962,720.80",,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,205,183.0,119,106.0,106,102.3,319,265.5,6,6.0,0,0.0,755,663,11,11,0,0,78,29.8,0,0,89,40.8,844,704,"£2,102,795.29","£64,518.86",£0.00,"£2,990.56","£446,239.67","£183,953.03","£2,800,497.41","£196,332.00",£0.00,"£196,332.00","£2,996,829.41",,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4.0,12,12.0,23,23.0,5,5.0,1,1.0,0,0.0,45,45,8,8,0,0,0,0,4,4,12,12,57,57,"£142,262.42",£362.00,"£15,000.00","£3,282.66","£28,152.65","£15,196.20","£204,255.93","£13,079.98","£15,678.97","£28,758.95","£233,014.88",,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,144,136.0,306,298.5,335,326.6,81,79.7,64,63.7,0,0.0,930,904,1,1,11,11,7,7,0,0,19,19,949,923,"£3,430,570.52","£93,997.79",£0.00,"£5,749.26","£744,981.10","£329,951.43","£4,605,250.10","£137,092.63",£0.00,"£137,092.63","£4,742,342.73",,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,44,42.7,44,43,9,8.8,0,0,0,0,0,0,9,8.8,53,51.5,"£232,461.97","£2,116.77",£0.00,£221.50,"£32,951.54","£14,571.92","£282,323.70","£35,200.00",£0.00,"£35,200.00","£317,523.70",,1 additional member of staff covering maternity leave
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,2.6,1,1.0,16,15.5,0,0.0,1,1.0,0,0.0,21,20,0,0,0,0,0,0,0,0,0,0,21,20,"£64,253.00",£0.00,£0.00,£0.00,"£6,177.00","£6,472.00","£76,902.00",£0.00,£0.00,£0.00,"£76,902.00",,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,23,21.5,37,36.1,12,11.7,2,2.0,1,1.0,0,0.0,75,72,3,3,0,0,0,0,0,0,3,3,78,75,"£199,514.00","£1,402.00",£0.00,£0.00,"£35,242.00","£16,808.00","£252,966.00","£5,574.00",£0.00,"£5,574.00","£258,540.00",,There is one change in Agency to cover a maternity leave in a key work area. This slightly distorts the figures because obviously the person on maternity leave is still `on the books' too but not in the workplace at present.
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,3.0,0,0.0,1,1.0,0,0.0,2,2.0,0,0.0,6,6,0,0,9,9,0,0,0,0,9,9,15,15,"£30,400.00",£0.00,£0.00,£0.00,"£4,600.00","£4,300.00","£39,300.00","£111,632.00",£0.00,"£111,632.00","£150,932.00",,
