Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,34,33.55,253,245.62,672,653.52,646,617.45,127,123.07,0,0,"1,732","1,673",33,32.98,,,,,17,16.61,50,49.59,"1,782","1,723","£6,035,542.63","£60,263.87","£75,334.34","£7,708.50","£1,660,812.84","£721,698.76","£8,561,360.94","£1,617,098.51",,"£1,617,098.51","£10,178,459.45",
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,299,276.66,393,381.3,1984,1910.02,488,476.59,147,135.02,15,14.4,"3,326","3,194",6,6,6,6,8,8,,,20,20,"3,346","3,214","£11,385,222.00","£81,313.00",£0.00,"£3,070.00","£1,404,845.00","£1,148,927.00","£14,023,377.00",,,£0.00,"£14,023,377.00",
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,11,11,421,400.3,786,761.9,1305,1262.3,189,180.5,,,"2,712","2,616",211,182.2,46,40.1,38,33.8,,,295,256.1,"3,007","2,872","£10,661,709.78","£151,772.75",,"£18,212.65","£2,050,525.11","£1,239,023.09","£14,121,243.38","£2,138,931.09",,"£2,138,931.09","£16,260,174.47",
Health Education England,Special Health Authority,Department of Health,96,90.1,658,614.10562,663,630.44985,555,526.96322,946,337.34727,0,0,"2,918","2,199",84,72.47,,,,,,,84,72.47,"3,002","2,271","£8,821,209.66","£111,905.35",,"£2,000.49","£1,046,269.08","£876,484.82","£10,857,869.40","£197,119.07",,"£197,119.07","£11,054,988.47",
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,2,1,77,72.47,78,75.05,33,29.2,7,6,,,197,184,6,4.25,4,3.06,,,,,10,7.31,207,191,"£586,889.68",,,,"£73,312.70","£55,821.18","£716,023.56","£56,368.25",,"£56,368.25","£772,391.81",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,15,14.2,39,36.4,9,8.5,4,4,0,0,67,63,2,2,0,0,5,5,0,0,7,7,74,70,"£224,472.74",,,,"£61,043.68","£25,181.00","£310,697.42",,,£0.00,"£310,697.42",The HFEA currently has 1 vacancy
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,2,2,6,6,31,30.07,10,10,3,3,,,52,51,,,,,,,,,0,0,52,51,"£199,090.59",£338.33,£0.00,£367.15,"£25,486.22","£22,383.60","£247,665.89","£10,530.00",,"£10,530.00","£258,195.89",
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health,63,62.34,185,178.07,468,458.54,394,376.23,158,141.45,2,2,"1,270","1,219",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,"1,270","1,219","£4,862,743.00","£27,553.00","£23,730.00","£6,692.00","£1,315,869.00","£545,586.00","£6,782,173.00","£361,686.50",,"£361,686.50","£7,143,859.50",
Monitor,Executive Non-Departmental Public Body,Department of Health,7,6.8,9,8.6,31,30.8,95,91.45,31,29.40555556,0,0,173,167,3,3,1,1,1,1,,,5,5,178,172,"£1,099,309.52",,,,"£290,893.73","£131,708.85","£1,521,912.10",,,£0.00,"£1,521,912.10",
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,17,17,92,89.61,268,252.65,235,217.55,62,57.93,2,1.2,676,636,10,6.48,,,0,0,,,10,6.48,686,642,"£2,424,600.96","£17,154.12",,£0.00,"£344,759.59","£271,286.74","£3,057,801.41","£69,552.59",,"£69,552.59","£3,127,354.00",
NHS Blood & Transplant,Special Health Authority,Department of Health,1960,1583.46,1129,1029.33,1595,1477.78,562,544.86,63,60.7,46,44.4,"5,355","4,741",23,23,1,1,7,7,0,0,31,31,"5,386","4,772","£13,157,072.68","£868,375.85",£0.00,"£189,028.85","£1,852,972.49","£1,448,547.97","£17,515,997.85","£375,851.66",,"£375,851.66","£17,891,849.51",
NHS Business Services Authority,Special Health Authority,Department of Health,1924,1699.07,636,603.33,395,387.57,216,203.36,83,81.04,,,"3,254","2,974",75,75,,,,,30,30,105,105,"3,359","3,079","£6,202,732.17","£11,709.90","£124,019.13","£63,151.81","£806,800.93","£557,196.97","£7,765,610.91","£733,638.47",,"£733,638.47","£8,499,249.38",
NHS England,Special Health Authority,Department of Health,461,417.44977,567,538.08534,1550,1482.68106,2751,2639.9353,765,715.08156,168,87.10191,"6,262","5,880",293,283.02665,96,54.52347,,,,,389,337.55012,"6,651","6,218","£26,475,980.03",,,,"£3,358,564.76","£3,022,862.75","£32,857,407.54",,,£0.00,"£32,857,407.54",
NHS Litigation Authority,Special Health Authority,Department of Health,11,10,53.5,51.56,129,124.14,140.5,131.7799,9,9,0,0,343,326,10,8.6,0,0,0,0,0,0,10,8.6,353,335,"£1,235,461.63","£146,983.19",£0.00,"£2,994.27","£160,114.32","£155,353.13","£1,700,906.54","£63,636.23",,"£63,636.23","£1,764,542.77",
