Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Ministry of Justice,Ministerial Department,Ministry of Justice,1053,985.36,814,780.69,1597,1546.93,789,764.66,122,119.43,0,0,"4,375","4,197.07",234,232.4,9,9,186,182,0,0,429,423.4,"4,804","4,620.47","£11,433,966.37","£197,372.11","£41,791.10","£126,293.00","£2,181,357.03","£995,848.61","£14,976,628.22","£2,107,228.06","£215,520.36","£2,322,748.42","£17,299,376.64",,"An Internal Audit (Nov 12) resulted in changes to CCL Staff numbers, paybill costs and CCL costs having to be submitted."
HM Courts and Tribunals Service,Executive Agency,Ministry of Justice,14414,12568.33,3737,3476.24,2978,2773.54,696,678.43,39,38.92,0,0,"21,864","19,535.46",(..) ,204.1,(..) ,(..) ,(..) ,(..) ,(..) ,(..) ,0,204.1,"21,864","19,739.56","£36,888,434.36","£585,535.86","£27,450.76","£392,986.22","£6,436,517.55","£2,497,259.82","£46,828,184.57","£399,017.52",(..) ,"£399,017.52","£47,227,202.09",,Agency/Contractors Headcount is not collected centrally. Agency numbers are provisional only
National Archives,Executive Agency,Ministry of Justice,186,166.07,118,114.28,250,242.38,61,60.16,6,6,0,0,621,588.89,7,5.4,0,0,11,10.2,0,0,18,15.6,639,604.49,"£1,478,690.79","£5,554.88",£0.00,"£11,114.70","£265,935.30","£119,506.58","£1,880,802.25","£45,038.64","£12,640.00","£57,678.64","£1,938,480.89",,
National Offender Management Service,Executive Agency,Ministry of Justice,35554,34031.68,7223,6920.7,3342,3119.56,703,684.63,44,43.88,0,0,"46,866","44,800.46",304,304,0,0,0,0,0,0,304,304,"47,170","45,104","£102,731,687.98",£0.00,£0.00,"£5,290,009.25","£19,370,136.87","£8,880,036.57","£136,271,870.67","£1,970,796.02","£138,023.30","£2,108,819.32","£138,380,689.99",Not able to provide breakdown of contingent workers. New system of data collection to capture the detail required is being developed. Where not known placed in Agency column.,
The Office of the Public Guardian,Executive Agency,Ministry of Justice,261,242.41,154,147.88,61,60.36,10,9.82,2,1.78,0,0,488,462.25,221,168.76,0,0,0,0,0,0,221,168.76,709,631.01,"£948,181.25","£25,310.85","£5,950.00","£15,962.83","£150,846.69","£70,294.22","£1,216,545.84","£323,659.02",£0.00,"£323,659.02","£1,540,204.86",,
UK Supreme Court,Non-Ministerial Department,Ministry of Justice,4,4,17,17,20,19.8,5,4.47,2,2,0,0,48,47.27,0,0,0,0,0,0,0,0,0,0,48,47.27,"£133,889.21",£206.43,£949.99,"£2,151.70","£25,242.15","£12,066.88","£174,506.36",(..) ,(..) ,£0.00,"£174,506.36",SEO headcount still not transferred. Pay in Leiu of Notice for member of staff leaving on VED scheme included. ,
Criminal Cases Review Commission,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,73,67.16,73,67.16,3,2.81,0,0,0,0,0,0,3,2.81,76,69.97,"£190,716.00",£33.00,(..) ,£0.00,"£36,047.00","£15,526.00","£242,322.00","£5,930.00",(..) ,"£5,930.00","£248,252.00","This data does not include Commissioners and Non-Executive Directors as they are office holders and not employees.
The Commission employees are not Civil Servants and therefore Civil Service grades are not applied to their roles.",
Information Commissioner's Office,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,345,321.87,345,321.87,12,12,0,0,0,0,0,0,12,12,357,333.87,"£741,891.76",£932.85,£0.00,"£5,161.41","£129,781.14","£51,134.65","£928,901.81","£15,449.39",£0.00,"£15,449.39","£944,351.20",,
Judicial Appointments Commission,Executive Non-Departmental Public Body,Ministry of Justice,14,14,19,18.25,26,26,15,14.2,3,3,1,0.6,78,76.05,0,0,0,0,0,0,0,0,0,0,78,76.05,"£203,860.00","£2,075.00",(..) ,£465.00,"£38,885.00","£17,487.00","£262,772.00",(..) ,(..) ,£0.00,"£262,772.00",,
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,32,31.7,32,31.7,0,0,0,0,0,0,0,0,0,0,32,31.7,"£150,792.50",(..) ,(..) ,(..) ,"£30,830.94","£18,208.27","£199,831.71",(..) ,(..) ,£0.00,"£199,831.71","LSB staff are not civil servants, so do not enjoy civil service terms and conditions neither do they have a defined benefit pension provision",
Legal Services Commission,Executive Non-Departmental Public Body,Ministry of Justice,776,731.9,249,239.6,389,374.6,88,86.8,17,11.2,0,0,"1,519","1,444.10",71,66.75,(..) ,(..) ,12,12,(..) ,(..) ,83,78.75,"1,602","1,522.85","£3,315,746.63",(..) ,(..) ,"£85,360.38","£35,085.40","£273,638.51","£3,709,830.92","£220,805.46",(..) ,"£220,805.46","£3,930,636.38",,
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,26,25.6,47,46.4,14,13.6,6,6,1,1,1,0.4,95,93,0,0,0,0,0,0,0,0,0,0,95,93,"£188,913.24","£20,729.46",£0.00,"£1,118.77","£36,200.76","£17,174.34","£264,136.57","£20,504.38",(..) ,"£20,504.38","£284,640.95",,"SCS grade, 1 HEO and 1 Grade 7 are seconded to the Parole Board and the organisation is invoiced for these members of staff. Agency staff contracts ceased on 31/08/11, we no longer have any agency staff workers."
Probation Trusts x35,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,20042,18140,"20,042","18,140.00",1470,1470,2,2,(..) ,(..) ,(..) ,(..) ,1472,1472,"21,514","19,612.00",(..) ,(..) ,(..) ,(..) ,(..) ,(..) ,£0.00,(..) ,(..) ,£0.00,£0.00,Probation trust staffing figures were extracted from the HR Data Warehouse. The 35 trusts are independent bodies that are contracted to provide probation services to NOMS. They have their own grading structure which is not directly translatable to the Civil Service grades. All payroll probation staff have therefore been entered under the 'other' category. London and Norfolk and Suffolk probation trusts were unable to submit data for October 2011 due to local technical/staffing issues; the most recent figures they submitted at that point in time (September 2011) have therefore been included within the overall staffing figures. ,"Probation trusts operate under a formal contract with NOMS and are only required to submit management accounts returns on an annual basis. We have recently been conducting a joint review with probation trusts, with a view to streamlining our workforce data collections and ensuring that we only collect data where there is a clear business requirement either for management, accountability or statutory reporting. We expanded this review to consider the feasibility of gathering the full costing data requirement set out by the Cabinet Office but the review has shown that the information is not readily available and would require significant additional resource to collect, collate and quality assure the information from 35 independent bodies each month. Initial estimates suggest this collection would have a minimum cost per annual of £125,000 plus initial development and start up costs; we therefore do not intend to pursue the collection of this data."
Youth Justice Board for England & Wales,Executive Non-Departmental Public Body,Ministry of Justice,19,16.95,39,37.77,112,110.94,38,37.1,4,3.6,9,9,221,215.36,7,7,(..) ,(..) ,5,4.8,(..) ,(..) ,12,11.8,233,227.16,"£628,993.98","£53,918.63","£15,000.00","£6,052.72","£120,667.34","£67,477.29","£892,109.96","£180,372.10",(..) ,"£180,372.10","£1,072,482.06",,
