Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,89,86,241,234.1,772,750.2,516,502.3,79,76.2,0,0,"1,697","1,649",1,1,2,2,44,43.2,5,5,52,51.2,"1,749","1,700","œ5,647,871.14","œ79,690",œ300.00,"œ25,562.30","œ1,153,371.54","œ511,028.59","œ7,417,824.03","œ280,042.00","œ99,093.00","œ379,135.00","œ7,796,959.03",
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,234,211.9,134,122.7,103,98.9,324,273.2,6,6,0,0,801,713,8,8,0,0,0,0,0,0,8,8,809,721,"œ2,194,789.24",œ794.95,œ0.00,"œ1,759.77","œ427,363.04","œ198,906.49","œ2,823,613.49","œ27,933.47",œ0.00,"œ27,933.47","œ2,851,546.96",
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,7,7,12,12,21,21,3,3,1,1,0,0,44,44,0,0,0,0,0,0,1,1,1,1,45,45,"œ123,807.47",œ0.00,œ0.00,"œ15,153.09","œ21,732.78","œ11,036.16","œ171,729.50",œ0.00,œ938.00,œ938.00,"œ172,667.50",
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,123,116.68,218,213.98,274,268.86,39,38.8,52,51.88,184,179.52,890,870,7,7,0,0,9,9,0,0,16,16,906,886,"œ3,132,630.07","œ283,090.24",œ0.00,"œ3,489.17","œ629,984.06","œ306,743.29","œ4,355,936.83","œ151,206.00",œ0.00,"œ151,206.00","œ4,507,142.83",
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0,0,0,0,0,0,0,0,0,47,46.3,47,46,2,2,0,0,0,0,0,0,2,2,49,48,"œ172,182.67",œ510.79,œ0.00,œ0.00,"œ29,749.36","œ16,757.18","œ219,200.00","œ7,173.22",œ0.00,"œ7,173.22","œ226,373.22",
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,2.4,1,1,17,16,0,0,1,1,0,0,22,20,0,0,0,0,0,0,0,0,0,0,22,20,"œ64,700.00",œ0.00,œ0.00,œ0.00,"œ5,822.00","œ6,773.00","œ77,295.00",œ0.00,œ0.00,œ0.00,"œ77,295.00",
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,29,28.046,45,43.655,13,12.736,2,2,1,1,0,0,90,87,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,œ0.00,0,0,0,0,90,87,"œ233,050.00","œ1,326.00",œ0.00,œ0.00,"œ50,454.00","œ19,342.00","œ304,172.00",œ0.00,œ0.00,œ0.00,"œ304,172.00",
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,6,5.41,6,5.47,7,6.7,2,2,3,3,9,1.5,33,24,0,0,0,0,0,0,1,0.8,1,0.8,34,25,"œ107,943.14","œ4,635.00",œ0.00,œ0.00,"œ7,840.39","œ11,643.31","œ132,061.84",œ0.00,"œ6,334.00","œ6,334.00","œ138,395.84",
