Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Advisory Conciliation & Arbitration Service,ACAS,"Department for Business, Innovation & Skills",61,54.3,268,244.9,495,455.9,38,35.7,3,3,2,1.2,867,795,12,12,0,0,0,0,3,3,15,15,882,810,"£2,055,635.15","£18,258.97",£0.00,"£15,766.04","£374,151.74","£156,074.08","£2,619,885.98","£19,089.61","£33,125.00","£52,214.61","£2,672,100.59",
Arts & Humanities Research Council,AHRC,"Department for Business, Innovation & Skills",4,3.74,33,31.57,53,50.72,12,11.79,4,3.1,,,106,101,1,1,,,11,11,,,12,12,118,113,"£281,049.00","£5,093.00",£75.00,,"£69,614.00","£21,719.00","£377,550.00","£84,787.74",,"£84,787.74","£462,337.74",
Biotechnology & Biological Sciences Research Council,BBSRC,"Department for Business, Innovation & Skills",204,182.17,316,297.73,722,677.11,200,185.09,44,41.77,0,0,"1,486","1,384",14,14,,,1,1,1,0.2,16,15.2,"1,502","1,399","£4,233,612.72","£76,900.50",£192.80,"£36,960.75","£1,066,628.42","£346,859.26","£5,761,154.45","£45,922.12","£5,000.00","£50,922.12","£5,812,076.57",
"Business, Innovation & Skills ",BIS,"Department for Business, Innovation & Skills",160,153.324,393,381.263,1151,1125.459,1164,1123.537,211,203.085,0,0,"3,079","2,987",64,64,6,6,52,52,58,58,180,180,"3,259","3,167","£11,248,157.27","£301,380.94","£67,827.00","£41,684.00","£2,272,670.56","£1,008,403.19","£14,940,122.96","£1,475,768.00","£4,003,160.00","£5,478,928.00","£20,419,050.96",Included Headcount and Salary data for UKTI.
Capital for Enterprise Limited,CEL,"Department for Business, Innovation & Skills",,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,Now closed and replaces with Britsih Business Bank which is a plc.
Companies House ,CH,"Department for Business, Innovation & Skills",521,447,266,251,134,130,31,30,4,4,,,956,862,,,,,17,17,,,17,17,973,879,"£1,847,187.72","£22,274.63","£4,019.17","£13,137.05","£346,925.35","£127,919.05","£2,361,462.97",,,£0.00,"£2,361,462.97",
Competition Service,CS,"Department for Business, Innovation & Skills",3,3,2,1.888,6,5.6,3,3,1,1,,,15,14,,,,,,,,,0,0,15,14,"£52,276.58",,"£5,250.00",,"£10,867.64","£5,332.80","£73,727.02",,,£0.00,"£73,727.02",
Construction Industry Training Board,CITB,"Department for Business, Innovation & Skills",429,399.31,622,610.36,329,324.23,24,24,7,7,0,0,"1,411","1,365",54,38.1,0,0,80,33.6,0,0,134,71.7,"1,545","1,437","£3,441,876.48","£177,134.63",£0.00,"£50,320.47","£469,131.72","£287,749.52","£4,426,212.82","£87,620.00","£249,725.00","£337,345.00","£4,763,557.82",
