Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Transport ,Ministerial Department,Department for Transport,161,155.5,229,220.4,715,703.3,591,572.2,126,121.9,,,1822,1773.3,3,3,28,28,34,34,0,0,65,65,1887,1838.3,92333972.83,199122.9,2382055.98,1397985.5,18751584.13,8390522.86,123455244.2,8874235,9734388,18608623,142063867,
Driving Standards Agency,Executive Agency,Department for Transport,385,329.5,1904,1792.3,263,257.5,52,52,3,3,0,0,2607,2434.3,0,0,0,0,0,0,0,0,0,0,2607,2434.3,61830109.27,1731769.16,,4176233.93,12030268.63,5033619.73,84802000,335015.45,103967,438982.45,85240982.45,
Driver & Vehicle Licensing Agency,Executive Agency,Department for Transport,4635,4145.69,935,890.45,660,648.79,122,118.3,8,8,0,0,6360,5811.23,0,0,1,1,16,16,0,0,17,17,6377,5828.23,120664289,1385243.09,6677005.83,4556572.83,22536364.22,9023116.21,164842591.1,5797867.76,,5797867.76,170640458.9,"Includes Shared Services.  For consultancy spend DVLA pay Companies not individuals, it is therefore not appropriate for that expenditure to be included. "
Government Car & Despatch Agency,Executive Agency,Department for Transport,33,33,181,171,16,16,5,5,0,0,0,0,235,225,4,4,0,0,0,0,0,0,4,4,239,229,6878667.25,535196.81,43597.46,1013678.28,1411385.75,676514.96,10559040.51,16642,,16642,10575682.51,
Highways Agency,Executive Agency,Department for Transport,1647,1612,362,346,1298,1267,293,287,33,33,0,0,3633,3545,0,0,0,0,19,19,0,0,19,19,3652,3564,101149289.5,7801137.35,1608807.59,964781.35,20602193.54,8386310.4,140512519.8,3755807.22,,3755807.22,144268327,
Maritime & Coastguard Agency,Executive Agency,Department for Transport,484,446.26,245,237.52,300,282,108,107,5,4.49,,,1142,1077.27,14,12,0,0,0,0,0,0,14,12,1156,1089.27,30322200.27,2750899.56,743190.48,1449802.01,6264431.62,2677179.09,44207703.03,476637.94,,476637.94,44684340.97,
Vehicle Certification Agency,Executive Agency,Department for Transport,37,34.4,32,30,68,67.4,9,9,1,1,0,0,147,141.8,4,4,0,0,0,0,0,0,4,4,151,145.8,5212422,214387,2350,114061,870766,448945,6862931,145701,,145701,7008632,
Vehicle & Operator Services Agency,Executive Agency,Department for Transport,1042,983.6,846,838.9,375,371,39,38.5,3,3,0,0,2305,2235,47,45.6,2,1.6,0,0,0,0,49,47.2,2354,2282.2,59033448.07,4239372.02,1723258.06,32525,11601930.22,4761207.81,81391741.18,1061637.55,558000,1619637.55,83011378.73,"Consultancy fees of £109,024 was payment to DfTc for IHAC services"
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,1,1,4,3.5,1,1,2,2,0,0,8,7.5,0,0,1,1,1,1,0,0,2,2,10,9.5,355620,35427,,547,33240,34109,458943,77257.5,108923,186180.5,645123.5,
Directly Operated Railways Ltd,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,5,2.8,5,2.8,0,0,0,0,2,1.1,0,0,2,1.1,7,3.9,413166.97,,,,47593.45,48740,509500,211145,,211145,720645,
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,7,7,3,3,9,8.9,25,24.6,4,3.9,0,0,48,47.4,17,17,8,7.8,6,5.9,0,0,31,30.7,79,78.1,1698060.14,15030,22880,,252349.07,167466.65,2155785.86,1321043.18,,1321043.18,3476829.04,"For consultancy spend HS2 pay Companies not individuals, it is therefore not appropriate for that expenditure to be included. "
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,32,13,22,22,73,72.7,17,17,4,4,70,64.7,218,193.4,0,0,0,0,5,2.7,0,0,5,2.7,223,196.1,6558851.66,115927.62,106849.66,318411.93,33495.41,566925.22,7700461.5,133649.5,0,133649.5,7834111,
Passenger Focus,Executive Non-Departmental Public Body,Department for Transport,2,2,22,21.4,20,19.4,15,15,4,4,0,0,63,61.8,0,0,1,1,3,0.8,0,0,4,1.8,67,63.6,2587255,14779,20962,3208,247706,485239,3359149,210775,66899,277674,3636823,
Railway Heritage Committee,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,0,,,0,0,"The salary of the RHC's one employee is paid by BRB (Residuary) Ltd, and should therefore be accounted for in the BRBR return."
Trinity House,Executive Non-Departmental Public Body,Department for Transport,,,,,,,,,,,316,310,316,310,38,38,0,0,0,0,0,0,38,38,354,348,10070176.91,205303.31,382264,329513.94,80424.64,925290.76,11992973.56,,,0,11992973.56,
