Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
"Business, Innovation and Skills (Core)",Ministerial Department,"Department for Business, Innovation and Skills",117,110.995,322,311.35,934,910.265,1013,971.171,197,188.75,,,"2,583","2,493",20,20,3,3,38,38,16,16,77,77,"2,660","2,570","£10,155,455.06","£377,476.01","£35,322.00","£26,398.47","£1,999,765.48","£988,855.82","£13,583,272.84","£110,157.00","-£279,755.00","-£169,598.00","£13,413,674.84",The large credit on Consultancy for core BIS is down to central journal actions taken within Core BIS in the Non Group area.,
"Business, Innovation and Skills (UKTI)",Non-Ministerial Department,"Department for Business, Innovation and Skills",40,38.675,85,84.069,259,255.385,182,180.665,22,21.25,,,588,580,17,17,1,1,77,77,10,10,105,105,693,685,"£1,912,083.67","£36,730.45","£5,800.00","£3,467.60","£383,671.39","£178,933.46","£2,520,686.57","£410,855.00","£3,850.00","£414,705.00","£2,935,391.57",,
Advisory Conciliation and Arbitration Service,Crown Non Departmental Public Body,"Department for Business, Innovation and Skills",53,46.2,259,235.3,486,444.9,39,36.7,3,3,2,1.2,842,767,18,18,0,0,,,4,4,22,22,864,789,"£2,104,848.95","£18,391.14",,"£10,585.41","£419,830.19","£158,836.80","£2,712,492.49","£60,595.75","£35,481.25","£96,077.00","£2,808,569.49",,
Arts and Humanities Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",3,3,34,32.14,55,52.62,11,10.87,4,3.5,,,107,102,,,,,4,4,,,4,4,111,106,"£289,326.98","£1,300.00",£200.00,,"£70,120.67","£19,923.08","£380,870.73","£36,295.02",,"£36,295.02","£417,165.75",,
Biotechnology and Biological Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",176,156.24,283,264.89,641,609.75,184,168.37,44,42.28,1,1,"1,329","1,243",1,1,,,,,,,1,1,"1,330","1,244","£3,766,175.70","£121,321.69","£48,155.00","£29,778.48","£966,984.87","£330,737.25","£5,263,152.99","£2,659.00",,"£2,659.00","£5,265,811.99",,Swindon Office and The Pirbright Institute have now moved away from using cross Research Council Oracle report so that allowances can be listed seperately from salary figures
Companies House,Executive Agency,"Department for Business, Innovation and Skills",453,396,259,246,130,127,33,32,5,5,,,880,806,3,3,,,,,17,17,20,20,900,826,"£1,735,447.02","£36,808.47","£92,265.46","£26,171.47","£364,994.63","£133,711.80","£2,389,398.85",,,£0.00,"£2,389,398.85",,
Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",446,416.24,647,631.66,334,328.28,22,22,5,5,,,"1,454","1,403",59,51.08,1,0.01,56,51.04,8,2.26,124,104.39,"1,578","1,508","£3,578,328.97","£181,596.76",£0.00,"£42,032.96","£465,933.24","£299,310.47","£4,567,202.40","£644,751.17","£27,379.28","£672,130.45","£5,239,332.85","Due to issues with Brook Street invoicing, there is a degree of catch-up costs (costs from previous month not invoiced) in contingent labour",
Competition Service,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",3,3,1,1,6,5.6,3,3,1,1,,,14,14,,,,,1,1,,,1,1,15,15,"£44,553.02",,,,"£9,604.28","£3,878.08","£58,035.38","£3,523.50",,"£3,523.50","£61,558.88",Provide IT support to the team for the IT Infrastructure Upgrade,
