Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,
"Department for Business, Energy & Industrial Strategy (BEIS)",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",123,117.8,315,308,944,923.8,1121,1081.7,181,174.6,11,11,2695,2616.9,0,7,7,0,0,84.7,89,0,96,91.7,2791,2708.6,"£10,486,152.12","£393,986.50","£45,192.27","£45,474.21","£2,286,919.14","£1,217,926.95","£14,475,651.19","£249,082.51","£4,060,912.71","£4,309,995.22","£18,785,646.41",,,,
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",62,55.6,241,219.3,481,442.6,37,34.1,3,3,1,0.6,825,755,7,7,,,,,4,4,11,11,836,766,"£1,862,962.47","£18,688.00",,"£14,989.79","£420,496.35","£203,671.60","£2,520,808.21","£37,525.76","£10,875.00","£48,400.76","£2,569,208.97",,,,
Arts & Humanities Research Council (AHRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",7,6.49,33,32.10,67,62.88,13,12.80,1,1.00,0,0.00,121,115.27,1,1.00,0,0.00,2,2.00,0,0.00,3,3,124,118,"£316,197.00","£7,029.10",£100.00,£39.89,"£82,965.20","£30,501.36","£436,832.55","£17,718.98",£0.00,"£17,718.98","£454,551.53",,,,
Biotechnology & Biological Sciences Research Council (BBSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",32,27.43,44,41.05,138,131.59,41,39.23,12,11.51,0,0.00,267,250.81,2,2.00,0,0.00,0,0.00,0,0.00,2,2,269,253,"£752,626.10","£22,413.34","-£9,600.00","£1,864.78","£192,204.75","£73,749.59","£1,033,258.56","£4,699.00",£0.00,"£4,699.00","£1,037,957.56",Non-Consolidated overpayment in March recooped in May.,,,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)","1,123","1,105.91",300,291.47,127,126.49,21,20.81,6,6.00,0,0.00,"1,577","1,550.68",0,0.00,0,0.00,0,0.00,0,0.00,0,0,"1,577","1,551","£4,374,583.56","£185,509.93","£13,287.22","£493,042.96","£692,740.36","£575,532.22","£6,334,696.25",£0.00,£0.00,£0.00,"£6,334,696.25",,,,
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",17,16.60,22,20.90,123,122.10,44,44.00,3,3.00,,,209,206.60,3,3.00,,,12,11.50,,,15,15,224,221,"£643,716.86","£22,869.15","£439,329.85",£338.08,"£135,687.66","£68,618.27","£1,310,559.87","£98,883.74",,"£98,883.74","£1,409,443.61",,,,
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0,1,1,5,5,15,14.83,5,4.88,,,26,26,,,,,,,,,0,0,26,26,"£128,778.87",£216.00,,,"£25,289.12","£14,522.55","£168,806.54",,,£0.00,"£168,806.54",,,,
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",446,390,249,237,159,154,37,36,4,3,,,895,820,,,,,,,18,18,18,18,913,838,"£1,825,423.43","£35,944.50",,"£39,417.44","£380,629.04","£175,917.55","£2,457,331.96",,"£218,396.10","£218,396.10","£2,675,728.06",,,,
