Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes,
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,181,169.26,219,211.71,691,676.41,610,588.39,111,107.94,0,0,"1,812","1,754",9,9,2,2,78,65.87,0,0,89,76.87,"1,901","1,831","£6,816,545.10","£24,286.12","£626,230.53","£105,644.31","£1,369,365.51","£751,721.10","£9,693,792.67","£949,022.43","£1,701,448.48","£2,650,470.91","£12,344,263.58",,
Driving Standards Agency,Executive Agency,Department for Transport,242,203.51,1812,1693.95,214,209.87,43,42.34,2,2,0,0,"2,313","2,152",0,0,0,0,0,0,0,0,0,0,"2,313","2,152","£4,601,433.44","£109,461.02","-£1,308.00","£123,796.44","£871,984.93","£345,524.25","£6,050,892.08","£10,692.00","£28,947.38","£39,639.38","£6,090,531.46",,
Driver & Vehicle Licensing Agency,Executive Agency,Department for Transport,4673,4145.12,824,781.38,641,622.76,130,125.76,7,7,0,0,"6,275","5,682",0,0,3,1.8,3,2.5,0,0,6,4.3,"6,281","5,686","£9,833,123.26","£101,786.92","£2,362.00","£562,714.28","£1,714,589.61","£636,602.57","£12,851,178.64","£130,698.17","£8,420.70","£139,118.87","£12,990,297.51",,
Highways Agency,Executive Agency,Department for Transport,1405,1363.57,293,275.11,1348,1304.38,307,296.49,31,30.59,0,0,"3,384","3,270",0,0,78,29.50,0,0,0,0,78,29.50,"3,462","3,300","£7,939,905.54","£1,040,125.62","£14,270.73","£172,469.55","£1,594,972.71","£690,864.68","£11,452,608.83","£480,763.57",£0.00,"£480,763.57","£11,933,372.40",,
Maritime & Coastguard Agency,Executive Agency,Department for Transport,416,379.09,228,217.29,300,281.92,107,104.53,5,4.49,0,0,"1,056",987,13,13,0,0,0,0,0,0,13,13,"1,069","1,000","£2,316,046.17","£207,537.60","£674,159.42","£149,392.35","£473,069.72","£291,371.58","£4,111,576.84","£22,334.92",£0.00,"£22,334.92","£4,133,911.76",,
Vehicle Certification Agency,Executive Agency,Department for Transport,40,34.25,31,28.4,72,70.2,11,11,1,1,0,0,155,145,7,7,0,0,0,0,0,0,7,7,162,152,"£401,349.88",£999.79,"£28,342.83","£29,002.07","£76,612.91","£38,967.80","£575,275.28","£39,327.68",£0.00,"£39,327.68","£614,602.96",,
Vehicle & Operator Services Agency,Executive Agency,Department for Transport,1049,981.32,802,786.2,394,388.13,39,38.55,4,4,0,0,"2,288","2,198",32,31.8,7,7,17,17,0,0,56,55.8,"2,344","2,254","£4,593,876.18","£310,960.03","£3,400.00","£208,621.60","£901,086.41","£388,672.22","£6,406,616.44","£305,895.47",£115.20,"£306,010.67","£6,712,627.11",,
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,1,1,3,2.8,3,2.7,2,2,0,0,9,9,1,0.5,0,0,1,1,0,0,2,1.5,11,10,"£36,413.00","£3,515.00",£0.00,£0.00,"£5,121.00","£3,442.00","£48,491.00","£32,921.52",£0.00,"£32,921.52","£81,412.52",,
Directly Operated Railways Ltd,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,0,0,0,0,0,0,14,10.6,14,11,0,0,0,0,1,0.5,0,0,1,0.5,15,11,"£140,453.46",£0.00,£0.00,£0.00,"£5,554.37","£17,472.29","£163,480.12","£30,356.47","£5,525.00","£35,881.47","£199,361.59",,
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,52,50.8,10,9,130,129.4,73,72.6,14,14,21,19.4,300,295,28,27,48,46.6,129,129,0,0,205,202.6,505,498,"£1,286,658.10",£0.00,£0.00,"£3,799.52","£93,991.81","£148,998.42","£1,533,447.85","£661,531.67","£21,101.90","£682,633.57","£2,216,081.42",,
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,29,10.6,18,18,70,69.6,13,12.8,4,4,69,63.7,203,179,8,3,0,0,0,0,0,0,8,3,211,182,"£515,700.00","£7,069.00",£0.00,"£20,473.00","£2,857.00","£45,141.00","£591,240.00",£388.62,£0.00,£388.62,"£591,628.62",,
Passenger Focus,Executive Non-Departmental Public Body,Department for Transport,2,2,16,15.6,13,12.8,10,10,3,3,0,0,44,43,1,1,0,0,4,0.9,0,0,5,1.9,49,45,"£145,799.00",£245.00,£150.00,£0.00,"£27,607.00","£13,707.00","£187,508.00","£4,408.20","£1,620.00","£6,028.20","£193,536.20",,
