Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,151,129.99,395,384.56,"1,465.00","1,441.10","1,295.00","1,265.10",208,201.22,0,0,"3,514","3,422",41,41,0,0,45,44.94594595,0,0,86,85.94594595,"3,600","3,508","£13,564,846.88","£197,934.39","£65,034.86","£348,843.96","£3,716,062.72","£1,700,922.82","£19,593,645.63","£1,267,004.30","£22,138,795.21","£23,405,799.51","£42,999,445.14",,
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,"4,090.00","3,462.01",898,839.11,949,911.55,282,271.62,7,7,0,0,"6,226","5,491",0,0,0,0,15,15,0,0,15,15,"6,241","5,506","£12,148,602.00","£398,101.00","£2,921,926.00","£199,408.00","£3,193,093.00","£1,557,558.00","£20,418,688.00","£265,160.00","£230,145.00","£495,305.00","£20,913,993.00",,excl paid exits and capitalisation  now incl apprenticeship levy
Driver and Vehicle Standards Agency,Executive Agency,Department for Transport,"1,125.00","1,052.89","2,599.00","2,422.50",950,924.5,122,121.13,9,8.75,0,0,"4,805","4,530",31,31,9,9,10,10,0,0,50,50,"4,855","4,580","£11,781,721.88","£740,000.70","£187,575.00","£84,698.27","£3,068,454.00","£1,233,843.00","£17,096,292.85","£439,028.00","-£29,106.00","£409,922.00","£17,506,214.85",,
Maritime and Coastguard Agency,Executive Agency,Department for Transport,293,273.26,243,234.49,533,518.2,160,154.08,7,6.65,0,0,"1,236","1,187",21,21,0,0,0,0,0,0,21,21,"1,257","1,208","£3,365,646.00","£320,556.00","£68,100.00","£67,850.00","£917,356.00","£400,358.00","£5,139,866.00","£302,188.00",,"£302,188.00","£5,442,054.00",,
Vehicle Certification Agency,Executive Agency,Department for Transport,48,43.25,48,45.17,97,93.37,17,17,1,1,0,0,211,200,6,6,0,0,0,0,0,0,6,6,217,206,"£617,941.00","£18,984.00","£24,957.00","£13,779.00","£69,667.00","£158,969.00","£904,297.00","£8,469.00",,"£8,469.00","£912,766.00",,
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,4,4,6,5,3,3,0,0,13,12,1,1,1,1,0,0,0,0,2,2,15,14,"£131,461.00","£6,717.00",,,"£16,144.00","£13,851.00","£168,173.00","£21,881.00","£27,603.00","£49,484.00","£217,657.00",,includes secondee payroll costs but excludes member salaries
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,94,93.18,68,67.4,451,446.07,649,645.55,258,256.31,0,0,"1,520","1,509",81,81,49,49,219,219,0,0,349,349,"1,869","1,858","£9,686,315.00",£0.00,£0.00,£0.00,"£946,230.00","£951,929.00","£11,584,474.00","£2,064,536.49",,"£2,064,536.49","£13,649,010.49",,Increase due to growth in core staff numbers & year end accruals Timing fluctuations of approval of timesheets & invoices
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,22,5.96,18,17.4,69,67.13,16,15.8,3,3,76,70.7,204,180,14,8.66,0,0,0,0,0,0,14,8.66,218,189,"£662,600.00","£8,609.00",£0.00,"£29,475.00","£182,449.00","£83,475.00","£966,608.00","£33,542.00",,"£33,542.00","£1,000,150.00",,
