Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,151,130.68,372,361.29,"1,409.00","1,386.31","1,255.00","1,226.71",203,196.36,0,0,"3,390","3,301",4,4,0,0,24,24,0,0,28,28,"3,418","3,329","£12,336,586.77","£187,654.08","£63,855.74","£178,824.01","£3,639,799.33","£1,709,189.32","£18,115,909.25","£1,207,421.45","£11,625,554.44","£12,832,975.89","£30,948,885.14",,
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,"4,128.00","3,491.82",895,833.64,938,901.32,282,271.12,7,7,0,0,"6,250","5,505",0,0,0,0,15,14.7,0,0,15,14.7,"6,265","5,520","£11,909,502.53","£372,250.13","£296,326.28","£274,693.76","£3,186,006.10","£1,202,032.71","£17,240,811.51","£305,067.62","-£73,165.43","£231,902.19","£17,472,713.70",,Journal correction for previous month
Driver and Vehicle Standards Agency,Executive Agency,Department for Transport,1127,1055.1,2556,2379.43,929,903.51,120,118.92,9,8.75,0,0,"4,741","4,466",32,32,9,9,10,10,0,0,51,51,"4,792","4,517","£10,725,016.22","£719,290.65","£150,587.00","£200,343.35","£2,841,783.97","£1,217,054.28","£15,854,075.47","£300,632.80","£43,515.61","£344,148.41","£16,198,223.88",,
Maritime and Coastguard Agency,Executive Agency,Department for Transport,265,244.41,238,229.49,534,518.67,153,147.47,7,6.65,0,0,"1,197","1,147",27,27,0,0,0,0,0,0,27,27,"1,224","1,174","£3,259,321.50","£312,434.91","£52,150.00","£72,399.73","£897,327.35","£387,753.28","£4,981,386.77","£275,107.20",,"£275,107.20","£5,256,493.97",,
Vehicle Certification Agency,Executive Agency,Department for Transport,51,46.25,43,40.09,99,95.37,17,17,1,1,0,0,211,200,5,5,0,0,0,0,0,0,5,5,216,205,"£629,409.00","£17,173.00","£11,750.00","£18,216.00","£162,148.00","£69,378.00","£908,074.00","£23,107.00",,"£23,107.00","£931,181.00",,
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,5,5,6,5,3,3,0,0,14,13,2,1.01,0,0,0,0,0,0,2,1.01,16,14,"£64,992.00","£3,582.00",,,"£8,312.00","£7,410.00","£84,296.00","£6,609.00","£81,701.00","£88,310.00","£172,606.00",,
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,92,91.56666667,66,65.4,441,436.5266667,617,613.5422222,247,245.5055556,,,"1,463","1,453",81,81,51,51,213,213,0,0,345,345,"1,808","1,798","£8,549,793.14",£0.00,£0.00,£0.00,"£896,777.09","£899,742.78","£10,346,313.01","£1,439,827.35",,"£1,439,827.35","£11,786,140.36",,Increase due to growth in core staff numbers Timing fluctuations of approval of timesheets & invoices
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,22,5.96,18,17.4,69,67.13,16,15.8,3,3,76,70.7,204,180,12,7.42,0,0,0,0,0,0,12,7.42,216,187,"£657,126.54","£10,309.18",£0.00,"£23,921.17","£179,941.26","£77,854.16","£949,152.31","£34,619.38",,"£34,619.38","£983,771.69",,
