Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,162,149.57,240,232.93,664,650.07,651,632.19,124,121.05,0,0.00,"1,841","1,785.81",21,21.00,0,0.00,106,95.48,0,0.00,127,116.48,"1,968","1,902.28","£5,472,039.87","£30,136.35","£1,466,413.97","£98,471.69","£1,443,079.11","£692,343.01","£9,202,484.00","£642,084.29","£2,875,497.76","£3,517,582.05","£12,720,066.05",
Driving Standards Agency,Executive Agency,Department for Transport,216,177.07,"1,696","1,571.32",295,289.61,38,37.83,0,0.00,0,0.00,"2,245","2,075.83",11,11.00,0,0.00,0,0.00,0,0.00,11,11.00,"2,256","2,086.83","£4,672,716.31","£125,959.88","£1,215.00","£294,235.20","£882,045.71","£368,155.37","£6,344,327.47","£68,490.60","£27,780.76","£96,271.36","£6,440,598.83",
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,"4,316","3,762.52",735,684.86,601,567.92,135,129.69,7,7.00,0,0.00,"5,794","5,151.99",0,0.00,1,0.86,2,1.75,0,0.00,3,2.61,"5,797","5,154.60","£9,838,555.00","£79,727.00",£0.00,"£436,134.00","£591,726.00","£1,656,266.00","£12,602,408.00","£76,467.00","£136,482.00","£212,949.00","£12,815,357.00",
Highways Agency,Executive Agency,Department for Transport,"1,431","1,380.14",403,382.08,"1,512","1,461.82",372,359.69,39,38.17,0,0.00,"3,757","3,621.90",0,0.00,144,26.00,0,0.00,0,0.00,144,26.00,"3,901","3,647.90","£9,346,684.08","£678,550.95","£1,838,074.68","£112,113.29","£1,862,975.68","£797,036.43","£14,635,435.11","£1,251,046.76",,"£1,251,046.76","£15,886,481.87",
Maritime and Coastguard Agency,Executive Agency,Department for Transport,403,374.46,184,176.56,366,347.17,107,103.78,4,3.54,0,0.00,"1,064","1,005.51",11,11.00,0,0.00,0,0.00,0,0.00,11,11.00,"1,075","1,016.51","£2,493,782.75","£258,817.93","£5,000.00","£182,259.94","£542,496.43","£239,594.72","£3,721,951.77","£104,746.59",,"£104,746.59","£3,826,698.36",
Vehicle Certification Agency,Executive Agency,Department for Transport,36,31.35,42,39.39,79,77.20,8,8.00,1,1.00,0,0.00,166,156.94,5,5.00,0,0.00,0,0.00,0,0.00,5,5.00,171,161.94,"£481,174.00","£19,179.00","£25,000.00",-£322.00,"£84,877.00","£38,538.00","£648,446.00","£15,170.00",,"£15,170.00","£663,616.00",
Vehicle and Operator Services Agency,Executive Agency,Department for Transport,"1,025",962.18,773,754.35,426,417.61,45,44.15,6,6.00,0,0.00,"2,275","2,184.29",70,68.52,8,8.00,59,59.00,0,0.00,137,135.52,"2,412","2,319.81","£4,639,066.04","£369,243.16","£1,225.00","£541,140.23","£921,574.34","£419,438.19","£6,891,686.96","£498,623.00","£32,488.00","£531,111.00","£7,422,797.96",
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0.00,0,0.00,6,6.00,4,3.80,2,2.00,0,0.00,12,11.80,0,0.00,0,0.00,1,0.60,0,0.00,1,0.60,13,12.40,"£41,280.00","£3,605.61",,,"£6,155.52","£4,398.43","£55,439.56",£0.00,"£22,871.00","£22,871.00","£78,310.56",
