Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,82,78.7,248,240.8,732,707.8,550,533.2,82,78.9,0,0.0,"1,694","1,639",13,13.0,1,1.0,32,24.4,4,4.0,50,42.41,"1,744","1,682","£5,808,856.22","£105,243.25","£254,900.00","£78,879.86","£1,245,321.80","£530,716.56","£8,023,917.69","£259,145.00","£19,469.00","£278,614.00","£8,302,531.69",
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,195,174.2,119,106.3,102,98.2,349,296.3,5,5.0,0,0.0,770,680,22,22,0,0,77,30.07,0,0,99,52.07,869,732,"£2,157,957.56","£55,032.43","£2,067.98","£4,226.29","£461,422.64","£187,212.42","£2,867,919.32","£241,358.44",£0.00,"£241,358.44","£3,109,277.76",
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4.0,13,13.0,23,23.0,5,5.0,1,1.0,0,0.0,46,46,7,7,0,0,0,0,0,0,7,7,53,53,"£150,364.67",£809.00,£250.00,"£8,079.22","£31,679.41","£14,911.22","£206,093.52","£15,571.83",£0.00,"£15,571.83","£221,665.35",
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,138,129.3,298,291.1,342,334.0,81,78.7,64,63.7,0,0.0,923,897,4,4,5,5,10,10,0,0,19,19,942,916,"£3,430,953.01","£107,600.14",£0.00,"£3,016.84","£753,318.21","£333,209.62","£4,628,097.82","£68,071.00",£0.00,"£68,071.00","£4,696,168.82",
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48,47.4,48,47,8,7.6,0,0,0,0,0,0,8,7.6,56,55.0,"£173,150.52",£80.35,£0.00,"£3,730.16","£36,440.98","£16,319.13","£229,721.14","£42,955.00",£0.00,"£42,955.00","£272,676.14",
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,4,3.8,1,1.0,18,17.3,0,0.0,1,1.0,0,0.0,24,23,0,0,0,0,0,0,0,0,0,0,24,23,"£80,271.00",£0.00,£0.00,£0.00,"£6,972.00","£8,481.00","£95,724.00",£0.00,£0.00,£0.00,"£95,724.00",
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,22,20.6,32,31.5,12,11.7,2,2.0,1,1.0,0,0.0,69,67,5,5,0,0,0,0,0,0,5,5,74,72,"£191,596.16","£1,401.82",£0.00,£0.00,"£31,284.98","£15,528.07","£239,811.03","£27,257.61",£0.00,"£27,257.61","£267,068.64",
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,4,4.0,0,0.0,2,2.0,7,7.0,3,3.0,0,0.0,16,16,0,0,8,7,0,0,0,0,8,7,24,23,"£70,832.00",£0.00,£0.00,£0.00,"£8,854.00","£9,916.00","£89,602.00","£84,786.00",£0.00,"£84,786.00","£174,388.00",
