Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,86,83.0,242,234.2,713,692.0,520,502.9,82,79.9,0,0.0,"1,643","1,592",4,4.0,0,0.0,34,26.8,1,1.0,39,31.78,"1,682","1,624","£5,526,276.29","£22,219.54","£51,239.40","£42,400.11","£1,195,111.23","£495,324.17","£7,332,570.74","£334,445.00","£38,698.00","£373,143.00","£7,705,713.74",,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,208,185.6,121,108.5,103,99.3,321,269.3,7,7.0,0,0.0,760,670,6,6,0,0,79,36.97,0,0,85,42.97,845,713,"£2,083,739.53","£70,317.50",£536.24,"£3,353.53","£445,983.82","£183,633.05","£2,787,563.67","£233,355.79",£0.00,"£233,355.79","£3,020,919.46",,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4.0,12,12.0,21,21.0,5,5.0,1,1.0,0,0.0,43,43,5,5,0,0,0,0,2,2,7,7,50,50,"£133,815.48","£1,084.00","£1,350.00","£10,323.65","£26,421.62","£13,159.56","£186,154.31","£15,288.02","£21,975.00","£37,263.02","£223,417.33",,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,142,133.2,315,307.7,322,314.4,79,77.1,65,64.7,0,0.0,923,897,1,1,12,12,8,8,0,0,21,21,944,918,"£3,517,889.20","£97,914.18","£8,477.75","£10,855.67","£746,714.62","£333,657.86","£4,715,509.28","£165,217.00",£0.00,"£165,217.00","£4,880,726.28",,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,46,44.7,46,45,10,10,0,0,0,0,0,0,10,10,56,54.7,"£166,922.69",£96.42,£0.00,£745.91,"£32,246.03","£15,614.51","£215,625.56","£45,157.00",£0.00,"£45,157.00","£260,782.56",,2 additional members of staff are covering maternity leave
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,2.6,1,1.0,17,16.5,0,0.0,1,1.0,0,0.0,22,21,0,0,0,0,0,0,0,0,0,0,22,21,"£67,272.00",£0.00,£0.00,£0.00,"£6,443.00","£6,732.00","£80,447.00",£0.00,£0.00,£0.00,"£80,447.00",,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,19,17.7,10,8.9,34,33.7,11,11.0,2,2.0,0,0.0,76,73,2,2,0,0,0,0,0,0,2,2,78,75,"£208,807.00","£1,489.00",£0.00,£0.00,"£34,151.00","£17,264.00","£261,711.00","£5,037.00",£0.00,"£5,037.00","£266,748.00",,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1,0,0,9,9,0,0,0,0,9,9,10,10,"£2,917.00",£0.00,£0.00,£0.00,£438.00,£408.00,"£3,763.00","£84,250.00",£0.00,"£84,250.00","£88,013.00",,
