"Please read the additional data fields descriptions before entering information into this template. Completed templates must be returned to your organisation's main, parent or sponsoring department. They will provide one return to Cabinet Office capturing information for all their relevant organisations.
(NB: This data sheet is password protected. Contact Cabinet Office if you require the password.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Ministry of Housing Communities and Local Government,Ministerial Department,Ministry of Housing Communities and Local Government,62,59.2,318,313.1,978,956.4,817,794.3,120,116.7,0,0,"2,295","2,239.70",5,5,2,1.5,45,45,38,38,90,89.5,"2,385","2,329.20","£8,232,333.03","£246,391.28","£107,450.00","£169,431.05","£2,325,433.06","£979,427.96","£12,060,466.38","£332,712.54","£274,316.67","£607,029.21","£12,667,495.59",,
Planning Inspectorate,Executive Agency,Ministry of Housing Communities and Local Government,158,142.9,92,83.7,126,119.7,425,380.1,5,5,0,0,806,731.4,11,11,0,0,0,0,0,0,11,11,817,742.4,"£2,608,952.28","£93,279.66",£31.25,"£3,155.15","£729,588.29","£290,695.15","£3,725,701.78","£20,242.04",£0.00,"£20,242.04","£3,745,943.82",,
Queen Elizabeth II Conference Centre,Executive Agency,Ministry of Housing Communities and Local Government,5,5,12,12,26,26,4,4,1,1,,,48,48,2,2,,,,,,,2,2,50,50,"£162,281.86",£627.00,£0.00,"£3,581.68","£41,699.43","£16,840.44","£225,030.41","£1,200.00",£0.00,"£1,200.00","£226,230.41",,
Homes England,Executive Non-Departmental Public Body,Ministry of Housing Communities and Local Government,1,1,231,225.3,290,283.5,474,463.8,69,68.8,0,0,"1,065","1,042.40",47,47,19,19,13,13,3,3,82,82,"1,147","1,124.40","£4,504,665.52","£267,909.56",£450.00,"£2,129.96","£1,407,183.59","£540,992.02","£6,723,330.65","£639,995.72","£27,343.50","£667,339.22","£7,390,669.87",,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Ministry of Housing Communities and Local Government,,,,,,,,,,,56,52.8,56,52.8,26,25.8,,,,,,,26,25.8,82,78.6,"£225,635.25",,,"£10,290.00","£60,377.00","£26,513.95","£322,816.20",,"£105,453.31","£105,453.31","£428,269.51",,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Ministry of Housing Communities and Local Government,3,2.8,1,1,20,19.2,,,2,2,,,26,25,,,,,,,,,0,0,26,25,"£89,386.21",,,,"£9,780.62","£9,649.24","£108,816.07",,,£0.00,"£108,816.07",,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Ministry of Housing Communities and Local Government,15,14.3,32,31.6,7,6.3,4,4,1,1,,,59,57.2,5,5,,,,,,,5,5,64,62.2,"£184,166.92","£1,594.81",,,"£28,579.46","£19,524.33","£233,865.52","£33,158.79",,"£33,158.79","£267,024.31",,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Ministry of Housing Communities and Local Government,8,7.4,4,3.8,7,5.9,11,11,3,3,,,33,31.1,,,12,8,,,,,12,8,45,39.1,"£123,657.85",,£0.00,,"£21,223.08","£13,782.69","£158,663.62","£87,367.28",,"£87,367.28","£246,030.90",,
Regulator of Social Housing,Executive Non-Departmental Public Body,Ministry of Housing Communities and Local Government,13,12.7,55,54.3,42,41.4,33,33,18,18,0,0,161,159.4,0,0,0,0,0,0,0,0,0,0,161,159.4,"£702,334.60","£35,582.00",£0.00,£0.00,"£222,858.31","£92,209.02","£1,052,983.93",£0.00,£0.00,£0.00,"£1,052,983.93",,
