Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Communities & Local Government ,Ministerial Department,Department for Communities & Local Government,105,101.1,242,233.5,746,726.8,550,532.5,86,83,0,0,1729,1676.9,7,7,3,3,43,43,4,4,57,57,1786,1733.9,6185949.12,82786.61,60900,43770.83,1263070.25,597390.26,8233867.07,285141,86971,372112,8605979.07,
Fire Service College,Executive Agency,Department for Communities & Local Government,65,61.2,24,22.5,44,42,10,9.5,1,1,0,0,144,136.2,3,2.8,4,3.8,0,0,0,0,7,6.6,151,142.8,284820.82,0,0,0,50855.64,26732.31,362408.77,50921.02,0,50921.02,413329.79,
Planning Inspectorate,Executive Agency,Department for Communities & Local Government,220,196.3,135,123.2,90,87.1,300,249.4,7,7,0,0,752,663,3,3,0,0,0,0,0,0,3,3,755,666,2065692.59,15372.71,0,5088.09,412324,189592.27,2688069.66,0,0,0,2688069.66,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities & Local Government,4,4,8,8,27,27,3,3,1,1,0,0,43,43,1,1,0,0,0,0,2,2,3,3,46,46,121442.06,0,0,2319.77,22882.33,10471.57,157115.73,1645,4500,6145,163260.73,
Homes & Communities Agency,Executive Non-Departmental Public Body,Department for Communities & Local Government,121,115.51,204,198.74,232,226.18,36,35.8,47,46.88,218,213.63,858,836.74,5,5,0,0,9,9,0,0,14,14,872,850.74,2970296.84,213281.64,0,5514.01,661305.87,294392.88,4144791.24,0,0,0,4144791.24,
Independent Housing Ombudsman Ltd,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,0,0,0,0,0,0,42,40.5,42,40.5,2,2,0,0,0,0,0,0,2,2,44,42.5,155186.77,64.28,0,0,28930.87,14904.15,199086.07,9194,0,9194,208280.07,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,3,2.4,1,1,17,16,0,0,1,1,0,0,22,20.4,0,0,0,0,0,0,0,0,0,0,22,20.4,71659,0,0,0,5971,7926,85556,0,0,0,85556,
London Thames Gateway Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,0,0,0,0,2,1.9,0,0,1,1,0,0,3,2.9,0,0,0,0,0,0,0,0,0,0,3,2.9,12425.15,0,0,0,1801.65,919.34,15146.14,0,0,0,15146.14,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities & Local Government,20,19.17,43,41.834,11,10.736,2,2,1,1,0,0,77,74.74,4,4,0,0,0,0,0,0,4,4,81,78.74,221398,2690,0,0,44351,18879,287318,6800,0,6800,294118,
West Northamptonshire Development Corporation,Executive Non-Departmental Public Body,Department for Communities & Local Government,6,5.41,6,5.47,8,7.7,3,3,3,3,9,1.5,35,26.08,0,0,0,0,0,0,1,0.6,1,0.6,36,26.68,117265.73,5095,0,0,1372719.98,12222.12,1507302.83,0,4750,4750,1512052.83,"Figures include £1,364,000 pension deficit payment"
