Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,46,46,275,268,785,763,833,805,197,190,0,0,2136,2072,71,71,0,0,23,23,2,2,96,96,2232,2168,"£8,409,859","£123,060","£153,635","£108,290","£2,282,130","£1,036,877","£12,113,851.51","£2,745,652",,"£2,745,652.00","£14,859,503.51",
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,228,210.69,444,424.89,1944,1872.24,495,481.33,153,137.13,14,12,3278,3138.28,1,1,7,7,4,4,2,2,14,14,3292,3152.28,"£11,573,842","£83,380",0,"£6,398","£1,399,830","£1,144,877","£14,208,327.00",247134.62,,"£247,134.62","£14,455,461.62",
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,11,11,381,364,767,741,1225,1187,200,191,,,2584,2494,283,230,161,139,6,6,,,450,375,3034,2869,"£10,510,572","£179,009",,"£9,976","£1,997,752","£1,067,903","£13,765,212.47",3558207.58,,"£3,558,207.58","£17,323,420.05","Specialist Contractors includes inward Secondees working >0.5wte.
The costs for secondees is not included in the Non-payroll staff figures."
Health Education England,Special Health Authority,Department of Health,92,85.93,717,670.86,689,650.16,626,594.2,995,357.82,0,0,3119,2358.97,,,,,,,,,0,0,3119,2358.97,"£9,662,103",36752.14,,"£1,086","£1,184,483","£983,338","£11,867,762.22",,,£0.00,"£11,867,762.22",
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,1,1,84,80.87,83,79.18,35,33.41,7,6.66,,,210,201.12,2,1.7,5,4.12,,,,,7,5.82,217,206.94,"£647,531",,,,"£80,913","£65,680","£794,124.05",,,£0.00,"£794,124.05",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,19,18.2,35,34.4,9,8.5,4,3.5,0,0,67,64.6,1,1,0,0,5,5,0,0,6,6,73,70.6,"£241,615",,,,"£67,288","£27,210","£336,113.00",,,£0.00,"£336,113.00",The HFEA currently has 1 vacancy
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,0,0,5,5,29,28.81,10,10,3,3,,,47,46.81,,,,,,,,,0,0,47,46.81,207342.76,0,0,0,26566.22,23738.78,"£257,647.76",,,£0.00,"£257,647.76",
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health,54,53.61,194,186.77,468,458.13,408,390.94,160,143.05,0,0,1284,1232.5,32,32,4,4,10,9.19,0,0,46,45.19,1330,1277.69,"£5,282,198","£12,858",28800,"£14,895","£1,340,706","£577,393","£7,256,848.64","£832,220",0,"£832,220.09","£8,089,068.73",
Monitor,Executive Non-Departmental Public Body,Department of Health,8,8,5,4.8,21,19.89459,59,57.63056,28,26.84444,0,0,121,117.16959,,,,,,,,,0,0,121,117.16959,"£810,381",0,0,2290.48,"£234,011","£99,879","£1,146,561.84",269542.78,,"£269,542.78","£1,416,104.62",
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,15,14.62,94,88.25,273,257.9,250,234.55,68,65.48,2,1.4,702,662.2,4,3.77,,,1,0.64,,,5,4.41,707,666.61,"£2,627,615","£6,980",,32.88,"£521,392","£292,894","£3,448,915.03","£42,717",,"£42,716.68","£3,491,631.71",
NHS Blood & Transplant,Special Health Authority,Department of Health,2045,1653.55,1168,1064.79,1629,1501.39,583,566.03,64,62.6,49,45.6,5538,4893.96,55,55,7,7,15,15,0,0,77,77,5615,4970.96,"£14,114,095","£948,807",£0,"£536,617","£2,008,865","£1,611,654","£19,220,037.16","£569,774",,"£569,774.39","£19,789,811.55",
NHS Business Services Authority,Special Health Authority,Department of Health,1849,1633.88,683,650.57,472,462.73,244,232.5,65,62.28,,,3313,3041.96,58,58,,,,,27,27,85,85,3398,3126.96,"£6,806,940","£15,058","£111,473","£96,764","£881,261","£639,527","£8,551,022.36","£509,344",,"£509,343.59","£9,060,365.95",
NHS England,Special Health Authority,Department of Health,99,86.18534,1000,937.54633,1634,1571.44601,3068,2955.35593,848,804.84299,163,84.14231,6812,6439.51891,198,187.91,78,39.93,,,,,276,227.84,7088,6667.35891,"£30,224,822",0,0,0,"£3,791,362","£3,469,740","£37,485,924.87","£1,318,818",,"£1,318,817.84","£38,804,742.71",
NHS Litigation Authority,Special Health Authority,Department of Health,8,7,63,61.46,140,135.78,168,159.0799,9,9,0,0,388,372.3199,14,13.8,0,0,0,0,0,0,14,13.8,402,386.1199,"£1,459,531","£165,793",£0,"£1,691","£194,457","£171,051","£1,992,523.64",,,£0.00,"£1,992,523.64",
NHS Trust Development Authority,Special Health Authority,Department of Health,7,6.6,142,136.93334,258,250.58666,764,735.19466,389,373.83654,10,6.2,1570,1509.3512,,,,,,,,,0,0,1570,1509.3512,"£7,700,901","£366,908",£0,"£66,150","£1,021,574","£996,338","£10,151,871.38","£150,929",,"£150,929.13","£10,302,800.51",
Public Health England,Executive Agency,Department of Health,803,663.33,796,722.02,2324,2018.16,1642,1553.98,447,371.36,3,3,6015,5331.85,138,112.97,0,0,45,29.2,0,0,183,142.17,6198,5474.02,"£14,504,982","£8,911,033",£0,"£691,339","£4,772,760","£2,626,882","£31,506,996.06","£1,023,902",,"£1,023,901.66","£32,530,897.72","Specialist Contractors includes inward Secondees working >0.5wte.
The costs for secondees is not included in the Non-payroll staff figures."
