Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,69,66.24,188,183.41,649,629.34,489,474.85,77,74.27,0,0,"1,472","1,428",4,4,0,0,23,15.41,6,6,33,25.41,"1,505","1,454","£5,119,504.38","£114,741.66","£52,799.99","£41,015.98","£1,114,654.69","£593,110.50","£7,035,827.20","£76,187.00",£0.00,"£76,187.00","£7,112,014.20",,,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,189,168.1,99,88.9,94,91.3,345,298,6,6,0,0,733,652,6,6,0,0,71,28.5,0,0,77,34.5,810,687,"£2,105,739.07","£99,686.15","£23,100.00","£2,950.34","£450,828.26","£239,347.58","£2,921,651.40","£180,814.87",£0.00,"£180,814.87","£3,102,466.27",,,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4,13,13,25,25,5,5,1,1,0,0,48,48,4,4,0,0,0,0,0,0,4,4,52,52,"£152,044.71",£507.00,£100.00,"£10,154.03","£31,610.44","£18,023.85","£212,440.03","£20,293.26",£0.00,"£20,293.26","£232,733.29",,,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,118,117.36,272,264.41,317,306.83,77,73.81,60,58.25,0,0,844,821,7,7,6,5.6,4,4,0,0,17,16.6,861,837,"£4,009,675.70","£117,289.89","£179,104.05","£1,384.42","£767,457.23","£440,729.76","£5,515,641.05","£66,737.07",£0.00,"£66,737.07","£5,582,378.12",2015 Pay award processed in this month - including all performance bonuses and arrears back to July 15.,,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0,0,0,0,0,0,0,0,0,50,49,50,49,11,10.6,0,0,0,0,0,0,11,10.6,61,60,"£185,957.74",£0.00,£0.00,£544.25,"£40,673.21","£21,104.98","£248,280.18","£48,360.10",£0.00,"£48,360.10","£296,640.28",,,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,4,3.8,1,1,18,17.3,0,0,1,1,0,0,24,23,0,0,0,0,0,0,0,0,0,0,24,23,"£72,335.00",£0.00,£0.00,£0.00,"£6,208.00","£7,466.00","£86,009.00",£0.00,£0.00,£0.00,"£86,009.00",,,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,23,21.60136,35,34.77297,12,11.73611,2,2,1,1,0,0,73,71,7,7,0,0,0,0,0,0,7,7,80,78,"£198,251.71","£1,401.82",£0.00,£0.00,"£30,655.10","£20,222.73","£250,531.36","£19,604.67",£0.00,"£19,604.67","£270,136.03",,,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,4,4,3,2.8,2,2,9,9,3,3,0,0,21,21,0,0,8,5.4,0,0,0,0,8,5.4,29,26,"£89,482.00",£0.00,£0.00,£0.00,"£10,261.00","£10,240.00","£109,983.00","£68,593.00",£0.00,"£68,593.00","£178,576.00",,,
