Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department for Education,Ministerial Department,Department for Education,103,97.01,718,692.08,2007,1939.76,1681,1614.02,176,169.78,,,4685,4512.65,27,21.18,,,208,208,,,235,229.18,4920,4741.83,13562456.44,261546.43,199135.79,44870.71,4421607.42,1979609.59,20469226.38,3001808.26,1366029.77,4367838.03,24837064.41,Please note we are unable to split the contingent labour by interims or specialist contractors. Consultants/Consultancy cannot be measured in HC or FTE. 
Education & Skills Funding Agency ,Executive Agency,Department for Education,36,32.78,191,183.78,836,807.23,482,469.81,43,40.49,,,1588,1534.09,1,1,2,2,281,281,,,284,284,1872,1818.09,4069601.94,55634.31,23475,524.65,1438216.52,565741.43,6153193.85,49298.82,232338,281636.82,6434830.67,
Teaching Regulation Authority,Executive Agency,Department for Education,8,8,21,20.27,22,20.43,6,5.87,1,1,,,58,55.57,4,4,0,0,0,0,0,0,4,4,62,59.57,141704.23,2542.2,1534,,36462.83,14158.04,196401.3,16337.47,,16337.47,212738.77,
Standards and Testing Agency,Executive Agency,Department for Education,0,0,25,24.18,80,78.08,33,31.78,4,3.92,,,142,137.96,,,,,31,22.725,,,31,22.725,173,160.685,429504.39,7370.98,-2750,1241.27,122644.84,47231.34,605242.82,9368.96,,9368.96,614611.78,
The Office of the Children's Commissioner,Executive Non-Departmental Public Body,Department for Education,1,1,1,1,14,12.8,8,7.6,3,2.8,,,27,25.2,1,1,,,,,1,0.4,2,1.4,29,26.6,107382,1765.03,,,24324.27,12239.35,145710.65,,2000,2000,147710.65,
Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,177,160.66,477,467.62,261,257.29,21,20.71,7,7,0,0,943,913.28,98,59.7,0,0,79,44.1,2,1.5,179,105.3,1122,1018.58,2552881.5,181375.29,476104.5,30655.42,358484.81,333952.05,3933453.57,573758.61,3407,577165.61,4510619.18,
Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,Department for Education,10,10,29,27,24,23,4,4,,,,,67,64,,,,,2,0.6,2,0.3,4,0.9,71,64.9,240522,28142,37000,0,33518,37847,377029,19500,5090,24590,401619,
Office for Students,Executive Non-Departmental Public Body,Department for Education,18,15.96,7,6.1,176,161.87,126,115.6,39,37.07,,,366,336.6,16,16,,,19,19,,,35,35,401,371.6,1448623.89,10793.96,0,2272.16,324723.24,121698.5,1908111.75,115793.05,,115793.05,2023904.8,
Student Loans Company Ltd,Executive Non-Departmental Public Body,Department for Education,2227,2112.900213,998,963.9663733,216,211.3010667,24,23.8,5,5,,,3470,3316.967653,8,8,0,0,22,22,0,0,30,30,3500,3346.967653,6705514.14,199469.71,175800.98,147817.15,1207795.4,639662.49,9076059.87,157546.6,0,157546.6,9233606.47,
Institute for Apprenticeships and Technical Education,Executive Non-Departmental Public Body,Department for Education,2,2,9,9,41,40.03,91,87.75,9,9,,,152,147.78,10,10,,,,,,,10,10,162,157.78,669776.62,317.09,76150,,164877.42,76348.25,987469.38,107635.01,,107635.01,1095104.39,
LocatEd,Executive Non-Departmental Public Body,Department for Education,,,,,,,4,4,2,2,47,45.9,53,51.9,,,,,,,,,0,0,53,51.9,295855.52,,,,12111.91,28386.27,336353.7,,,0,336353.7,
