Year,Month,Organisation name,Organisation type,"Main, parent or sponsoring department: ","Payroll staff;
AO/AA;
Headcount","Payroll staff;
AO/AA;
Full-time equivalent","Payroll staff;
EO;
Headcount","Payroll staff;
EO;
Full-time equivalent","Payroll staff;
SEO/HEO;
Headcount","Payroll staff;
SEO/HEO;
Full-time equivalent","Payroll staff;
Grade 6/7;
Headcount","Payroll staff;
Grade 6/7;
Full-time equivalent","Payroll staff;
SCS;
Headcount","Payroll staff;
SCS;
Full-time equivalent","Payroll staff;
Other, unknown, unspecified;
Headcount","Payroll staff;
Other, unknown, unspecified;
Full-time equivalent","Payroll staff;
Total;
Headcount","Payroll staff;
Total;
Full-time equivalent","Non-payroll staff;
Agency Staff;
Headcount","Non-payroll staff;
Agency Staff;
Full-time equivalent","Non-payroll staff;
Interim managers;
Headcount","Non-payroll staff;
Interim managers;
Full-time equivalent","Non-payroll staff;
Specialist Contractors;
Headcount","Non-payroll staff;
Specialist Contractors;
Full-time equivalent","Non-payroll staff;
Consultants/consultancy;
Headcount","Non-payroll staff;
Consultants/consultancy;
Full-time equivalent","Non-payroll staff;
Total;
Headcount","Non-payroll staff;
Total;
Full-time equivalent","Grand Total (workforce numbers);
Headcount","Grand Total (workforce numbers);
Full-time equivalent","Payroll staff costs;
Salary","Payroll staff costs;
Allowances","Payroll staff costs;
Non-consolidated performance payments","Payroll staff costs;
Overtime","Payroll staff costs;
Employer pension contributions","Payroll staff costs;
Employer national insurance contributions","Payroll staff costs;
Total paybill","Non-Payroll staff costs;
Contingent labour: agency staff, interim managers and specialist contractors","Non-Payroll staff costs;
Consultants/consultancy","Non-Payroll staff costs;
Total staff costs",Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: Published alongside your row of information)",,,,,,,,,
2021,July,"Department for Business, Energy and Industrial Strategy",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",78,76.77,472,461.70,2298,2267.67,2441,2377.76,326,312.80,0,0,"5,615","5,497",12,12,0,0,60,53.14,16,9.26,88,74,"5,703","5,571","£21,172,779.74","£985,270.96","£214,740.00","£43,586.09","£5,952,988.88","£2,500,612.88","£30,869,978.55","£2,277,802.00","£4,163,859.00","£6,441,661.00","£37,311,639.55",,,,,,,,,,
2021,July,Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",57,51.04,340,320.49,608,565.68,57,52.56,6,6.00,0,0,"1,068",996,0,0,0,0,0,0,0,0,0,0,"1,068",996,"£2,679,482.11","£21,503.28",£550.00,"£3,669.08","£723,085.71","£266,564.52","£3,694,854.70",£0.00,£0.00,£0.00,"£3,694,854.70",,,,,,,,,,
2021,July,Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1411,1388.10,172,158.05,28,26.80,0,0.00,0,0.00,0,0,"1,611","1,573",0,0,0,0,0,0,0,0,0,0,"1,611","1,573","£4,881,343.87","£122,270.12","£22,842.18","£690,539.96","£913,927.32","£642,672.42","£7,273,595.87",£0.00,£0.00,£0.00,"£7,273,595.87",,,,,,,,,,
2021,July,Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",13,11.80,28,26.50,187,181.80,60,60.00,3,3.00,0,0,291,283,9,9,0,0,0,0,0,0,9,9,300,292,"£935,986.42","£14,438.55",£862.88,"£3,893.70","£251,959.52","£101,509.32","£1,308,650.39","£54,029.00",£0.00,"£54,029.00","£1,362,679.39",,,,,,,,,,
2021,July,Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,1,1.00,11,9.84,19,16.63,5,4.90,0,0,36,32,0,0,0,0,0,0,0,0,0,0,36,32,"£264,428.00",£0.00,£0.00,£0.00,"£45,864.00","£20,082.00","£330,374.00",£0.00,£0.00,£0.00,"£330,374.00",,,,,,,,,,
2021,July,Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",424,369.15,292,274.08,303,292.26,75,74.03,7,7.00,0,0,"1,101","1,017",3,3,0,0,23,23,0,0,26,26,"1,127","1,043","£2,649,885.49","£26,709.12",£0.00,"£36,554.42","£718,326.52","£262,532.07","£3,694,007.62","£5,063.97","£188,642.02","£193,705.99","£3,887,713.61",,,,,,,,,,
2021,July,Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4.00,1,1.00,4,3.72,6,6.00,0,0.00,1,1,16,16,0,0,0,0,0,0,2,2,2,2,18,18,"£66,709.33",£216.66,£0.00,£0.00,"£18,555.81","£7,608.52","£93,090.32",£0.00,"£4,650.00","£4,650.00","£97,740.32",,,,,,,,,,
2021,July,HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",1798,1699.84,2192,1931.08,2184,1978.62,307,291.67,27,27.00,0,0,"6,508","5,928",0,0,0,0,0,0,0,0,0,0,"6,508","5,928","£15,461,501.33","£247,902.32","£6,000.00","£1,764,308.04","£4,157,374.41","£13,401,291.16","£35,038,377.26","£365,374.77","£329,476.88","£694,851.65","£35,733,228.91",,,,,,,,,,
2021,July,Insolvency Service,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",627,589.67,212,201.38,793,760.16,139,135.73,10,9.60,0,0,"1,781","1,697",39,39,0,0,7,7,0,0,46,46,"1,827","1,743","£4,628,536.97","£15,550.72","£4,800.00","£6,125.70","£1,258,227.65","£475,040.36","£6,388,281.40","£385,369.07",£0.00,"£385,369.07","£6,773,650.47",,,,,,,,,,
2021,July,UK Intellectual Property Office,Executive Agency,"Department for Business, Energy & Industrial Strategy (BEIS)",231,212.20,486,458.41,512,492.89,360,340.78,27,26.70,0,0,"1,616","1,531",87,87,0,0,84,83.79,0,0,171,170.79,"1,787","1,702","£4,717,696.00","£199,948.00","£110,105.00","£172,593.00","£1,348,542.00","£544,339.00","£7,093,223.00","£852,099.00",£0.00,"£852,099.00","£7,945,322.00",,,,,,,,,,
