Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health and Social Care (excl agencies),Ministerial Department,Department of Health and Social Care,50,49.55,250,241.99,601,583.62,611,584.33,131,126.13,0,0,1643,1585.62,31,31,0,0,1,1,13,12.61,45,44.61,1688,1630.23,5876526.47,82367.28,50650,7099.33,1568532.98,686299.13,8271475.19,1592821.6,0,1592821.6,9864296.79,0
Care Quality Commission,Executive Non-Departmental Public Body,Department of Health and Social Care,298,276.75,384,370.6,1978,1900.41,457,443.24,141,128.88,15,14.4,3273,3134.28,3,3,4,4,0,0,0,0,7,7,3280,3141.28,11078391,82308,0,20640,1391067,1162091,13734497,121181.54,0,121181.54,13855678.54,0
Health and Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health and Social Care,7,7,386,365.2,782,754.4,1326,1281.8,187,174.5,0,0,2688,2582.9,202,162.3,38,28.8,48,37.8,0,0,288,228.9,2976,2811.8,10577641.22,146534.61,0,20175.56,2029980.03,1225917.24,14000248.66,1679412.22,0,1679412.22,15679660.88,0
Health Education England,Executive Non-Departmental Public Body,Department of Health and Social Care,96,91.9,644,600.19,645,604.55,564,536.77,935,337.03,0,0,2884,2170.44,80,62.41,0,0,1,0.4,0,0,81,62.81,2965,2233.25,8448046.8,0,0,184.53,1018520.86,915561.02,10382313.21,251897.43,0,251897.43,10634210.64,0
Health Research Authority,Executive Non-Departmental Public Body,Department of Health and Social Care,3,2,73,69.75,75,71.67,31,27.85,7,6.75,0,0,189,178.02,7,4.28,0,0,0,0,0,0,7,4.28,196,182.3,592898.2,0,0,0,72127.11,60948.45,725973.76,17956.94,0,17956.94,743930.7,0
Human Fertilisation and Embryology Authority,Executive Non-Departmental Public Body,Department of Health and Social Care,0,0,16,15.2,39,36.4,9,8.5,3,3,0,0,67,63.1,2,2,0,0,5,5,0,0,7,7,74,70.1,225080,0,0,0,61419,25964,312463,45493,0,45493,357956,0
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health and Social Care,2,0.95,6,6,30,29.04,9,9,2,2,0,0,49,46.99,0,0,0,0,0,0,0,0,0,0,49,46.99,180728.36,338.33,2117,440.28,22441.45,20463.97,226529.39,2326.14,0,2326.14,228855.53,0
Medicines and Healthcare Products Regulatory Agency,Executive Agency,Department of Health and Social Care,55,53.92,169,162.56,476,465.55,397,380.18,160,143,0,0,1257,1205.21,0,0,0,0,0,0,0,0,0,0,1257,1205.21,4740334.3,28988.2,3950,7264.22,1281935.81,533670.58,6596143.11,676285.17,0,676285.17,7272428.28,0
Monitor,Executive Non-Departmental Public Body,Department of Health and Social Care,10,9.8,18,17.6,56,55,169,164.11,36,34.41,0,0,289,280.92,10,10,0,0,4,4,0,0,14,14,303,294.92,1797396.34,0,0,0,454845.03,201943.63,2454185,166740,0,166740,2620925,0
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health and Social Care,16,16,87,82.5,266,253.62,240,222.04,61,57.98,2,1.2,672,633.34,5,3.68,0,0,0,0,0,0,5,3.68,677,637.02,2481980.84,16144.69,0,149.65,330141.53,273219.91,3101636.62,15399.59,0,15399.59,3117036.21,0
NHS Blood & Transplant,Special Health Authority,Department of Health,1980,1598.69,1114,1023.18,1567,1449.01,550,533.53,65,62.5,46,43.18,5322,4710.09,35,35,3,3,5,5,0,0,43,43,5365,4753.09,13148821.21,861563.7419,0,173559.2258,1849695.86,1442243.96,17475884,144702.33,0,144702.33,17620586.33,0
NHS Business Services Authority,Special Health Authority,Department of Health,1931,1706.66,611,580.75,353,345.6,212,200.16,47,47,0,0,3154,2880.17,78,78,0,0,0,0,33,33,111,111,3265,2991.17,5929771.96,12290.95,130118.03,97728.26,747886.66,541805.6,7459601.46,619393.37,0,619393.37,8078994.83,0
NHS England,Special Health Authority,Department of Health,495,456.68977,598,577.69334,1537,1507.74759,2684,2632.07396,767,731.59489,152,79.50582,6233,5985.30537,247,238.97333,76,43.92347,0,0,0,0,323,282.8968,6556,6268.20217,26775783.15,0,0,0,3357125.81,3048858.4,33181767.36,1218512.06,0,1218512.06,34400279.42,0
NHS Litigation Authority,Special Health Authority,Department of Health,11,10,46.5,44.56,128,123.0067,129.5,120.6866,10,10,0,0,325,308.2533,15,15,0,0,0,0,0,0,15,15,340,323.2533,1165626.57,141612.74,0,1255.2,152067.76,145926.77,1606489.04,0,0,0,1606489.04,0
NHS Trust Development Authority,Special Health Authority,Department of Health,17,15.4,180,173.48,269,259.64,530,510.91,427,412.86,33,32.3,1456,1404.59,0,0,0,0,0,0,0,0,0,0,1456,1404.59,6781318,479990,0,466,882426,856776,9000976,240799.91,0,240799.91,9241775.91,0
Public Health England,Executive Agency,Department of Health,810,714.04,702,661.36,2015,1881.72,1495,1404.76,403,357.75,4,4,5429,5023.63,61,57.58,0,0,36,23.01,0,0,97,80.59,5526,5104.22,13506059.57,5068453.86,0,64617.69,4173086.45,2019890.46,24832108.03,305514.86,0,305514.86,25137622.89,0
