Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,157,144.36,263,253.52,772,756.9,767,743.88,141,138.33,0,0,"2,100","2,037",22,22,0,0,79,79,0,0,101,101,"2,201","2,138","£8,552,604.87","£97,615.77","£243,304.57","£106,976.99","£1,747,870.84","£983,150.20","£11,731,523.24","£1,190,077.01","£4,294,399.04","£5,484,476.05","£17,215,999.29",
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4454,3854.9,834,779.36,742,705.14,208,199.82,9,9,0,0,"6,247","5,548",0,0,0,0,1,0.67,0,0,1,0.67,"6,248","5,549","£10,740,560.00","£110,768.00","£16,791.00","£91,029.00","£1,247,383.00","£948,187.00","£13,154,718.00","-£9,776.00","£1,189.00","-£8,587.00","£13,146,131.00",
Driver and Vehicle Standards Agency,Executive Agency,Department for Transport,1184,1091.11,2550,2401.98,724,710.43,83,81.75,5,5,0,0,"4,546","4,290",60,59.2,1,1,56,56,0,0,117,116.2,"4,663","4,406","£9,326,003.09","£603,220.06","£11,699.84","£304,094.45","£1,986,729.25","£1,008,111.11","£13,239,857.80","£845,954.95","-£15,958.79","£829,996.16","£14,069,853.96",
Maritime and Coastguard Agency,Executive Agency,Department for Transport,305,282.18,193,182.69,418,400.61,113,110.94,7,6.54,0,0,"1,036",983,14,14,0,0,0,0,0,0,14,14,"1,050",997,"£2,494,769.76","£247,902.51","£1,300.00","£125,440.10","£565,369.25","£293,770.83","£3,728,552.45","£99,942.21",,"£99,942.21","£3,828,494.66",
Vehicle Certification Agency,Executive Agency,Department for Transport,39,35.15,33,30.74,72,69,8,8,1,1,0,0,153,144,3,3,0,0,0,0,0,0,3,3,156,147,"£438,596.00","£12,525.00","£10,500.00","£16,960.00","£85,394.00","£46,328.00","£610,303.00","£7,083.00",,"£7,083.00","£617,386.00",
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,0,0,7,7,5,4.6,2,2,0,0,14,14,0,0,0,0,0,0,0,0,0,0,14,14,"£40,525.00","£2,887.00",£0.00,,"£6,411.00","£5,640.00","£55,463.00",£0.00,"£24,285.00","£24,285.00","£79,748.00",
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,85,84.01,31,31,326,325.72,270,269.08,149,149,133,126.3,994,985,48,48,186,186,146,146,0,0,380,380,"1,374","1,365","£5,940,022.40",£0.00,£0.00,"£3,430.66","£477,226.14","£637,469.52","£7,058,148.72","£2,901,252.10",£0.00,"£2,901,252.10","£9,959,400.82",
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,28,9.6,19,19,64,62.8,12,11.8,4,4,72,66.7,199,174,10,5.2,0,0,0,0,0,0,10,5.2,209,179,"£533,438.00","£7,504.00",£0.00,"£27,023.00","£96,028.00","£60,115.00","£724,108.00","£14,437.00",,"£14,437.00","£738,545.00",
