Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,43,42.55,255,246.88,600,581.8,591,566.71,131,125.91,2,2,1622,1565.85,43,42.32,0,0,7,6.5,32,31.61,82,80.43,1704,1646.28,5601983.14,-3775.7,45033.78,18459.05,1199628.79,678053.47,7539382.53,485521.23,0,485521.23,8024903.76,0
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,305,284.1,395,383.31,2007,1939.13,457,447.13,153,138.38,24,22.8,3341,3214.85,6,6,0,0,0,0,0,0,6,6,3347,3220.85,11671107,82085,0,154859,1319108,1113815,14340974,145993.72,0,145993.72,14486967.72,0
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,7,7,426,402.4,827,797.2,1424,1380.6,217,201.8,0,0,2901,2789,165,137.1,34,30,49,43.2,0,0,248,210.3,3149,2999.3,11209907.92,148153.53,0,21572.35,1482620.92,1283611.97,14145866.69,1196308.79,0,1196308.79,15342175.48,0
Health Education England,Special Health Authority,Department of Health,92,86.86,623,578.91,567,532.36,505,468.66,848,285.11,0,0,2635,1951.9,146,133.68,3,1.7,0,0,0,0,149,135.38,2784,2087.28,7976787.79,135337.26,0,3362.9,958041.28,805816.27,9879345.5,2191579.04,0,2191579.04,12070924.54,0
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,4,2.06,85,80.67,69,67.09,37,34,6,6,0,0,201,189.82,12,9.29,1,0.85,0,0,0,0,13,10.14,214,199.96,606649.38,0,0,7203.36,75664.99,62763.68,752281.41,30254.97,0,30254.97,782536.38,0
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,16,15.2,38,36.4,8,7.75,3,3,0,0,65,62.35,2,2,0,0,5,5,0,0,7,7,72,69.35,216444.57,0,0,0,45610.33,23976,286030.9,0,0,0,286030.9,0
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,2,1.5,4,4,29,28.95,10,10,3,3,0,0,48,47.45,0,0,0,0,0,0,0,0,0,0,48,47.45,184875.33,0,0,308.76,22783.48,21251.61,229219.18,0,0,0,229219.18,0
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health,60,60,177,171.85,482,475.59,383,369.8,161,146.02,0,0,1263,1223.26,0,0,0,0,0,0,0,0,0,0,1263,1223.26,4848181.71,27258.58,5000,8400,1037304.41,545166.69,6471311.39,1340852.62,0,1340852.62,7812164.01,0
Monitor,Executive Non-Departmental Public Body,Department of Health,11,10.8,19,18.6,61,60,178,172.6102778,40,38.00555556,0,0,309,300.0158333,6,6,0,0,6,6,0,0,12,12,321,312.0158333,1166430.13,0,0,0,391669.77,219846.59,1777946.49,296678.4,0,296678.4,2074624.89,0
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,16,16,85,82.16,253,239.41,239,224.76,59,53.65,3,1.8,655,617.78,9,6.43,0,0,2,1.76,0,0,11,8.19,666,625.97,2389650.16,17578.57,0,135.25,314504.65,263590.72,2985459.35,60128.15,0,60128.15,3045587.5,0
NHS Blood & Transplant,Special Health Authority,Department of Health,2042,1652.68,1109,1023.37,1519,1402.59,541,528.44,65,62.1,49,44.7,5325,4713.88,37,37,3,3,5,5,0,0,45,45,5370,4758.88,12589282.44,490831.6048,0,385654.2258,1812433.44,1417694.65,16695896.36,80406.75,0,80406.75,16776303.11,0
NHS Business Services Authority,Special Health Authority,Department of Health,1886,1666.25,536,509.18,326,319.42,203,194.36,55,55,0,0,3006,2744.21,71,71,0,0,0,0,31,31,102,102,3108,2846.21,5588319.26,12931.64,128714.17,142192.92,676231.7,508868.49,7057258.18,707148.7,0,707148.7,7764406.88,0
NHS England,Special Health Authority,Department of Health,538,496.3098,593,565.08,1593,1533.8955,2768,2652.2426,782,734.631,150,70.4936,6424,6052.6525,358,342.28001,67,38.5968,0,0,0,0,425,380.87681,6849,6433.52931,26512579.25,0,0,0,3393532.58,3009769.59,32915881.42,2168071.75,0,2168071.75,35083953.17,0
NHS Litigation Authority,Special Health Authority,Department of Health,11,10.6,42,41.46,123,117.69,111,102.68,9,9,0,0,296,281.43,13,13,0,0,0,0,0,0,13,13,309,294.43,1051594.93,131513.51,0,2821.44,144713.89,129389.61,1460033.38,54355.39,0,54355.39,1514388.77,0
NHS Trust Development Authority,Special Health Authority,Department of Health,4,4,123,118.96,195,190.45,441,428.78,404,392,38,37.3,1205,1171.49,20,20,4,4,0,0,0,0,24,24,1229,1195.49,5821350.48,320141.95,3016,413.43,755755.53,730425.36,7631102.75,269163.43,0,269163.43,7900266.18,0
Public Health England,Executive Agency,Department of Health,812,721.2,695,656.87,2045,1926.8,1486,1402.99,425,377.37,5,5,5468,5090.23,91,90,0,0,41,19.5,0,0,132,109.5,5600,5199.73,15191238.01,4272219.91,0,80007.55,3382691.93,2065136.11,24991293.51,1039765.76,0,1039765.76,26031059.27,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(.) - Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(..) - Missing / Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
