Organisation name,"Organisation 
type","Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health and Social Care (excl agencies),Ministerial Department,Department of Health and Social Care,54,53.55,250,242.03,602,576.1,591,573.44,129,124.13,0,0,1626,1569,29,29,0,0,1,1,18,17.61,48,47.61,1674,1617,5737103.27,-14296.15,16155,11350.22,1562089.11,679986.46,7992387.91,1731251.5,0,1731251.5,9723639.41,0
Care Quality Commission,Executive Non-Departmental Public Body,Department of Health and Social Care,302,281.06,405,391.94,2005,1932.63,482,470.2,150,137.68,15,15,3359,3229,5,5,0,0,0,0,0,0,5,5,3364,3234,11392760,82331,0,26883,1395964,1190570,14088508,77848.49,0,77848.49,14166356.49,0
Health and Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health and Social Care,6,6,393,372.1,784,755.6,1328,1284,189,175.4,0,0,2700,2593,198,159.9,36,29.1,45,37.5,0,0,279,226.5,2979,2820,10615134.94,158574.58,0,13838.31,2038402.89,1237357.26,14063307.98,1448833,0,1448833,15512140.98,0
Health Education England,Executive Non-Departmental Public Body,Department of Health and Social Care,104,98.14,664,617.58,678,638.72,588,546.35,1079,351.85,0,0,3113,2253,84,72.54,0,0,1,0.4,0,0,85,72.94,3198,2326,7833285.21,134985.53,0,2201.08,933685.48,782664.85,9686822.15,256829.19,0,256829.19,9943651.34,0
Health Research Authority,Executive Non-Departmental Public Body,Department of Health and Social Care,3,2,72,69.01,77,73.67,32,28.2,7,6,0,0,191,179,7,6.5,0,0,0,0,0,0,7,6.5,198,185,571818.61,0,0,58.14,73715.85,56880.51,702473.11,20177.63,0,20177.63,722650.74,0
Human Fertilisation and Embryology Authority,Executive Non-Departmental Public Body,Department of Health and Social Care,0,0,15,14.2,39,36.4,9,8.5,3,3,0,0,66,62,2,2,0,0,5,5,0,0,7,7,73,69,223089.92,0,0,0,60360.63,26640.94,310091.49,56498,0,56498,366589.49,0
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health and Social Care,1,0.5,7,7,29,28.5,10,9.26,3,3,0,0,50,48,0,0,0,0,0,0,0,0,0,0,50,48,191152.46,338.33,0,1441.97,22715.71,21522.18,237170.65,4553.13,0,4553.13,241723.78,0
Medicines and Healthcare Products Regulatory Agency,Executive Agency,Department of Health and Social Care,57,55.92,175,168.38,473,462.31,397,380.48,162,145.08,0,0,1264,1212,0,0,0,0,0,0,0,0,0,0,1264,1212,4803090.99,33153.48,5700,7415.89,1297275.12,538700.67,6685336.15,1049896.91,0,1049896.91,7735233.06,0
Monitor,Executive Non-Departmental Public Body,Department of Health and Social Care,11,10.8,18,17.6,58,57,170,164.9102778,38,36.00555556,0,0,295,286,3,3,0,0,4,4,0,0,7,7,302,293,1846824.62,0,0,0,452797.11,200961.47,2500583.2,0,0,0,2500583.2,0
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health and Social Care,14,14,89,84.93,265,247.73,240,224.1,61,57.98,3,1.8,672,631,6,3.61,0,0,0,0,0,0,6,3.61,678,634,2436641.35,15769.42,0,533.65,328114.96,272757.74,3053817.12,22877.65,0,22877.65,3076694.77,0
