Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health (excl agencies),Ministerial Department,Department of Health,54,52.97,338,330.24,1006,981.63,1005,974.08,232,223.8,49,48.61,2684,2611.33,109,108.02,,,34,33.98,23,23,166,165,2850,2776.33,"£9,236,086","£49,500","£40,023","£117,112","£2,523,146","£1,097,093","£13,062,960.44","£41,721,356",,"£41,721,355.94","£54,784,316.38",The majority of this spending is contingent labour which has been from the test and trace programme which has been processed during October but hasn’t been used in October.
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,225,208.33,410,393.24,1958,1887.1,500,486.07,152,138.94,26,12,3271,3125.68,6,6,6,6,4,4,2,2,18,18,3289,3143.68,"£11,611,616","£87,471",0,"£10,947","£1,484,748","£1,237,268","£14,432,050.00",247387.69,,"£247,387.69","£14,679,437.69",
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,10,10,372,354.5,773,746.5,1226,1188.6,187,180,,,2568,2479.6,279,238.7,168,149.1,4,4,,,451,391.8,3019,2871.4,"£10,306,078","£484,081",,"£9,377","£2,120,662","£1,171,656","£14,091,854.73",3416540.11,,"£3,416,540.11","£17,508,394.84",
Health Education England,Special Health Authority,Department of Health,94,88.39,722,676,709,670.04,623,591.23,991,357.03,0,0,3139,2382.69,,,,,,,,,0,0,3139,2382.69,"£9,550,877",146221.53,,£727,"£1,189,326","£965,028","£11,852,178.86","£237,662",,"£237,661.86","£12,089,840.72",
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,1,1,85,81.47,83,78.48,38,35.48,9,5.8,,,216,202.23,2,1.43,6,5.04,,,,,8,6.47,224,208.7,"£656,298",,,,"£81,077","£65,799","£803,173.50",,,£0.00,"£803,173.50",
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,19,18.2,35,34.4,9,8.5,4,3.5,0,0,67,64.6,1,1,0,0,5,5,0,0,6,6,73,70.6,"£237,194",,,,"£62,765","£26,072","£326,031.00",,,£0.00,"£326,031.00",The HFEA currently has 1 vacancy
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,0,0,5,5,29,28.81,10,9,3,3,,,47,45.81,,,,,,,,,0,0,47,45.81,197438.39,0,3325.7,0,25476.31,22903.36,"£249,143.76","£10,733",,"£10,732.64","£259,876.40",
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health,55,54.61,195,188.51,474,464.53,408,390.44,160,143.05,0,0,1292,1241.14,29,29,4,4,13,12.19,0,0,46,45.19,1338,1286.33,"£5,130,789","£13,977",323696.04,"£4,491","£1,378,826","£661,465","£7,513,244.25","£3,041,346",0,"£3,041,345.87","£10,554,590.12",
Monitor,Executive Non-Departmental Public Body,Department of Health,8,8,5,4.8,21,19.89459,58,56.78889,28,26.84444,0,0,120,116.32792,,,,,,,,,0,0,120,116.32792,"£786,200",0,0,432.05,"£227,782","£97,047","£1,111,461.35",,,£0.00,"£1,111,461.35",
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,15,13.77,95,89.97,273,257.1,252,234.76,67,64.28,2,1.4,704,661.28,8,6.77,,,1,0.77,,,9,7.54,713,668.82,"£2,643,676","£7,466",,1207.77,"£525,822","£299,830","£3,478,001.18","£72,880",,"£72,879.85","£3,550,881.03",
NHS Blood & Transplant,Special Health Authority,Department of Health,2083,1687.61,1168,1066.66,1663,1533.31,595,579.37,65,63.6,51,47.2,5625,4977.75,61,61,8,8,20,20,0,0,89,89,5714,5066.75,"£14,334,041","£873,205",£0,"£459,185","£2,012,476","£1,604,709","£19,283,615.33","£1,171,049",,"£1,171,049.00","£20,454,664.33",
NHS Business Services Authority,Special Health Authority,Department of Health,1833,1617.29,683,651.25,479,469.98,247,235.1,67,65.14,,,3309,3038.76,91,91,,,,,25,25,116,116,3425,3154.76,"£6,927,186","£12,999","£110,230","£121,591","£887,509","£649,351","£8,708,865.54","£221,779",,"£221,778.59","£8,930,644.13",
NHS England,Special Health Authority,Department of Health,103,90.18534,1035,972.353,1680,1617.09377,3125,3012.20048,862,815.61633,165,85.10594,6970,6592.55486,180,169.1,84,45.1,,,,,264,214.2,7234,6806.75486,"£30,518,962",0,0,0,"£4,165,309","£3,558,674","£38,242,944.49","£1,325,711",,"£1,325,711.08","£39,568,655.57",
NHS Litigation Authority,Special Health Authority,Department of Health,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,
NHS Trust Development Authority,Special Health Authority,Department of Health,7,6.6,138,133.13334,260,252.54666,763,734.448,389,373.78987,15,7.2,1572,1507.71787,,,,,,,,,0,0,1572,1507.71787,"£7,668,371","£386,907",£0,"£45,246","£1,011,015","£975,042","£10,086,580.43",,,£0.00,"£10,086,580.43",
Public Health England,Executive Agency,Department of Health,786,655.49,816,737.36,2484,2165.26,1745,1651.24,462,391.93,3,3,6296,5604.28,124,100.37,0,0,47,30.7,0,0,171,131.07,6467,5735.35,"£13,181,154","£9,128,824",£0,"£658,939","£4,761,287","£2,508,864","£30,239,067.78",,,£0.00,"£30,239,067.78","Specialist Contractors includes inward Secondees working >0.5wte.
The costs for secondees is not included in the Non-payroll staff figures."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(.) - Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(..) - Missing / Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
