,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Please read the additional data fields descriptions before entering information into this template. Completed templates must be returned to your organisation's main, parent or sponsoring department. They will provide one return to Cabinet Office capturing information for all their relevant organisations.
(NB: This data sheet is password protected. Contact Cabinet Office if you require the password.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)",,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,71,68.11,182,177.79,633,612.35,471,457.12,77,74.83,0,0.00,"1,434","1,390",4,4.00,2,2.00,49,41.34,6,6.00,61,53.34,"1,495","1,444","£4,106,620.62","£99,423.82",£0.00,"£22,848.88","£945,876.67","£481,857.42","£5,656,627.41","£94,570 ",£0.00,"£94,570.00","£5,751,197.41",,,,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,177,159.80,102,92.40,88,85.10,331,282.30,5,5.00,0,0.00,703,625,12,12.00,0,0.00,68,6.61,0,0.00,80,18.61,783,643,"£2,021,513.80","£41,591.02",£0.00,"£3,116.59","£431,410.95","£219,860.90","£2,717,493.26","£111,043.17",£0.00,"£111,043.17","£2,828,536.43",,,,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,5,5.00,13,13.00,23,23.00,5,5.00,1,1.00,0,0.00,47,47,5,5.00,0,0.00,0,0.00,3,3.00,8,8,55,55,"£155,597.49",£858.00,"£11,250.00","£9,278.68","£32,347.26","£18,503.07","£227,834.50","£23,281.74","£17,000.00","£40,281.74","£268,116.24",,,,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,109,101.93,265,259.97,311,304.04,78,76.68,64,63.68,0,0.00,827,806,4,4.00,5,5.00,3,3.00,0,0.00,12,12,839,818,"£3,224,657.57","£121,301.01",£0.00,£593.98,"£698,291.53","£379,237.01","£4,424,081.10","£68,831.38",£0.00,"£68,831.38","£4,492,912.48",,,,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,48,47.00,48,47,13,12.50,0,0.00,0,0.00,0,0.00,13,12.5,61,60,"£181,697.99",£0.00,£0.00,"£3,149.23","£38,580.25","£20,469.22","£243,896.69","£76,509.08",£0.00,"£76,509.08","£320,405.77",,,,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,2.80,1,1.00,17,16.30,0,0.00,1,1.00,0,0.00,22,21,0,0.00,0,0.00,0,0.00,0,0.00,0,0,22,21,"£69,180.00",£0.00,£0.00,£0.00,"£6,077.00","£7,219.00","£82,476.00",£0.00,£0.00,£0.00,"£82,476.00",,,,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,22,20.59,33,32.77,12,11.74,1,1.00,1,1.00,0,0.00,69,67,11,11.00,0,0.00,0,0.00,0,0.00,11,11,80,78,"£216,434.72","£1,277.16",£0.00,£0.00,"£32,881.28","£21,947.01","£272,540.17","£61,152.25",£0.00,"£61,152.25","£333,692.42",,,,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,1,1.00,3,3.00,5,4.80,12,11.50,6,5.50,0,0.00,27,26,0,0.00,3,2.20,0,0.00,0,0.00,3,2.2,30,28,"£126,518.00",£0.00,£0.00,£0.00,"£11,550.00","£14,626.00","£152,694.00","£35,494.00",£0.00,"£35,494.00","£188,188.00",,,,
