Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
"Department for Business, Innovation & Skills (BIS)*",Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",113,106.8,315,305.9,846,826.7,893,854.8,176,168.5,4,4,2347,2266.7,8,8,0,0,68,68,195,195,271,271,2618,2537.7,"£8,037,934.13","£344,889.61","£25,207.62","£46,003.31","£1,798,735.36","£934,093.20","£11,186,863.23","£1,307,778.00","£278,730.00","£1,586,508.00","£12,773,371.23",
Department of Energy & Climate Change (DECC)*,Ministerial Department,"Department for Business, Energy & Industrial Strategy (BEIS)",56,55.1,101,98.8,522,513.6,576,559.7,82,79.6,20,19.9,1357,1326.7,18,18,,,36,36,,,54,54,1411,1380.7,"£5,257,326.74","£155,986.63","-£3,973.58","£24,910.74","£1,122,525.17","£604,699.04","£7,161,474.74","£139,144.24","£306,159.11","£445,303.35","£7,606,778.09",
Advisory Conciliation & Arbitration Service (ACAS),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",55,49,244,223.9,502,460,38,35.3,3,3,1,0.6,843,771.8,9,9,,,,,4,4,13,13,856,784.8,"£2,053,171.50","£18,318.98",,"£7,761.26","£422,301.34","£208,415.09","£2,709,968.17","£3,226.55","£2,500.00","£5,726.55","£2,715,694.72",
Arts & Humanities Research Council (AHRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",6,5.68,34,32.07,57,53.5,10,9.4,2,2,,,109,102.65,,,,,4,4,,,4,4,113,106.65,"£269,450.82","£3,383.65",£200.00,,"£71,488.20","£25,497.96","£370,020.63","£26,627.40",,"£26,627.40","£396,648.03",
Biotechnology & Biological Sciences Research Council (BBSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Civil Nuclear Police Authority (CNPA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",1149,1132.4,291,282.84,126,125.3,17,16.8,5,5,,,1588,1562.34,,,,,,,,,0,0,1588,1562.34,"£4,329,941.24","£189,647.59","£496,056.13","£654,886.56","£696,600.04","£649,449.37","£7,016,580.93",,,£0.00,"£7,016,580.93",
Coal Authority,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",13,12.9,25,23.9,103,102.1,41,40.8,3,3,,,185,182.7,8,7.6,,,15,14.8,,,23,22.4,208,205.1,"£549,582.73","£12,415.91",£0.00,£56.13,"£120,660.85","£62,047.65","£744,763.27","£129,190.34",,"£129,190.34","£873,953.61",
Committee on Climate Change (CCC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",3,3,1,1,7,7,17,15.69,5,5,,,33,31.69,,,,,,,,,0,0,33,31.69,"£149,744.85",£216.00,,,"28,471.56",,"£178,432.41",,,£0.00,"£178,432.41",
