Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,63,60.4,187,182.4,640,621,475,462.4,79,76.2,18,18,"1,462","1,420",1,1,0,0,25,17.4,5,5,31,23.4,"1,493","1,444","£5,097,599.13","£98,148.17","£72,536.05","£24,741.74","£1,109,699.04","£589,796.59","£6,992,520.72","£86,990.00","£12,000.00","£98,990.00","£7,091,510.72",,,,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,189,168.5,102,92.4,88,85.1,334,286,6,6,0,0,719,638,9,9,0,0,68,32.37,0,0,77,41.37,796,679,"£2,066,440.55","£45,587.83",£0.00,£749.70,"£441,095.60","£224,011.14","£2,777,884.82","£212,175.21",£0.00,"£212,175.21","£2,990,060.03",,,,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4,14,14,24,24,5,5,1,1,0,0,48,48,3,3,0,0,0,0,1,1,4,4,52,52,"£154,066.41",£707.00,"£126,373.00","£6,722.72","£29,685.24","£35,085.04","£352,639.41","£10,565.28","£3,250.00","£13,815.28","£366,454.69",,,,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,113,105.69,273,266.31,318,310.76,75,72.88,61,60.68,0,0,840,816,5,5,6,6,3,3,0,0,14,14,854,830,"£3,209,920.65","£74,569.15","£9,332.80","£2,731.42","£699,396.16","£373,429.86","£4,369,380.04","£64,533.05",£0.00,"£64,533.05","£4,433,913.09",,,,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0,0,0,0,0,0,0,0,0,50,49,50,49,15,14.2,0,0,0,0,0,0,15,14.2,65,63,"£183,720.86",£0.00,£0.00,"£1,107.87","£38,937.85","£20,930.28","£244,696.86","£78,659.87",£0.00,"£78,659.87","£323,356.73",,,,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,4,3.8,1,1,17,16.3,0,0,1,1,0,0,23,22,0,0,0,0,0,0,0,0,0,0,23,22,"£69,097.00",£0.00,£0.00,£0.00,"£6,163.00","£7,140.00","£82,400.00",£0.00,£0.00,£0.00,"£82,400.00",,,,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,23,21.601,35,34.773,12,11.736,2,2,1,1,0,0,73,71,7,7,0,0,0,0,0,0,7,7,80,78,"£197,572.64","£1,401.82",£0.00,£0.00,"£31,804.41","£20,973.09","£251,751.96","£18,774.00",£0.00,"£18,774.00","£270,525.96",,,,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,1,1,3,3,5,4.8,11,11,4,3.6,0,0,24,23,0,0,5,3.6,0,0,0,0,5,3.6,29,27,"£113,166.00",£0.00,£0.00,£0.00,"£9,844.00","£13,228.00","£136,238.00","£36,931.00",£0.00,"£36,931.00","£173,169.00",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
