"Please read the additional data fields descriptions before entering information into this template. Completed templates must be returned to your organisation's main, parent or sponsoring department. They will provide one return to Cabinet Office capturing information for all their relevant organisations.
(NB: This data sheet is password protected. Contact Cabinet Office if you require the password.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,74,70.9181,255,250.4469,702,679.0595,562,548.9498,99,96.0818,0,0,"1,692","1,645",0,0,3,3,44,44,4,4,51,51,"1,743","1,696","£5,436,770.34","£135,761.14","£21,150.00","£49,222.90","£1,195,815.58","£627,224.44","£7,465,944.40","£220,200","£80,800.00","£301,000.00","£7,766,944.40",,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,161,144.4,90,80.9,95,91.9,322,278.7,8,8,0,0,676,604,11,11,0,0,53,16.96,0,0,64,27.96,740,632,"£1,962,604.30","£47,723.31",£0.00,"£1,502.98","£428,973.20","£212,225.01","£2,653,028.80","£157,901.72",£0.00,"£157,901.72","£2,810,930.52",,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,5,5,10,10,28,28,5,5,1,1,,,49,49,3,3,,,,,3,3,6,6,55,55,"£156,464.00","£1,144.00","£1,250.00","£5,880.00","£31,710.00","£17,634.00","£214,082.00","£9,955.00","£3,598.00","£13,553.00","£227,635.00",,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,21,20.8,209,201.2,242,238.5,288,283.81,50,49.28,0,0,810,794,16,16,6,6,1,1,4,4,27,27,837,821,"£3,252,994.78","£174,053.01",£0.00,"£4,332.87","£748,846.39","£390,128.65","£4,570,355.70","£124,473.60","£5,678.24","£130,151.84","£4,700,507.54",,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,,,,,,,,,,,56,53.6,56,54,16,14.2,,,,,,,16,14.2,72,68,"210,203.56",,,,"37,612.90","21,228.18","£269,044.64","80,651.40",,"£80,651.40","£349,696.04",,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,2.8,1,1,19,18.3,,,1,1,,,24,23,,,,,,,,,0,0,24,23,"£69,975.41",,,,"£8,317.93","£7,312.25","£85,605.59",,,£0.00,"£85,605.59",,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,19,17.8979,33,32.8063,10,9.73611,3,3,1,1,,,66,64,2,2,,,,,,,2,2,68,66,"£194,966.39","£1,286.25",,,"£27,706.85","£20,969.08","£244,928.57","£16,905.82",,"£16,905.82","£261,834.39",,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,2,1.8,1,1,7,6.8,11,11,3,3,0,0,24,24,0,0,3,2,0,0,0,0,3,2,27,26,"£108,358.00",£0.00,£0.00,£0.00,"£16,615.00","£12,607.00","£137,580.00","£31,652.00",£0.00,"£31,652.00","£169,232.00",,
