Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
Department of Health (excl agencies),Ministerial Department,Department of Health,32,31.55,262,254.97,702,682.96,649,620.5,126,121.48,10,10,"1,781","1,721",34,33.98,,,,,12,11.61,46,45.59,"1,827","1,767","£6,124,168.91","£27,509.67","£50,854.00","£12,371.69","£1,671,748.05","£730,308.83","£8,616,961.15","£1,384,855.23",,"£1,384,855.23","£10,001,816.38",,
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,293,271.19,382,369.27,1969,1898.86,486,474.32,151,139.72,14,13.4,"3,295","3,167",4,4,13,13,13,13,,,30,30,"3,325","3,197","£10,650,704.00","£90,749.00",£0.00,"£57,215.00","£1,554,526.00","£1,390,180.00","£13,743,374.00","£368,604.51",,"£368,604.51","£14,111,978.51",,
Health & Social Care Information Centre,Executive Non-Departmental Public Body,Department of Health,9,9,410,387.8,778,749.5,1283,1241.6,203,190.7,,,"2,683","2,579",232,203,101,90.4,11,9.6,,,344,303,"3,027","2,882","£10,484,046.40","£139,903.10",,"£14,568.66","£2,568,794.69","£1,218,096.57","£14,425,409.42","£2,799,800.69",,"£2,799,800.69","£17,225,210.11",,
Health Education England,Special Health Authority,Department of Health,89,84.86,669,625.01,660,628.11,578,548.6,950,337.54,0,0,"2,946","2,224",,,,,,,,,0,0,"2,946","2,224","£8,696,813.62","£72,273.12",,£939.49,"£1,035,499.18","£862,668.46","£10,668,193.87","£420,156.26",,"£420,156.26","£11,088,350.13",,
Health Research Authority,Executive Non-Departmental Public Body,Department of Health,2,1.01,85,79.77,80,77.31,34,30.59,7,6.6,,,208,195,7,6.56,4,3.74,,,,,11,10.3,219,206,"£614,114.58",,,,"£78,229.92","£59,027.78","£751,372.28",,,£0.00,"£751,372.28",,
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,0,0,16,15.2,38,35.4,9,8.5,4,3.5,0,0,67,63,1,1,0,0,5,5,0,0,6,6,73,69,"£229,881.84",,,£158.89,"£62,459.00","£28,156.00","£320,655.73",,,£0.00,"£320,655.73",The HFEA currently has 1 vacancy,
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,2,1.1,5,5,29,27.98,10,10,3,3,,,49,47,,,,,,,,,0,0,49,47,"£193,662.83",£338.33,"£1,923.08",£545.86,"£25,236.90","£22,132.65","£243,839.65",£665.00,,£665.00,"£244,504.65",,
Medicines & Healthcare products Regulatory Agency,Executive Agency,Department of Health,62,61.34,190,182.67,458,448.06,404,386.38,155,140.1,0,0,"1,269","1,219",75,75,0,0,0,0,0,0,75,75,"1,344","1,294","£4,849,017.71","£25,023.58","£5,200.00","£6,529.88","£1,310,528.19","£546,062.00","£6,742,361.36","£769,876.04",,"£769,876.04","£7,512,237.40",,Contingent figures are approxmate
Monitor,Executive Non-Departmental Public Body,Department of Health,8,7.8,6,5.6,24,23.8,72,69,31,29.6,0,0,141,136,4,4,0,0,1,1,,,5,5,146,141,"£949,598.83",,,,"£249,451.85","£116,418.19","£1,315,468.87","£338,302.98",,"£338,302.98","£1,653,771.85",,
National Institute for Health and Care Excellence,Executive Non-Departmental Public Body,Department of Health,15,15,96,88.99,258,243.17,247,230.05,65,60.93,2,1.2,683,639,10,4.88,,,5,4.88,,,15,9.76,698,649,"£2,468,639.76","£14,124.92",,£99.80,"£340,186.43","£277,623.64","£3,100,674.55","£376,653.52",,"£376,653.52","£3,477,328.07",,
