Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Department for Communities and Local Government,Ministerial Department,Department for Communities and Local Government,83,80.0,259,251.0,726,702.3,532,517.5,83,80.6,0,0.0,"1,683","1,631",11,11.0,1,1.0,36,28.4,2,2.0,50,42.4,"1,733","1,674","£6,006,530.65","£106,010.59","£138,600.00","£51,673.33","£1,254,174.71","£579,467.62","£8,136,456.90","£296,379.00","£54,704.00","£351,083.00","£8,487,539.90",,
Planning Inspectorate,Executive Agency,Department for Communities and Local Government,205,183.1,120,107.3,106,102.3,339,287.9,6,6.0,0,0.0,776,687,12,12,0,0,77,34.4,0,0,89,46.4,865,733,"£2,159,988.69","£68,009.64",£0.00,"£2,113.46","£461,653.17","£190,414.98","£2,882,179.94","£238,730.58",£0.00,"£238,730.58","£3,120,910.52",,
Queen Elizabeth II Conference Centre,Executive Agency,Department for Communities and Local Government,4,4.0,10,10.0,23,23.0,5,5.0,1,1.0,0,0.0,43,43,8,8,0,0,0,0,2,2,10,10,53,53,"£136,519.99",£467.00,£0.00,"£10,921.01","£29,009.85","£13,596.51","£190,514.36","£32,313.30","£2,575.00","£34,888.30","£225,402.66",,
Homes and Communities Agency,Executive Non-Departmental Public Body,Department for Communities and Local Government,142,133.7,308,301.2,336,327.7,82,80.3,64,63.7,0,0.0,932,907,0,0,11,10,6,5.65,0,0,17,15.65,949,922,"£3,566,607.23","£93,071.00",£0.00,"£1,046.73","£752,909.70","£332,375.93","£4,746,010.59","£133,525.00",£0.00,"£133,525.00","£4,879,535.59",,
Housing Ombudsman Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,45,43.7,45,44,9,8.6,0,0,0,0,0,0,9,8.6,54,52.3,"£166,775.95",£80.35,£0.00,£936.54,"£34,208.60","£28,137.95","£230,139.39","£38,746.00",£0.00,"£38,746.00","£268,885.39",,
Leasehold Advisory Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,2.8,1,1.0,16,15.3,0,0.0,1,1.0,0,0.0,21,20,0,0,0,0,0,0,0,0,0,0,21,20,"£71,712.00",£0.00,£0.00,£0.00,"£6,081.00","£7,318.00","£85,111.00",£0.00,£0.00,£0.00,"£85,111.00",,
Valuation Tribunal Service,Executive Non-Departmental Public Body,Department for Communities and Local Government,23,21.7,36,35.3,12,11.7,2,2.0,1,1.0,0,0.0,74,72,4,4,0,0,0,0,0,0,4,4,78,76,"£200,115.89","£1,576.82",£0.00,£0.00,"£33,365.19","£16,565.86","£251,623.76","£8,866.80",£0.00,"£8,866.80","£260,490.56",,
Ebbsfleet Development Corporation,Executive Non-Departmental Public Body,Department for Communities and Local Government,3,3.0,0,0.0,1,1.0,2,2.0,3,3.0,0,0.0,9,9,0,0,8,8,0,0,0,0,8,8,17,17,"£40,818.00",£0.00,£0.00,£0.00,"£5,102.00","£5,715.00","£51,635.00","£94,081.00",£0.00,"£94,081.00","£145,716.00",,
