Year,Month,Organisation Name,Organisation Type,"Main , parent or sponsoring department",Payroll Staff; AO/AA; Headcount,Payroll Staff; AO/AA; Full-Time Equivalent,Payroll Staff; EO; Headcount,Payroll Staff; EO; Full-Time Equivalent,Payroll Staff; SEO/HEO; Headcount,Payroll Staff; SEO/HEO; Full-Time Equivalent,Payroll Staff; Grade 6/7; Headcount,Payroll Staff; Grade 6/7; Full-Time Equivalent,Payroll Staff; SCS; Headcount,Payroll Staff; SCS; Full-Time Equivalent,"Payroll Staff; Other, unknown, unspecified; Headcount","Payroll Staff; Other, unknown, unspecified; Full-Time Equivalent","Payroll Staff, Total; Headcount","Payroll Staff, Total; Full-Time Equivalent","Non-payroll staff, Admin and Clerical; Headcount","Non-payroll staff, Admin and Clerical; Full-Time Equivalent","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Headcount","Non-payroll staff, Interim Managers, Specialist Contractors & Medical; Full-Time Equivalent","Non-payroll staff, Other Contingent Labour; Headcount","Non-payroll staff, Other Contingent Labour; Full-Time Equivalent","Non-payroll staff, Total Contingent labour, Headcount","Non-payroll staff, Total Contingent labour, Full-Time Equivalent","Non-payroll staff, Consultancy; Number of Contracts",Grand Total (workforce numbers); Headcount,Grand Total (workforce numbers); Full-Time Equivalent,Payroll staff costs; Salary,Payroll staff costs; Allowances,Payroll staff costs; Non-Consolidated performance payments,Payroll staff costs; Overtime,Payroll staff costs; Employer Pension Contributions,Payroll staff costs; Employer National Insurance contributions,Payroll staff costs; Total paybill,Non-Payroll staff costs; Contingent labour,Non-Payroll staff costs; Consultancy,Non-Payroll staff costs; Total staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
2025,November,"Department for Science, Inovation &Technology (DSIT)",Ministerial Department,"Department for Science, Innovation &Technology (DSIT)",9.00,8.42,116.00,114.02,1157.00,1135.68,1982.00,1936.92,193.00,186.48,1.00,1.00,3458.00,3382.52,1.00,1.00,161.00,153.12,0.00,0.00,162.00,154.12,11.00,3620.00,3536.64,16155598.00,1378448.00,324250.00,28875.00,4723601.00,2472509.00,25083281.00,3066741.00,3338419.00,6405160.00,31488441.00,
2025,November,UK Intellectual Property Office,Executive Agency,"Department for Science, Innovation &Technology (DSIT)",114.00,105.44,490.00,463.44,658.00,630.17,467.00,438.35,19.00,19.00,0.00,0.00,1748.00,1656.40,110.00,110.00,37.00,37.00,0.00,0.00,147.00,147.00,4.00,1895.00,1803.40,6529204.00,258209.00,74226.00,139853.00,1966154.00,939649.00,9907295.00,897165.02,0.00,897165.02,10804460.02,
2025,November,Met Office,Executive Agency,"Department for Science, Innovation &Technology (DSIT)",63.00,62.00,312.00,306.52,1392.00,1316.43,737.00,693.93,10.00,10.00,0.00,0.00,2514.00,2388.88,0.00,0.00,668.00,65.54,0.00,0.00,668.00,65.54,0.00,3182.00,2454.42,8839419.00,436931.00,503511.00,0.00,2588764.00,1343335.00,13711960.00,1310985.00,0.00,1310985.00,15022945.00,
2025,November,UK Space Agency,Executive Agency,"Department for Science, Innovation &Technology (DSIT)",2.00,2.00,9.00,9.00,160.00,156.44,153.00,150.60,10.00,9.60,0.00,0.00,334.00,327.64,0.00,0.00,11.00,10.40,0.00,0.00,11.00,10.40,2.00,345.00,338.04,1434977.49,47305.26,38700.00,0.00,418911.92,207825.80,2147720.47,261086.82,397168.66,658255.48,2805975.95,
2025,November,UKRI,Executive Non-Departmental Public Body,"Department for Science, Innovation &Technology (DSIT)",507.00,475.70,1061.00,1018.10,4571.00,4425.19,1194.00,1160.62,268.00,257.60,284.00,282.50,7885.00,7619.71,0.00,0.00,668.00,65.54,0.00,0.00,668.00,65.54,0.00,8553.00,7685.25,32774639.44,1013119.59,62318.00,242759.35,25415340.80,4558642.21,64066819.39,1560381.25,86073.66,1646454.91,65713274.30,
2025,November,Building Digital UK - (BDUK),Executive Agency,"Department for Science, Innovation &Technology (DSIT)",1.00,1.00,9.00,9.00,111.00,109.38,127.00,124.89,8.00,7.80,0.00,0.00,256.00,252.07,0.00,0.00,6.00,6.00,9.00,6.81,15.00,12.81,0.00,271.00,264.88,1116996.00,50629.00,-97.00,0.00,333210.00,159438.00,1660176.00,10199.00,483124.00,493323.00,2153499.00,
2025,November,Information Commissioner's Office (ICO),Executive Non-Departmental Public Body,"Department for Science, Innovation &Technology (DSIT)",20.00,17.70,191.00,177.63,560.00,532.51,298.00,287.50,34.00,33.66,11.00,1.15,1114.00,1050.15,32.00,31.80,3.00,3.00,3.00,3.00,38.00,37.80,0.00,1152.00,1087.95,4366274.41,20451.43,0.00,13833.09,1245136.21,600174.14,6245869.28,88098.00,0.00,88098.00,6333967.28,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
